Eastphalian	Afrikaans	probability
ˈɔʏ̯	ˈu	1.0
ˈɔ_l	ˈœu̯	1.0
ˈɒː	ˈɑː	1.0
ˈœ	-	1.0
ˈøː	ˈʊə̯	1.0
ˈyː	ˈyː	1.0
ˈeo̯	ˈʊə̯	1.0
ˈaː	ˈa	1.0
ɪ	ə	1.0
ɣ	χ	1.0
ɡ	χ	1.0
ə_#>	#>	1.0
ɐ_t	r_t	1.0
ç	χ	1.0
z̥	s	1.0
z	s	1.0
x	χ	1.0
w	v	1.0
v_ə	v̥	1.0
v	v	1.0
t_n	t	1.0
s_t	r_s	1.0
s_l	s_ɫ	1.0
s	s	1.0
r	r	1.0
p	p	1.0
n_ʃ	n_s	1.0
m_n	m	1.0
m	m	1.0
l	ɫ	1.0
k	k	1.0
h	ɦ	1.0
f	v̥	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d	d	1.0
b_m	p	1.0
b	b	1.0
<#_ˈʏ	<#_ˈɔ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
ˈa	ˈa	0.929
ˈɪ	ˈə	0.917
t	t	0.897
ˈiː	ˈəɪ̯	0.857
ˈʊ	ˈɔ	0.846
ŋ	ŋ	0.846
ˈaʊ̯	ˈu	0.778
ˈʏ	ˈœ	0.667
ˈɔ	ˈɔ	0.667
ˈeː	ˈɪə̯	0.667
j	χ	0.667
ˈuː	ˈœɪ̯	0.636
ɐ	r	0.632
ˈɛɪ̯	ˈi	0.625
n	n	0.617
ʃ	s_k	0.583
ˈɛ	ˈæ	0.556
ˈoː	ˈʊə̯	0.556
ˈɛː	ˈɪə̯	0.5
ˈɛː	-	0.5
ə	ə	0.5
ə	-	0.5
nː	n_d̥	0.5
nː	n	0.5
ˈoː	-	0.444
ʃ	s	0.417
ɐ	ə_r	0.368
ˈʏ	-	0.333
ˈɔ	-	0.333
ˈeː	-	0.333
j	j	0.333
n	-	0.283
ˈɛɪ̯	ˈɪə̯	0.25
ˈɛ	ˈɪə̯	0.222
ˈɛ	ˈɛ	0.222
ˈaʊ̯	-	0.222
ˈuː	ˈœu̯	0.182
ˈuː	-	0.182
ˈʊ	ˈu	0.154
ŋ	χ	0.154
ˈiː	-	0.143
ˈɛɪ̯	-	0.125
t	-	0.103
ˈɪ	ˈɛ	0.083
ˈa	ˈæː	0.071
