Danish	Swiss German	probability
b̥	b̥	0.726
b̥	f	0.15
b̥	fː	0.089
b̥	p͡f	0.037
d̥	t	0.841
d̥	d̥	0.101
d̥	ʦ	0.058
e	ə	0.574
e	i	0.281
f	f	0.928
f	ʃ	0.071
h	h	0.941
h	χ	0.06
i	i	1.0
j	ˈæ	0.31
j	ɡ̊	0.287
j	-	0.179
j	χ	0.156
j	k	0.051
jˀ	ɡ̊	0.371
jˀ	ə	0.181
k	k	0.481
k	χ	0.356
k	ʃː	0.122
kʰ	χ	0.857
kʰ	f	0.118
l	l	0.874
l	d̥_l	0.078
l	-	0.045
lˀ	l	0.903
lˀ	r	0.089
m	m	0.691
m	r_m	0.182
m	mː	0.064
m	-	0.047
mˀ	f	0.574
mˀ	m	0.281
n	n	0.75
n	-	0.201
n	i	0.036
nˀ	ŋ	0.332
nˀ	n	0.207
nˀ	-	0.153
nˀ	l	0.101
nˀ	sː	0.101
nˀ	nː	0.075
p	p͡f	1.0
pʰ	p͡f	0.489
s	s	0.553
s	ʃ	0.354
s	-	0.062
s	χ	0.031
s_k	ʃ	1.0
t	t	0.48
t	χ_t	0.271
t	ʦ	0.179
t	-	0.061
v	b̥	0.784
v	ʋ	0.124
w	-	0.303
w	b̥_ə	0.279
w	ɡ̊	0.191
w	ə	0.166
wˀ	ə	0.489
ð̞ˠ	t	0.334
ð̞ˠ	sː	0.317
ð̞ˠ	s	0.151
ð̞ˠ	-	0.127
ð̞ˠ	p͡f	0.037
ð̞ˠ	p	0.037
ŋ	ŋ	0.381
ŋ	-	0.219
ŋ	n	0.219
ŋ	ɡ̊	0.141
ŋˀ	ŋ	1.0
ɐ	ə	0.438
ɐ	r	0.368
ɐ	-	0.19
ɐˀ	r	0.707
ɐˀ	r_t	0.162
ɐˀ	ˈu	0.113
ə	ə	0.596
ə	-	0.355
ə	i	0.028
ə	ˈau̯	0.028
ɡ̊	ɡ̊	0.7
ɡ̊	ɡ̊ː	0.207
ɡ̊	χ	0.071
ɡ̊	-	0.035
ʁ	r	0.953
ʁ	-	0.05
ʋ	ʋ	0.768
ʋ	f	0.117
ʋ	m	0.062
ʋ	r	0.05
ʦʰ	d̥	0.467
ʦʰ	ʦ	0.237
ʦʰ	ʦ_ʋ	0.144
ʦʰ	t	0.112
ˈa	ˈɒ	0.637
ˈa	ˈɒː	0.173
ˈa	ˈa	0.091
ˈa	ˈæ	0.091
ˈaː	ˈɒ	1.0
ˈe	ˈi	0.653
ˈe	ˈæ	0.128
ˈe	ˈe	0.075
ˈe	-	0.057
ˈe	ˈy	0.057
ˈeˀ	ˈæi̯	0.337
ˈeˀ	ˈyː	0.132
ˈeˀ	ə	0.095
ˈeˀ	ˈæ	0.095
ˈeˀ	ˈa	0.072
ˈeˀ	ˈeː	0.072
ˈeˀ	ˈe	0.051
ˈeˀ	ˈi	0.051
ˈeˀ	ˈei̯	0.037
ˈeˀ	ˈɛi̯	0.037
ˈeˀ_n	ˈei̯	1.0
ˈeː	ˈeː	0.371
ˈeː	ˈø	0.089
ˈi	ˈi	0.384
ˈi	ˈyː	0.253
ˈiˀ	ˈiː	0.556
ˈiˀ	ˈi	0.204
ˈiˀ	ˈæː	0.104
ˈiˀ	ˈyː	0.091
ˈiː	ˈiː	0.549
ˈiː	ˈy	0.215
ˈiː	ˈæ	0.089
ˈiː	ˈiə̯	0.085
ˈo	ˈo	0.496
ˈo	ʋ	0.312
ˈo	ˈyə̯	0.179
ˈoˀ	ˈuə̯	0.668
ˈoˀ	ˈøi̯	0.101
ˈoˀ	-	0.098
ˈoˀ	ˈuː	0.098
ˈoː	ˈo	0.151
ˈoː	ˈɒ	0.144
ˈoː	ˈau̯	0.136
ˈoː	ˈou̯	0.136
ˈoː	ˈy	0.136
ˈoː	ˈuə̯	0.097
ˈu	ˈo	0.453
ˈu	ˈu	0.428
ˈu	ˈø	0.082
ˈuˀ	ˈuː	0.68
ˈuˀ	ˈo	0.096
ˈuˀ	ˈæ	0.096
ˈuˀ	ˈyː	0.093
ˈuː	ˈyː	0.489
ˈy	ˈyː	0.461
ˈy	ˈu	0.304
ˈy	ˈi	0.171
ˈyˀ	ˈiə̯	0.425
ˈyˀ	ˈyː	0.29
ˈyˀ	ˈi	0.117
ˈyˀ	ˈøi̯	0.117
ˈyː	ˈyː	0.644
ˈyː	ˈy	0.239
ˈæ	-	0.371
ˈæ	ˈe	0.181
ˈæˀ	ˈɒː	0.489
ˈø	ˈi	0.574
ˈø	ˈy	0.281
ˈøː	ˈøː	0.517
ˈøː	ˈau̯	0.181
ˈøː	ˈoː	0.181
ˈœ	ˈu	0.238
ˈœ	ˈy	0.238
ˈœ	ˈo	0.137
ˈœ	ˈyə̯	0.137
ˈœ	ˈø	0.096
ˈœ	ˈoː	0.071
ˈœ	ˈøi̯	0.05
ˈœˀ	ˈoː	0.352
ˈœˀ	ˈyə̯	0.214
ˈœˀ	ˈau̯	0.187
ˈœˀ	rː	0.114
ˈœˀ	ˈo	0.079
ˈœː	ˈæ	0.239
ˈɑ	ˈi	0.301
ˈɑ	ˈa	0.173
ˈɑ	ˈæ	0.121
ˈɑ	ˈɒ	0.121
ˈɑ	ˈy	0.117
ˈɑ	ˈæː	0.082
ˈɑˀ	ˈæ	0.415
ˈɑˀ	ˈɒ	0.203
ˈɑˀ	ˈɒː	0.203
ˈɑː	ˈɒː	0.574
ˈɑː	ˈɒ	0.281
ˈɒ	ˈoː	0.489
ˈɒˀ	ˈoː	0.758
ˈɒˀ	ˈɒː	0.089
ˈɒː	ˈɒː	0.239
ˈɔ	ˈuː	0.488
ˈɔ	j	0.196
ˈɔ	ˈu	0.181
ˈɔˀ	ˈɒː	0.668
ˈɔˀ	ˈu	0.158
ˈɔˀ	ˈɒ	0.092
ˈɔː	ˈo	1.0
ˈɛ	ˈɒ	0.181
ˈɛ	ˈe	0.123
ˈɛ	ˈæ	0.123
ˈɛ	-	0.081
ˈɛ	ˈa	0.081
ˈɛ	ˈyː	0.081
ˈɛ	ˈɒː	0.081
ˈɛ	ˈɛi̯	0.081
ˈɛ	ˈiə̯	0.055
ˈɛ	ˈæː	0.055
ˈɛ	ˈo	0.05
ˈɛˀ	ˈiə̯	0.253
ˈɛˀ	ˈyː	0.22
ˈɛˀ	ˈæ	0.22
ˈɛː	ˈæ	0.392
ˈɛː	ˈɒ	0.22
ˈɛː	ˈɒː	0.22
ˈʌ	ˈɒ	0.207
ˈʌ	ˈa	0.136
ˈʌ	ˈou̯	0.136
ˈʌ	ˈøː	0.136
ˈʌ	ˈø	0.101
ˈʌ	ˈo	0.095
ˈʌ	ˈuə̯	0.095
ˈʌ	ˈøi̯	0.05
ˈʌˀ	ˈou̯	0.371
ˈʌˀ	ˈoː	0.181
