Pennsylvania German	Pennsylvania German	probability
ˈiː_ɑ	r	1.0
ˈaʊ̯	ˈuː	1.0
ʦ	ʦ	1.0
ʋ_ə	b̥_ə	1.0
ɾ	r	1.0
ɣ	ɡ̊	1.0
ɡ̊_#>	ɡ̊_#>	1.0
ɡ	ɡ̊	1.0
ŋ	ŋ	1.0
x	χː	1.0
t	tː	1.0
p	p͡f	1.0
n_d̥_#>	ŋ_#>	1.0
m	m	1.0
l_d̥	l_d̥	1.0
k_s	χː_sː	1.0
h	h	1.0
eː	æ	1.0
d_ɾ	tː_r	1.0
b̥_#>	b̥_#>	1.0
b	b̥	1.0
<#_ˈʊ	<#_ˈu	1.0
<#_ˈɛ	<#_ˈe	1.0
<#_ɾ	<#_r	1.0
<#	<#_ɡ̊	1.0
#>	n_#>	1.0
l	l	0.979
ʋ	ʋ	0.931
ə	ə	0.854
ˈɔ	ˈo	0.818
ˈuː	ˈuə̯	0.818
ˈa	ˈɒ	0.806
n	n	0.795
ˈoː	ˈoː	0.786
ˈɛ	ˈæ	0.722
ˈʊ	ˈu	0.714
f	v̥	0.649
ˈɪ	ˈi	0.6
j	ɡ̊	0.6
ʃ	ʒ̊	0.594
d̥	tː	0.593
d	tː	0.583
s	z̥	0.58
ˈɛː	ˈæ	0.556
ɑ	ə_r	0.514
ɪ	i	0.5
ɪ	-	0.5
k	ɣ̊	0.5
k	kː	0.5
ɑ	r	0.486
ç	χː	0.467
ˈaɪ̯	ˈiː	0.455
ˈɛː	-	0.444
ˈiː	ˈyː	0.429
d	d̥	0.417
ˈeː	ˈæi̯	0.407
d̥	d̥	0.407
ʃ	ʃː	0.406
ç	ɡ̊	0.4
j	j	0.4
ˈɔː	ˈɒː	0.381
s	sː	0.38
f	fː	0.351
ˈɔː	ˈau̯	0.333
ˈaː	ˈu	0.333
ˈaː	ˈo_r	0.333
ˈaː	r	0.333
ˈaɪ̯	ˈyː	0.273
ˈɪ	ˈy	0.233
ˈaɪ̯	-	0.227
ˈoː	ˈɒː	0.214
ˈiː	ˈyə̯	0.214
ˈiː	ˈiə̯	0.214
ˈɔː	ˈɒ	0.19
ˈeː	ˈeː	0.185
ˈeː	-	0.185
ˈɔ	ˈu	0.182
ˈuː	ˈyə̯	0.182
ˈɛ	ˈø	0.167
ˈeː	ˈøː	0.148
ə	-	0.146
ˈʊ	ˈuə̯	0.143
ˈʊ	-	0.143
ˈiː	-	0.143
n	n_d̥	0.136
ç	ˈiə̯_χː	0.133
ˈa	-	0.129
ˈɛ	-	0.111
ˈɪ	-	0.1
ˈɔː	-	0.095
ˈeː	ˈæ	0.074
ʋ	b̥_ə	0.069
n	-	0.068
ˈɪ	ˈu	0.067
ˈa	ˈo	0.065
