Czech	Kashubian	probability
<#	<#_w	1.0
<#_b	<#_b	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_v	<#_v	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_ɦ	<#_ɡ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ˈo	<#_u̯ˈɛ	1.0
a	a_#>	1.0
b	b	1.0
d	d	1.0
f	f_#>	1.0
iː	i_#>	1.0
j	j	1.0
j_ˈɛ	j_ˈa	1.0
k	k	1.0
k_#>	k_#>	1.0
k_iː	ʧ_i	1.0
k_o	k_u̯ɛ	1.0
l	w	1.0
l_#>	l_#>	1.0
l_ˈa	w_ˈɔ	1.0
l_ˈɛː	l_ˈe	1.0
m	m_j	1.0
m̩	m_ə	1.0
n	n	1.0
n_#>	ɲ_#>	1.0
p	p	1.0
p_#>	p_#>	1.0
r	r	1.0
r_ˈaː	ˈa_r	1.0
r̝	ʐ	1.0
r̝_ˈɛ	ʐ_ˈe	1.0
s	s	1.0
s_#>	s_#>	1.0
t_#>	ʦ_#>	1.0
v	v	1.0
x_#>	k_#>	1.0
z	z	1.0
ɛ_#>	ɛ_#>	1.0
ɟ	ʣ	1.0
ɪ	ə	1.0
ɲ	ɲ	1.0
ʃ	ʃ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈaː	ˈɞ	1.0
ˈl̩	ˈɞ_w	1.0
ˈr̩	ˈɛ_r	1.0
ˈu	ˈõ	1.0
ˈu_x	x	1.0
ˈuː	ˈu	1.0
ˈɛ_l	l	1.0
ˈɛ_s	ˈɛ_s	1.0
ˈɪ	ˈə	1.0
ɛ	a	0.182
ɛ	-	0.182
ɛ	a_ŋ	0.182
ɛ	e	0.182
<#_d	<#_ʣ	0.333
o	u̯ɛ	0.273
t	t	0.643
ɛ	ɛ	0.273
ˈa	ˈa_ŋ	0.333
ˈa	ˈɞ	0.333
ˈa	ˈa	0.333
ˈo	ˈu	0.133
c	ʦ	0.4
ɦ	ʤ	0.4
ˈo	ˈɔ	0.4
<#_t	<#_t	0.5
<#_t	<#_ʦ	0.5
ˈɛ	ˈa	0.235
c	ʧ	0.6
ɦ	ɡ	0.6
ˈiː	j_ˈɞ	0.286
ˈiː	j_ˈa	0.286
<#_d	<#_d	0.667
o	ɔ_#>	0.727
t	t_#>	0.357
ˈo	u̯ˈɛ	0.467
ˈɛ	ˈe	0.118
ˈɛ	ˈɞ	0.118
ˈiː	ˈi	0.429
ˈɛ	ˈɛ	0.529
