Proto-Slavic	Proto-Slavic	probability
̌_#>	ˈ_#>	1.0
̌	ˈ	1.0
̂_x	x	1.0
̂_v	v	1.0
̂_t	t	1.0
ˀ	ˈ	1.0
ʧ	ʨ	1.0
ʦ	ʦ	1.0
ʤ	d̥ʲ	1.0
ʎ	lʲ	1.0
ʃ	ʂ	1.0
ɲ	nʲ	1.0
ɨː	ɨ	1.0
ɨ_ˀ	ɨ_ˈ	1.0
ɨ	ɨ	1.0
ɡ_ŭ	ɡ̊	1.0
v_ĭ	fʲ	1.0
ŭ_̂	o_ˈ	1.0
ŭ_ʧ	ɕː	1.0
ŭ_#>	#>	1.0
u	u	1.0
tʲ	ʨ	1.0
t_ŭ_#>	t_#>	1.0
t_ĭ	tʲ	1.0
t_i	tʲ	1.0
s_ŭ	s	1.0
rʲ	rʲ	1.0
r_ĭ	rʲ	1.0
o_̂	o_ˈ	1.0
o_#>	ə_#>	1.0
n_ĭ	nʲ	1.0
l_ɛː	lʲ_e	1.0
l_ĭ_#>	lʲ_#>	1.0
l_a	ɫ_a	1.0
k_ŭ_#>	k_#>	1.0
ĭː	ɵ	1.0
ĭ_̌	ɵ_ˈ	1.0
ĭ_#>	#>	1.0
iː	ɨ	1.0
i_#>	#>	1.0
e_#>	e_#>	1.0
d_ŭ	d̥	1.0
d_l	ɫ	1.0
b_ŭ	b̥	1.0
b_ĭ	b̥ʲ	1.0
aː	a	1.0
a_#>	ə_#>	1.0
a	a	1.0
<#_x	<#_x	1.0
<#_v	<#_v	1.0
<#_o	<#_ɐ	1.0
<#_l	<#_lʲ	1.0
<#_d	<#_d	1.0
<#	<#_z	1.0
#>	ˈ_#>	1.0
n	n	0.9
j	j	0.893
̂	ˈ	0.892
ɡ	ɡ	0.85
t	t	0.833
x	x	0.8
k	k	0.783
oː	o	0.714
s	s	0.703
õː	u	0.7
ʒ	ʐ	0.667
b	b	0.667
<#_t	<#_tʲ	0.625
r	r	0.618
v	vʲ	0.609
ẽː	ɪ	0.6
l	ɫ	0.591
p	pʲ	0.583
i	i	0.583
ɛː	e	0.579
z	z	0.571
l_ŭ	ɫ	0.571
uː	ʊ	0.5
m	mʲ	0.5
m	m	0.5
d	d	0.474
e	ɪ	0.464
o	o	0.455
ĭ	-	0.438
l_ŭ	ɫ_ɨ	0.429
ẽ	ɪ	0.429
d	dʲ	0.421
p	p	0.417
ẽː	æ	0.4
<#_t	<#_t	0.375
z	zʲ	0.357
ŭ	ɨ	0.355
v	v	0.348
ʒ	ʐ̊	0.333
uː	u	0.333
b	bʲ	0.333
o	ɐ	0.318
ɛː	ɪ	0.316
õː	ʊ	0.3
s	sʲ	0.297
oː	ɐ	0.286
ẽ	a	0.286
ẽ	-	0.286
ĭ	o	0.25
i	-	0.25
r	rʲ	0.206
x	xʲ	0.2
ĭ	e	0.188
l	lʲ	0.182
e	e	0.179
uː	ʉ	0.167
t	-	0.167
i	i_ˈ	0.167
ŭ	ɪ	0.161
ŭ	o_ˈ	0.161
e	ɵ	0.143
o	ə	0.136
l	-	0.136
k	kʲ	0.13
ŭ	ə	0.129
ĭ	e_ˈ	0.125
r	-	0.118
j	-	0.107
ɛː	-	0.105
d	-	0.105
ɡ	-	0.1
n	nʲ	0.1
ŭ	o	0.097
ŭ	-	0.097
o	ɐ_r	0.091
l	ɫ_ɐ	0.091
k	ʦ	0.087
z	z̥	0.071
e	ɨ	0.071
e	ə	0.071
e	ɐ	0.071
r	r_ɐ	0.059
̂	o_ˈ	0.054
̂	e_ˈ	0.054
