Sichuanese	Standard Mandarin	probability
⁵⁵	⁵⁵	1.0
⁵³	²¹⁴	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ɥ	ɥ	1.0
ɛ_²¹	ɤ_⁵¹	1.0
ɚ	ɤ_ɻ	1.0
ə_n	ɤ_ŋ	1.0
ɕ	ɕ	1.0
ŋ	ŋ	1.0
²¹³	⁵¹	1.0
z	ʐ	1.0
y	y	1.0
x	x	1.0
w	w	1.0
v	-	1.0
u	u	1.0
tʰ	tʰ	1.0
t	t	1.0
pʰ	pʰ	1.0
p	p	1.0
n	n	1.0
m	m	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
i_n	i_ŋ	1.0
i	i	1.0
f	f	1.0
a_²¹³	a_⁵¹	1.0
a_²¹	a_⁵⁵	1.0
<#_ŋ_a	<#_a	1.0
<#_ŋ	<#	1.0
<#_nʲ	<#_n	1.0
<#_n	<#_l	1.0
<#_j	<#_j	1.0
s	ʂ	0.75
ʦʰ	ʈ͡ʂʰ	0.727
²¹	³⁵	0.712
z̩	ʐ̩	0.667
ɛ	ɛ	0.6
ə	o	0.562
o	ʊ	0.545
a	a	0.522
ʦ	ʦ	0.5
ʦ	ʈ͡ʂ	0.5
e	ɛ	0.5
e	e	0.5
o	w_ɔ	0.455
ə	ə	0.438
a	ɑ	0.413
ɛ	ɤ	0.4
z̩	z̩	0.333
ʦʰ	ʦʰ	0.273
s	s	0.25
²¹	⁵¹	0.154
a	ɛ	0.065
²¹	⁵⁵	0.058
