Cantonese	Cantonese	probability
⁵⁵_#>	#>	1.0
⁵_#>	#>	1.0
ʧ	t	1.0
ʃ	qʰʷ	1.0
ɛː	-	1.0
ɐ_w	oː	1.0
œː	a	1.0
ŋ̍	ŋ_aː	1.0
ŋ_²²	ŋ_s	1.0
¹³_#>	#>	1.0
³⁵_#>	#>	1.0
³³_#>	#>	1.0
²¹_#>	#>	1.0
²²_#>	#>	1.0
²_#>	#>	1.0
w_⁵⁵_#>	u_#>	1.0
w_ɐ	ɢ_u	1.0
w_¹³	ʔ	1.0
w_²¹_#>	#>	1.0
uː	-	1.0
u	u	1.0
t̚_³	d	1.0
tʰ	l̥ʰ	1.0
t	d	1.0
p	p	1.0
n_³⁵	n_ʔ	1.0
n_³³	n_s	1.0
m	m	1.0
l	r	1.0
k̚	ɡ	1.0
kʷʰ	ɡ_l	1.0
kʷ	kʷ	1.0
kʰ	-	1.0
j_³³	d_s	1.0
<#_s	<#_s	1.0
<#_l	<#_r	1.0
<#_h	<#	1.0
<#_f	<#	1.0
f	p	0.857
ʧʰ	-	0.8
ŋ	ŋ	0.778
n	n	0.773
k	k	0.727
pʰ	b	0.667
w_³⁵	ʔ	0.625
ʦ	ʔ_s	0.6
w	ɡʷ	0.6
t̚	d	0.6
h	kʰ	0.6
e	r	0.6
ʦʰ	sʰ	0.571
ɔː	aː	0.556
ɵ	a	0.5
ɵ	-	0.5
ɪ	r	0.5
ɪ	-	0.5
ɥ	s	0.5
ɥ	-	0.5
ɔː_j	ɯː	0.5
ɔː_j	l_ɯː	0.5
k̚_³	aː_ɡ	0.5
iː	e	0.5
s	h_l	0.429
ʊ	u	0.417
ʦ	t	0.4
w	u	0.4
t̚	-	0.4
e	ɯ	0.4
ɐ	ɯ	0.375
w_³⁵	u_ʔ	0.375
o	uː	0.375
o	aː	0.375
yː	a	0.364
ʊ	oː	0.333
pʰ	pʰ	0.333
k̚_³	ɡ	0.333
<#	<#_n	0.308
ɐ	i	0.292
ʦʰ	-	0.286
s	h	0.286
s	d_i	0.286
aː	r_aː	0.278
yː	o	0.273
k	ɡ	0.273
j	l	0.273
j	i	0.273
ʊ	o	0.25
ɐ	ɯː	0.25
o	-	0.25
<#	<#_q	0.231
ʧʰ	tʰ	0.2
h	h_m	0.2
h	h	0.2
yː	eː	0.182
yː	e	0.182
ɔː	ɯː	0.167
ɔː	a	0.167
k̚_³	w	0.167
iː	j	0.167
iː	i	0.167
iː	eː	0.167
aː	uː	0.167
aː	r_eː	0.167
aː	r	0.167
<#	<#_s	0.154
<#	<#_r	0.154
<#	<#_d	0.154
ʦʰ	ʦʰ	0.143
f	hʷ	0.143
n	n_s	0.136
ɔː	aː_l	0.111
aː	o	0.111
aː	aː	0.111
n	n_ʔ	0.091
j	ɢʷ	0.091
j	ŋ_i	0.091
j	ŋ	0.091
j	q	0.091
j	d_s	0.091
ɐ	u	0.083
ŋ	ŋʷ	0.074
ŋ	ŋ_ʔ	0.074
ŋ	e_ŋ	0.074
