Piedmontese	Corsican	probability
a	a	0.875
b	b	0.783
b	bː	0.164
d	d	0.689
d	t	0.234
d	dː	0.069
dː	d	1.0
e	e	0.77
e	a	0.102
e	i	0.05
f	f	0.895
f	-	0.092
i	i	0.71
i	u	0.24
j	j	0.375
j	ʎ	0.241
j	c	0.113
j	-	0.1
k	k	0.849
k	kː	0.108
l	l	0.692
l	lː	0.27
m	m	0.939
m	-	0.061
n	n	0.857
p	p	1.0
r	r	0.934
s	s	0.389
s	ʧ	0.233
s	ʧː	0.07
s	-	0.067
s	ʦː	0.057
s	ʃː	0.052
t	t	0.646
t	tː	0.335
u	u	0.719
u	o	0.181
u	-	0.055
v	v	0.774
v	p	0.135
w	w	0.509
w	l	0.348
w	u	0.123
y	u	1.0
z	ɟ	0.48
z	ʒ	0.275
z	ʧ	0.134
z	ʤ	0.065
ŋ	n	0.768
ŋ	ŋ	0.186
ə	e	0.462
ə	ˈe	0.383
ə	-	0.155
ɡ	ɡ	0.762
ɡ	k	0.229
ɲ	ɲ	0.993
ʤ	ɟ	0.935
ʤ	ʤ	0.065
ʧ	c	0.654
ʧ	ʧ	0.346
ˈa	ˈa	0.946
ˈe	ˈa	0.414
ˈe	ˈɛ	0.322
ˈe	ˈe	0.19
ˈi	ˈi	0.772
ˈi	ˈɛ	0.131
ˈi	i	0.054
ˈu	ˈɔ	0.5
ˈu	ˈo	0.382
ˈu	ˈu	0.118
ˈy	ˈu	0.851
ˈy	u	0.078
ˈy	ˈo	0.07
ˈø	ˈɔ	0.785
ˈø	ˈo	0.215
ˈɔ	ˈɔ	0.694
ˈɔ	ˈo	0.129
ˈɔ	u	0.105
ˈɔ	ˈɛ	0.056
ˈə	ˈɛ	0.82
ˈə	i	0.18
ˈɛ	ˈɛ	0.641
ˈɛ	ˈe	0.217
