Proto-Germanic	Saterland Frisian	probability
a	-	1.0
b	b	0.877
b	-	0.123
d	d	0.84
d	-	0.16
e	ə	0.408
e	ˈuː	0.408
e	i	0.1
e	-	0.084
i	-	0.767
i	ə	0.095
i	ɪ	0.076
i	r	0.062
iː	ə	0.672
iː	-	0.328
j	-	0.657
j	j	0.272
j	ˈɛɪ̯	0.071
jː	ˈɔːɪ̯	1.0
k	k	0.923
k	-	0.063
kʷ	k	1.0
kː	-	1.0
l	l	0.945
lː	l	0.749
lː	ɫ	0.251
m	m	0.937
mː	m	1.0
n	n	0.634
n	-	0.346
nː	n	1.0
p	p	1.0
pː	p	1.0
r	r	0.835
r	-	0.165
s	s	0.886
s	z	0.071
t	t	0.992
u	-	0.466
u	ə	0.419
u	ˈoː	0.078
w	v	0.666
w	-	0.197
w	ˈʊ	0.052
wː	-	1.0
x	h	0.601
x	x	0.193
x	-	0.167
xʷ	v	0.535
xʷ	-	0.414
xʷ	n	0.051
z	-	0.895
z	x	0.096
ð	d	0.731
ð	-	0.175
ð	t	0.093
ŋ	ŋ	0.854
ŋ	-	0.083
ŋ	n	0.063
ɑ	ə	0.528
ɑ	-	0.448
ɑi̯	ˈɪ	1.0
ɑː	j	1.0
ɑ̃	-	1.0
ɔː	ə	0.894
ɔː	-	0.062
ɔːu̯	ə	1.0
ɔːː	ə	0.701
ɔːː	r	0.18
ɔːː	-	0.119
ɔ̃ː	ə	1.0
ɛː	ə	0.514
ɛː	-	0.486
ɡ	-	0.887
ɡ	k	0.078
ɡʷ	-	1.0
ɣ	ɣ	0.412
ɣ	-	0.325
ɣ	j	0.119
ɣ	ɡ	0.074
ɣ	x	0.07
ɸ	f	0.909
ɸ	x	0.052
ˈe	j	0.166
ˈe	ˈiː	0.122
ˈe	ˈɛɪ̯	0.107
ˈe	ˈɛ	0.096
ˈe	ˈɔː	0.086
ˈe	ˈi	0.076
ˈe	ˈuː	0.061
ˈe	ˈaː	0.06
ˈe	ˈeː	0.058
ˈeu̯	j	0.462
ˈeu̯	ˈʊ	0.19
ˈeu̯	a	0.095
ˈeu̯	ˈiː	0.095
ˈeu̯	ˈɛɪ̯	0.095
ˈeu̯	ˈyː	0.062
ˈeː	ˈi	1.0
ˈi	ˈɪ	0.489
ˈi	ˈiː	0.269
ˈi	-	0.07
ˈi	j	0.063
ˈiu̯	-	0.845
ˈiu̯	ˈu	0.081
ˈiu̯	ˈyː	0.074
ˈiː	ˈi	0.637
ˈiː	ˈiː	0.261
ˈiː	ˈɛɪ̯	0.102
ˈĩː	ˈɪ	1.0
ˈu	ˈʊ	0.242
ˈu	ˈuː	0.201
ˈu	ˈoːu̯	0.18
ˈu	ˈɔ	0.134
ˈu	ˈɛː	0.069
ˈu	ˈɔː	0.069
ˈuː	ˈuː	0.644
ˈuː	ˈi	0.161
ˈuː	ˈɛɪ̯	0.077
ˈuː	ˈøː	0.074
ˈɑ	ˈɔː	0.223
ˈɑ	ˈoːu̯	0.153
ˈɑ	ˈoː	0.119
ˈɑ	ˈɔ	0.095
ˈɑ	ˈɛː	0.066
ˈɑ	-	0.064
ˈɑ	ˈa	0.05
ˈɑi̯	ˈeː	0.579
ˈɑi̯	ˈaː	0.137
ˈɑi̯	ˈoː	0.118
ˈɑi̯	ˈɛ	0.058
ˈɑi̯	ˈɛɪ̯	0.055
ˈɑu̯	ˈoː	0.716
ˈɑu̯	ˈeː	0.25
ˈɔ	ˈɛɪ̯	1.0
ˈɔː	ˈoːu̯	0.438
ˈɔː	ˈɛɪ̯	0.331
ˈɔː	ˈuː	0.121
ˈɔː	ˈa	0.11
ˈɛː	ˈoːu̯	0.415
ˈɛː	ˈiː	0.332
ˈɛː	ˈɛɪ̯	0.164
ˈɛː	ˈɛ	0.088
β	v	0.311
β	f	0.23
β	-	0.203
β	b	0.131
β	ɣ	0.081
θ	d	0.626
θ	t	0.26
θ	-	0.114
