Sixian	Sixian	probability
⁵	⁴	1.0
ʨ	ʦ	1.0
ʦ	ʦ	1.0
ɨ	i	1.0
ɕ	s	1.0
ŋ_¹¹	⁵⁵	1.0
w	o	1.0
v_o	ŋ̍	1.0
v	m	1.0
u_ŋ	a_ŋ	1.0
t	t	1.0
p̚	p̚	1.0
p	p	1.0
n_a	l_a	1.0
k	k	1.0
j_u	e	1.0
h_o	h_a	1.0
e_n	ĩ	1.0
<#_v	<#_w	1.0
<#_j	<#_h	1.0
<#	<#_h	1.0
¹¹	⁵⁵	0.971
n	ŋ	0.913
³¹	⁵²	0.88
²	²	0.864
²⁴	³³	0.78
tʰ	tʰ	0.778
l	l	0.714
kʰ	kʰ	0.714
ʦʰ	ʦʰ	0.7
i	i	0.684
ʨʰ	ʦʰ	0.667
m	m	0.643
k̚	ʔ	0.615
ŋ	ŋ	0.6
e_w	a_w	0.6
a_ŋ	ẽ	0.6
pʰ	pʰ	0.571
ɲ	ʣ	0.5
u	u	0.5
t̚	ʔ	0.5
t̚	k̚	0.5
h	kʰ	0.5
⁵⁵	¹¹	0.45
a	e	0.45
s	s	0.429
pʰ	p	0.429
f	h	0.417
e	e	0.417
⁵⁵	²¹³	0.4
e_w	j_e	0.4
a_ŋ	ĩ_ã	0.4
k̚	k̚	0.385
j	j	0.37
j	-	0.37
s	ʦ	0.357
m	b	0.357
o	a	0.355
ʨʰ	ʨʰ	0.333
e	-	0.333
ʦʰ	t	0.3
l	n	0.286
kʰ	k	0.286
o	o	0.258
ɲ	ɡ	0.25
ɲ	n	0.25
h	h	0.25
h	-	0.25
f	p	0.25
e	a	0.25
a	a	0.25
tʰ	t	0.222
s	ʦʰ	0.214
i	w_e	0.211
ŋ	a_ŋ	0.2
f	h_w	0.167
f	-	0.167
o	ɯ	0.161
u	o	0.154
⁵⁵	³⁵	0.15
j	w	0.148
²⁴	⁵²	0.146
²	⁴	0.136
ŋ	ɡ	0.133
³¹	³⁵	0.12
u	w	0.115
u	o_w	0.115
u	i_w	0.115
j	a	0.111
i	o_w	0.105
a	ũ	0.1
a	u	0.1
a	j_a	0.1
o	w	0.097
n	ã	0.087
ŋ	õ	0.067
o	w_e	0.065
o	j	0.065
