East Low German	Dutch	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_v	1.0
<#_h	<#_ɦ	1.0
<#_j	<#_χ	1.0
<#_kʰ	<#_k	1.0
<#_l	<#_ɫ	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_ɾ	1.0
<#_tʰ	<#_t	1.0
<#_v	<#_ʋ	1.0
<#_z	<#_z	1.0
<#_ɡ	<#_χ	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ˈae̯	<#_ˈɛi̯	1.0
<#_ˈuː	<#_ˈœy̯	1.0
<#_ˈɒː	<#_ˈaː	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈɪ	<#_ˈɪ	1.0
<#_ˈʊ	<#_ˈɔ	1.0
b_m	ə_n	1.0
d_#>	d̥_#>	1.0
d_n	d_ə_n	1.0
f	f	1.0
f_#>	v̥_#>	1.0
j	j	1.0
k_#>	k_#>	1.0
k_n	k_ə_n	1.0
l_#>	ɫ_#>	1.0
l_ˈaʊ̯	ɫ_ˈu	1.0
n_#>	n	1.0
n_ɪ	n_ɪ	1.0
p	p_ə	1.0
p_#>	p	1.0
r	ɾ	1.0
r_ˈaʊ̯	ɾ_ˈoː	1.0
r_ˈuː	ɾ_ˈɑu̯	1.0
s_#>	s_#>	1.0
t_#>	t_#>	1.0
t_n	t_ə_n	1.0
t_æ	t_ə_ɾ	1.0
v	ʋ	1.0
w	z_ʋ	1.0
x	χ	1.0
x_#>	χ_#>	1.0
æ	ɾ	1.0
æ_#>	ɾ_#>	1.0
ç_#>	χ_#>	1.0
ŋ_k	ŋ	1.0
ɡ	χ	1.0
ɪ	ə	1.0
ʃ_#>	s_#>	1.0
ˈa	ˈɑ	1.0
ˈae̯_#>	ˈi_#>	1.0
ˈaʊ̯_#>	ˈu	1.0
ˈeː	ˈeː	1.0
ˈiː	ˈɛi̯	1.0
ˈiː_#>	ˈɛi̯_#>	1.0
ˈiː_n	ˈɛi̯_n	1.0
ˈiː_æ	ˈi_ɾ	1.0
ˈoː	ˈoː	1.0
ˈoː_æ	ˈaː_ɾ	1.0
ˈuː	ˈœy̯	1.0
ˈuː_æ	ˈoː_ɾ	1.0
ˈyː	ˈœy̯	1.0
ˈyː_æ	ˈyː_ɾ	1.0
ˈœː	ˈoː	1.0
ˈɔ_l	ˈɑu̯	1.0
ˈɛː	ˈeː	1.0
ˈʊ	ˈɔ	1.0
ˈʊ_n	ˈɔ_n	1.0
m_#>	m_ə_n	0.231
ˈaʊ̯	ˈoː	0.571
ˈɒː	ˈaː	0.812
n	n_d	0.3
ŋ	ŋ	0.643
ˈɔʏ̯	ˈoː	0.333
ˈɪ	χ_ˈɪ	0.083
ˈɪ	ˈɛi̯	0.083
ˈɪ	ˈɪ	0.833
<#_ʃ	<#_s	0.524
l	ɫ	0.864
m	m_ə	0.4
s	z̥	0.5
s	ɾ_s	0.5
t	t	0.35
t	d̥	0.65
ç	χ_t	0.5
ç	ŋ	0.5
ɾ	-	0.375
ɾ	ə	0.625
ˈae̯	ˈi	0.435
ˈae̯	ˈeː	0.565
ˈɔ	ˈoː	0.25
ˈɔ	ˈɔ	0.75
ˈɛ	ˈeː	0.25
ˈɛ	ˈɛ	0.75
ˈʏ	ˈɛ	0.25
ˈʏ	ˈʏ	0.75
<#_ʃ	<#_s_χ	0.286
l	ɫ_ə	0.136
m	v_ə	0.6
ˈaː	ˈɛ_ɾ	0.286
ˈaː	ˈɑ	0.286
n	n	0.7
ŋ	χ_ə_n	0.357
ˈɔʏ̯	ˈu	0.667
ˈɒː	ˈoː	0.188
<#_ʃ	<#	0.19
m_#>	m_#>	0.769
ˈaʊ̯	ˈu	0.429
ˈaː	ˈɑ_ɾ	0.429
