Ripuarian	Ripuarian	probability
ˈɔː	ˈoː_ɾ	1.0
ˈøː	ˈuə̯	1.0
ˈøʏ̯	ˈiə̯_ʋ	1.0
ˈu	-	1.0
ˈoʊ̯	-	1.0
ˈa_ɫ	ˈu	1.0
ʋ_ˈiː	ʋ	1.0
ʋ_ˈa	ʋ	1.0
ʋ	ʋ	1.0
ɣ̊	ɦ̥	1.0
ɣ	ɦ	1.0
ə_f	v_ə	1.0
z	z	1.0
v̥	v̥	1.0
t	t	1.0
p	p	1.0
m_ˈɔ	m	1.0
m	m	1.0
k_#>	ɦ_ə_#>	1.0
k	k	1.0
e	iə̯	1.0
d_ɐ	ɾ	1.0
d	d	1.0
b	b	1.0
<#_ʀ	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
ʀ	ɾ	0.905
d̥	d̥	0.889
ˈa	ˈɑ	0.875
ʦ	t	0.875
f	v	0.852
l	l	0.846
j	ɦ	0.846
ə	n	0.818
s	t	0.812
z̥	z̥	0.778
n	n	0.767
ɐ	ɾ	0.724
ˈœ	ˈœ	0.714
v	v	0.714
ˈɔʊ̯	ˈoː	0.667
ɪ	-	0.667
ʃ	s	0.583
ɡ̊	d̥	0.583
ˈɔ	ˈɔ	0.556
ˈeː	ˈiə̯	0.556
ˈaː	ˈɑ	0.538
ˈʏ	ˈoː	0.5
ˈʏ	-	0.5
ˈɪ	ˈɪ	0.5
ˈuː	ˈyː	0.5
ˈuː	ˈoː	0.5
ˈoː	ˈuə̯	0.5
ˈo	ˈu	0.5
ˈo	-	0.5
ˈeɪ̯	ˈeː	0.5
ˈeɪ̯	-	0.5
ˈe	ˈɪ	0.5
#>	ɦ_ə_#>	0.5
#>	d̥_#>	0.5
ɕ	k	0.471
ŋ	n	0.462
ˈɛː	ˈeː	0.444
ˈyː	ˈoː	0.429
ŋ	ŋ	0.423
ˈoː	ˈɒː	0.4
ɫ	w	0.375
ɫ	l	0.375
x	k	0.375
x	h_t	0.375
ˈɛ	ˈæ	0.353
ˈɛː	ˈæ	0.333
ˈɔʊ̯	ˈu_ʋ	0.333
ˈiː	ˈiə̯	0.333
ˈiː	ˈi	0.333
ˈiː	-	0.333
ɪ	ɪ	0.333
ˈaː	ˈɒː	0.308
ˈɪ	-	0.3
ɕ	ɦ̥	0.294
ˈœ	ˈɪ	0.286
ˈyː	ˈiə̯	0.286
ˈyː	-	0.286
v	-	0.286
ˈeː	ˈɛː	0.278
ʃ	ʃ_h	0.25
ɡ̊	k	0.25
x	h	0.25
ˈɛ	ˈeː	0.235
ˈɛː	-	0.222
ˈɔ	ˈœ	0.222
ˈɔ	ˈoː	0.222
z̥	-	0.222
ˈe	ˈæ	0.214
ˈɪ	ˈi	0.2
s	s	0.188
ˈɛ	-	0.176
ɕ	h_t	0.176
ɐ	ə_ɾ	0.172
ˈeː	-	0.167
ʃ	z	0.167
ɡ̊	-	0.167
ˈaː	-	0.154
l	w	0.154
j	j	0.154
f	p	0.148
ˈe	ˈɛ	0.143
ˈe	-	0.143
ˈa	-	0.125
ʦ	ɾ_t	0.125
ɫ	ə_l	0.125
ɫ	l_ə	0.125
ə	ə	0.121
ˈɛ	ˈɛ	0.118
ˈɛ	ˈɑ	0.118
ŋ	n_d	0.115
d̥	-	0.111
ɐ	ɾ_ə	0.103
ˈoː	ˈoː	0.1
n	n_ə	0.1
ʀ	ɾ_ˈiə̯	0.095
n	ə	0.067
n	-	0.067
ə	ə_n	0.061
ɕ	ç	0.059
