German	Bokmål Norwegian	probability
b	b	0.749
b	-	0.247
d	tʰ	0.573
d	-	0.274
d	d	0.142
d_ɐ	ɾ	1.0
f	f	0.576
f	p	0.213
f	ʋ	0.134
f	-	0.066
h	h	0.915
h	j	0.082
j	ˈʊ	0.66
j	-	0.153
k	ɡː	0.351
k	ɡ	0.324
k	-	0.193
k	k	0.082
kʰ	kʰ	0.833
kʰ	ç	0.096
l	l	0.825
l	lː	0.129
l_t	lː	1.0
m	m	0.808
m	mː	0.107
m	-	0.073
n	-	0.502
n	n	0.29
n	nː	0.121
n_t	nː	1.0
p	ʋ	0.71
p	-	0.203
p͡f	pʰ	0.277
p͡f	p	0.176
p͡f	d	0.085
s	t	0.372
s	s	0.351
s	sː	0.085
t	-	0.47
t	t	0.311
t	d	0.123
t	d_ə	0.065
t_ɐ	ɾ	1.0
tʰ	d	0.853
tʰ	tʰ	0.138
v	ʋ	0.713
v	-	0.281
x	tː	0.478
x	k	0.171
x	j	0.135
x	-	0.086
z	s	0.814
z	ʂ	0.1
z	ɾ	0.076
ç	k	0.401
ç	-	0.38
ç	s	0.101
ç	ŋ	0.101
ç_t	tː	1.0
ŋ	ŋː	1.0
ŋ_k	kː	1.0
ɐ	ɾ	0.464
ɐ	-	0.225
ɐ	ə_ɾ	0.151
ɐ	ɾ_ə	0.096
ɐ_d	ɾ	0.232
ɐ_t	ɾ	1.0
ə	ə	0.738
ə	-	0.258
ɡ	ɡ	0.459
ɡ	-	0.296
ɡ	j	0.22
ɪ	i	0.33
ɪ	ɪ	0.25
ɪ	ŋ	0.159
ɪ	ə	0.159
ʁ	ɾ	0.92
ʃ	s	0.625
ʃ	s_k	0.337
ʦ	tʰ	0.426
ʦ	d	0.108
ʦ	ʈ	0.108
ʦ	tː	0.081
ʦ	-	0.077
ʦ	ç	0.077
ʦ	t	0.057
ʦ_v	tʰ	1.0
ˈa	ˈɑ	0.715
ˈa	ˈɑː	0.07
ˈa	ˈoː	0.052
ˈa	ˈɛ	0.052
ˈaɪ̯	ˈiː	0.334
ˈaɪ̯	ˈæɪ̯	0.207
ˈaɪ̯	ˈeː	0.19
ˈaɪ̯	ˈɛ	0.19
ˈaɪ̯	ˈuː	0.06
ˈaɪ̯_t	ˈiː	1.0
ˈaʊ̯	ˈʉː	0.475
ˈaʊ̯	ˈøː	0.275
ˈaʊ̯	ˈuː	0.07
ˈaʊ̯	ˈœʏ̯	0.069
ˈaʊ̯	ˈʉ	0.053
ˈaʊ̯	ˈœ	0.052
ˈaː	ˈɑː	0.348
ˈaː	ˈoː	0.32
ˈaː	ˈɛ	0.081
ˈaː	ˈeː	0.067
ˈaː	ˈɑ	0.066
ˈaː	ˈiː	0.059
ˈeː	ˈøː	0.24
ˈeː	ˈiː	0.217
ˈeː	ˈeː	0.189
ˈeː	ˈæɪ̯	0.189
ˈeː	ˈɛː	0.086
ˈiː	ˈyː	0.516
ˈiː	ˈiː	0.19
ˈiː	ˈʉː	0.175
ˈiː	ˈæː	0.06
ˈoː	ˈoː	0.226
ˈoː	ˈøː	0.226
ˈoː	ˈœ	0.149
ˈoː	ˈɔ	0.149
ˈoː	ˈʊ	0.149
ˈoː	ˈʉː	0.068
ˈoː_t	ˈøː	1.0
ˈuː	ˈuː	0.741
ˈuː	ˈʉː	0.258
ˈyː	ˈœ	0.488
ˈyː	ˈøː	0.322
ˈyː	ˈoː	0.107
ˈøː	ˈøː	0.644
ˈøː	ˈʊ	0.235
ˈœ	ˈɔ	0.5
ˈœ	ˈʉ	0.5
ˈɔ	ˈʉ	0.331
ˈɔ	ˈuː	0.289
ˈɔ	-	0.095
ˈɔ	ˈœ	0.095
ˈɔ	ˈʉː	0.067
ˈɔ_ɐ	ˈuː	1.0
ˈɔʏ̯	ˈyː	0.342
ˈɔʏ̯	ˈʊ	0.106
ˈɔʏ̯	ˈiː	0.1
ˈɔʏ̯	ˈʏ	0.1
ˈɔʏ̯	ˈœ	0.097
ˈɔʏ̯	ˈʉː	0.097
ˈɔʏ̯	ˈɛ	0.071
ˈɛ	ˈɛ	0.488
ˈɛ	ˈeː	0.091
ˈɛ	j	0.071
ˈɛ	ˈæ	0.063
ˈɛ	ˈøː	0.063
ˈɛ	ˈœ	0.063
ˈɛ	ˈɛː	0.063
ˈɛː	ˈoː	0.365
ˈɛː	ˈøː	0.085
ˈɪ	ˈɪ	0.48
ˈɪ	ˈiː	0.207
ˈɪ	ˈyː	0.058
ˈɪ	ˈɛ	0.058
ˈɪ	ˈʏ	0.058
ˈʊ	ˈʉ	0.278
ˈʊ	ˈʊ	0.169
ˈʊ	ˈɔ	0.148
ˈʊ	-	0.128
ˈʊ	ˈuː	0.128
ˈʊ	ˈʏ	0.085
ˈʏ	ˈʏ	0.562
ˈʏ	ˈœ	0.225
ˈʏ	ˈɛ	0.086
