Spanish	Aragonese	probability
θ_a	s_a	1.0
β_e_#>	w_#>	1.0
ˈu	ˈu	1.0
ˈo_ɾ	ˈo_ɾ	1.0
ˈo_t	ˈa_t	1.0
ˈe_t	ˈe_t	1.0
ˈe_l	ˈe_l	1.0
ˈa	ˈa	1.0
ʧ_e	j	1.0
ʧ	j_t	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_t	ɾ_t	1.0
ɾ_o	ɾ_o	1.0
ɾ_k	ɾ_k	1.0
ɾ_a	ɾ_a	1.0
ɾ	ɾ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð_ˈa	ð_ˈa	1.0
ð_ɾ_e_#>	j_#>	1.0
ð_#>	t_#>	1.0
u	u	1.0
s_ˈe	s_ˈe	1.0
r	r	1.0
p	p	1.0
o_s	u_s	1.0
n	n	1.0
m	m	1.0
l_ˈe	l_ˈe	1.0
k_ɾ	k_ɾ	1.0
k	k	1.0
f	f	1.0
d	d	1.0
a_θ	a_θ	1.0
a_ɾ	a_ɾ	1.0
a	a	1.0
<#_ˈo	<#_w	1.0
<#_ˈi	<#_f_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_x	<#_ʧ	1.0
<#_o	<#_o	1.0
<#_a	<#_a	1.0
o	o	0.978
s	s	0.958
l	l	0.95
b	b	0.949
w	w	0.941
t	t	0.909
ˈi	ˈi	0.906
β	β	0.897
ˈe	ˈe	0.893
ɣ	ɣ	0.875
j	j	0.862
e	e	0.825
ɲ	ɲ	0.8
θ	θ	0.781
ˈo	ˈo	0.757
ð	ð	0.706
ʝ	ʎ	0.692
x	ʎ	0.667
i	i	0.625
o_#>	#>	0.6
<#	<#_f	0.6
ɟ͡ʝ	p_l	0.4
o_#>	w_#>	0.4
i	-	0.375
<#	<#_ʧ	0.267
ɲ	-	0.2
ɟ͡ʝ	l	0.2
ɟ͡ʝ	k_l	0.2
ɟ͡ʝ	-	0.2
ð	-	0.176
ʝ	ð	0.154
ʝ	l	0.154
j	-	0.138
<#	<#_a	0.133
ɣ	-	0.125
ð	t	0.118
x	ˈe_ʎ	0.111
x	ʃ	0.111
x	-	0.111
ˈo	ˈu	0.108
β	p	0.103
θ	ʃ	0.094
ˈi	j_ˈe	0.094
t	-	0.091
e	i	0.088
e	-	0.088
ˈo	w_ˈe	0.081
θ	ʧ	0.062
θ	-	0.062
w	-	0.059
ˈo	ˈo_ʝ	0.054
ˈe	ʝ_ˈe	0.053
ˈe	-	0.053
b	-	0.051
