Piedmontese	Bellunese	probability
a	a	0.904
a	-	0.078
b	b	0.918
b	s	0.083
d	d	0.702
d	-	0.147
d	t	0.115
e	e_r	0.401
e	-	0.159
e	e	0.118
e	ˈa	0.1
e	ˈi	0.1
e	r_e	0.058
e	o	0.052
f	f	0.95
f	v	0.056
i	i	0.417
i	-	0.296
i	e	0.107
i	j	0.107
i	ˈɛ	0.069
j	-	0.455
j	j	0.365
j	r	0.052
j	ʧ_o	0.051
k	k	0.963
l	l	0.948
m	m	0.848
m	ŋ	0.101
m	n	0.053
n	n	0.678
n	ŋ	0.318
p	p	1.0
r	r	0.755
r	r_o	0.123
r	-	0.064
s	s	0.638
s	θ	0.293
t	t	0.804
t	t_o	0.093
t	d	0.055
u	o	0.732
u	e	0.114
u	-	0.075
u	ˈu	0.075
v	v	0.858
v	-	0.067
w	l	0.265
w	w	0.23
w	o	0.171
w	-	0.152
w	a	0.113
y	u	0.518
z	z	0.616
z	ð	0.369
ŋ	ŋ	0.616
ŋ	n	0.295
ŋ	ɲ	0.054
ə	-	0.574
ə	ˈɛ	0.298
ə_r	r	0.072
ɡ	ɡ	0.733
ɡ	ɡ_w	0.157
ɡ	-	0.103
ɲ	ɲ	0.58
ɲ	n	0.139
ɲ	ŋ	0.139
ʤ	ð	0.53
ʤ	-	0.301
ʤ	ʤ	0.092
ʤ	z	0.074
ʧ	θ	0.53
ʧ	ʧ	0.239
ʧ	p	0.085
ˈa	ˈa	0.925
ˈa	-	0.053
ˈe	ˈe	0.377
ˈe	ˈa_r	0.341
ˈe	-	0.081
ˈe	e	0.07
ˈe	ˈɛ	0.061
ˈe	ˈa	0.052
ˈi	ˈi	0.733
ˈi	ˈe	0.167
ˈi	ˈɛ	0.057
ˈu	ˈo	0.924
ˈy	ˈu	0.764
ˈy	ˈo	0.129
ˈy	ˈe	0.101
ˈø	ˈo	0.433
ˈø	ˈɔ	0.203
ˈø	ˈo_ɡ	0.181
ˈø	o	0.142
ˈɔ	ˈɔ	0.695
ˈɔ	ˈo	0.218
ˈɔ	o	0.066
ˈə	ˈe	1.0
ˈɛ	ˈɛ	0.543
ˈɛ	ˈe	0.415
