Russian	Ukrainian	probability
<#	<#_w	1.0
<#_d	<#_d	1.0
<#_dʲ	<#_d	1.0
<#_j	<#_j	1.0
<#_m	<#_m	1.0
<#_mʲ	<#_mʲ	1.0
<#_n	<#_nʲ	1.0
<#_p	<#_p	1.0
<#_pʲ	<#_p	1.0
<#_s	<#_s	1.0
<#_sʲ	<#_s	1.0
<#_t	<#_t	1.0
<#_vʲ	<#_ʋ	1.0
<#_x	<#_x	1.0
<#_zʲ	<#_z	1.0
<#_ɡ	<#_ɦ	1.0
<#_ʨ	<#_ʧ	1.0
d	d	1.0
dʲ	d	1.0
j	j_#>	1.0
k	k	1.0
kʲ	k	1.0
kʲ_ɪ	k_ˈɪ	1.0
lʲ_#>	lʲ_#>	1.0
lʲ_ˈa	lʲ_ˈɑ	1.0
lʲ_ˈe	lʲ_ˈi	1.0
m	m	1.0
n	n	1.0
nʲ	nʲ_#>	1.0
pʲ	pʲ	1.0
r	r	1.0
s	s	1.0
s_#>	s_#>	1.0
sʲ	sʲ	1.0
sʲ_tʲ	s_tʲ	1.0
sʲ_ɪ	sʲ_ɐ	1.0
tʲ_#>	t_e	1.0
v	ʋ	1.0
vʲ	ʋʲ	1.0
x	x	1.0
ɐ	ɔ	1.0
ɐ_r	ɔ_r	1.0
ɐ_ɡ	ɔ_ɦ	1.0
ə_ɫ	ɔ_ɫ	1.0
ɡ_ə	ɦ_ɔ	1.0
ɨ	e	1.0
ɨ_j	ˈɪ_j	1.0
ɪ_z	ɐ_z	1.0
ɪ_ɫ	ɔ_ɫ	1.0
ɫ	ɫ	1.0
ɫ_#>	ɫ_#>	1.0
ʂ	ʒ	1.0
ʊ	ʊ	1.0
ʐ	ʒ	1.0
ʦ	ʦʲ	1.0
ʦ_ə	ʦ_ɛ	1.0
ˈe_r	ˈɛ_r	1.0
ˈe_t	ˈi_t	1.0
ˈe_ɫ	ˈi_ɫ	1.0
ˈi	ˈɪ	1.0
ˈo_#>	ˈɔ_#>	1.0
ˈu	ˈu	1.0
ˈæ	ˈɑ	1.0
ˈɛ	ˈi	1.0
ˈɨ	ˈɪ	1.0
ˈɵ	ˈɛ	1.0
<#_k	<#_kʲ	0.222
t	d	0.222
ə	ɐ_#>	0.312
ə	ɔ_#>	0.562
k_#>	ɦ_#>	0.333
rʲ	rʲ	0.3
tʲ	t	0.3
ɪ	i	0.333
ɪ	e	0.333
ˈe	ˈɛ	0.353
ˈo	ˈi	0.423
<#_lʲ	<#_ɫ	0.4
<#_r	<#_rʲ	0.4
<#_tʲ	<#_tʲ	0.4
<#_v	<#_ʋʲ	0.4
mʲ	m_#>	0.4
t_#>	t_#>	0.714
<#_z	<#_z	0.5
<#_z	<#_zʲ	0.5
p	b_#>	0.5
p	p	0.5
ə	ɔ	0.125
ɪ	ɔ	0.095
ˈa	ˈa_#>	0.095
ˈo_ɫ	ˈɔ_ʋ	0.5
ˈo_ɫ	ˈɔ_ʍ	0.5
<#_lʲ	<#_lʲ	0.6
<#_r	<#_r	0.6
<#_tʲ	<#_t	0.6
<#_v	<#_w	0.6
mʲ	m	0.6
t_#>	d_#>	0.286
ˈa	ˈɑ_#>	0.476
k_#>	k_#>	0.667
rʲ	r	0.7
tʲ	tʲ_#>	0.7
ˈe	ˈi	0.647
ˈo	ˈɔ	0.577
<#_k	<#_k	0.778
t	t	0.778
ɪ	ɛ	0.238
ˈa	ˈɑ	0.238
ˈa	ɐ	0.19
