American English	Faroese	probability
b	b̥	1.0
d	d̥	0.475
d	-	0.424
d	t	0.032
d	n	0.03
d	tː	0.03
f	f	0.774
f	v_ʊ	0.061
f	l	0.056
f	v	0.047
f	ɡ̊	0.041
h	h	0.892
h	-	0.105
i	ɛ	0.488
i	a	0.131
i	ʊ	0.131
j	ˈɔ̯aː	0.53
j	-	0.169
j	ˈuː	0.169
k	k	0.693
k	ʰk	0.14
k	ʰʧ	0.102
k	ʰkː	0.049
kʰ	kʰ	1.0
l	l	0.841
l	l̥	0.065
l	-	0.054
l	ʎ	0.047
m	m	0.685
m	m_ʊ	0.255
m	n	0.047
m	ʃ	0.031
n	n	0.674
n	-	0.124
n	nː	0.065
n	t_n̥	0.046
n	n̥	0.042
oʊ̯	ʊ	0.366
oʊ̯	a	0.177
p	ʰp	0.389
p	p	0.359
p	v	0.106
p	ɹ	0.106
s	s	0.916
s	sː	0.062
s	ʃ	0.031
t	t	0.304
t	ʰtː	0.213
t	t_ʊ	0.207
t	t_a	0.106
t	ʈ	0.063
tʰ	tʰ	0.903
tʰ	ʧʰ	0.076
v	v	0.451
v	v_a	0.144
v	f	0.112
v	-	0.08
v	m	0.073
w	v	0.429
w	-	0.247
w	kʰ_v	0.167
w	ˈoː	0.058
w	ˈʉːu̯	0.04
z	s	1.0
ð	w	0.43
ð	tʰ	0.169
ð	v	0.117
ð	-	0.112
ð	nː	0.112
ŋ	ŋ	0.864
ŋ	ɲ	0.135
ŋ_k	ʰkː	1.0
ə	ʊ	0.251
ə	ˈɛ	0.251
ə	-	0.211
ə	a	0.14
ɚ	ɪ_ɹ	0.231
ɚ	ɹ	0.231
ɚ	ʊ_ɹ	0.224
ɚ	ɹ_ʊ	0.086
ɚ	n̥	0.065
ɡ	ɡ̊	1.0
ɪ	ɪ	1.0
ɫ	l	0.509
ɫ	l_ʊ	0.169
ɫ	l̥	0.115
ɫ	t_l̥	0.1
ɫ	l̥_ʊ	0.082
ɹ	ɹ	0.875
ɹ	-	0.095
ɹ	r	0.032
ɾ	ʰt	1.0
ʃ	ʃ	0.444
ʃ	s_k	0.433
ʃ	f	0.102
ʤ	ɡ̊	0.5
ʤ	ʤ̊	0.5
ʧ	ʧʰ	0.5
ʧ	k	0.25
ʧ	ʧ	0.25
ˈaɪ̯	ˈʊ̯iː	0.414
ˈaɪ̯	ˈɔ	0.13
ˈaɪ̯	ˈɪ	0.075
ˈaɪ̯	ˈɛːa̯	0.074
ˈaɪ̯	ˈa	0.061
ˈaʊ̯	ˈʉːu̯	0.481
ˈaʊ̯	ˈɪ_ɡ̊	0.178
ˈaʊ̯	ˈʊ	0.178
ˈaʊ̯	ˈʊ_ɡ̊	0.135
ˈeɪ̯	ˈɛːa̯	0.459
ˈeɪ̯	ˈa	0.139
ˈeɪ̯	w	0.082
ˈeɪ̯	ˈiː	0.079
ˈeɪ̯	ˈɔ	0.079
ˈi	ˈʊ̯iː	0.124
ˈi	ˈɔ̯aː	0.11
ˈi	ˈɔːi̯	0.11
ˈi	ˈɛːi̯	0.102
ˈi	ˈɛːa̯	0.094
ˈoʊ̯	ˈai̯	0.232
ˈoʊ̯	ˈaːi̯	0.186
ˈoʊ̯	ˈɔ̯aː	0.13
ˈoʊ̯	ˈa	0.099
ˈoʊ̯	ˈøː	0.099
ˈu	ˈɔ̯aː	0.279
ˈu	ˈɔːu̯	0.212
ˈu	ˈœ	0.14
ˈu	ˈɛːi̯	0.14
ˈu	ˈɔ	0.1
ˈæ	ˈa	0.316
ˈæ	ˈɛːa̯	0.292
ˈæ	ˈɔ	0.229
ˈæ	ˈeː	0.084
ˈæ	ˈœ	0.061
ˈɑ	ˈa	0.529
ˈɑ	ˈuː	0.103
ˈɑ	ˈœ	0.077
ˈɑ	j	0.075
ˈɑ	ˈɛ	0.075
ˈɔ	ˈɔ	0.4
ˈɔ	ˈa	0.18
ˈɔ	ˈʊ̯iː	0.136
ˈɔ	ˈøː	0.094
ˈɔ	ˈœ	0.071
ˈɛ	ˈɛːi̯	0.196
ˈɛ	ˈœ	0.185
ˈɛ	ˈɛ	0.181
ˈɛ	ˈøː	0.101
ˈɛ	ɪ	0.058
ˈɝ	ˈɪ	0.392
ˈɝ	ɹ	0.16
ˈɝ	ˈøː	0.142
ˈɪ	ˈɪ	0.414
ˈɪ	ˈiː	0.198
ˈɪ	ˈʊ̯iː	0.142
ˈɪ	ˈɛ	0.083
ˈɪ	j	0.063
ˈʊ	ˈɔːu̯	0.538
ˈʊ	ˈʊ	0.295
ˈʊ	ˈʏ	0.095
ˈʌ	ˈʊ	0.259
ˈʌ	ˈɔ	0.213
ˈʌ	ˈɔːu̯	0.213
ˈʌ	ˈai̯	0.084
ˈʌ	ˈuː	0.084
θ	tʰ	0.326
θ	nː	0.199
θ	j	0.131
θ	-	0.105
θ	ʧʰ	0.095
