Bellunese	Emilian	probability
a	a	0.882
a	-	0.117
b	b	0.966
d	d	0.865
d	ʤ	0.079
e	-	0.448
e	e	0.417
e	ˈiː	0.068
e	i	0.058
f	f	0.9
f	v	0.095
i	i	0.614
i	-	0.196
i	e	0.117
j	j	0.478
j	-	0.451
j	ˈɛː	0.067
k	k	0.963
l	l	0.97
m	m	1.0
n	n	0.808
n	ŋ	0.116
o	-	0.59
o	u	0.262
o	o	0.052
p	p	0.987
r	r	0.928
s	s	0.852
s	z	0.113
t	t	0.922
t	d	0.072
t_o	t	1.0
u	u	0.667
u	ˈʌ	0.333
v	v	0.886
v	-	0.071
w	w	0.474
w	-	0.351
w	v	0.133
z	z	0.53
z	-	0.147
z	ð	0.112
z	ʧ	0.112
z	v	0.085
ð	ð	1.0
ŋ	ŋ	0.826
ŋ	m	0.072
ŋ	ɲ	0.061
ɡ	ɡ	1.0
ɡ_o	ɡ	1.0
ɲ	ɲ	1.0
ʤ	ʤ	1.0
ʧ	ʧ	1.0
ˈa	ˈɛ	0.475
ˈa	ˈaː	0.275
ˈa	ˈa	0.214
ˈe	ˈa	0.527
ˈe	ˈæ	0.121
ˈe	ˈiː	0.116
ˈe	-	0.081
ˈe	ˈe	0.055
ˈi	ˈe	0.569
ˈi	ˈiː	0.28
ˈi	ˈi	0.083
ˈi	ˈɔː	0.059
ˈo	ˈʌu̯	0.33
ˈo	ˈɔː	0.18
ˈo	ˈʌ	0.134
ˈo	ˈuː	0.122
ˈo	ˈo	0.105
ˈo	ˈaː	0.081
ˈu	ˈuː	0.547
ˈu	ˈo	0.446
ˈɔ	ˈɔ	0.471
ˈɔ	ˈɔː	0.447
ˈɔ	ˈʌ	0.073
ˈɛ	ˈɛ	0.62
ˈɛ	ˈɛː	0.146
ˈɛ	-	0.135
θ	θ	0.891
θ	z	0.068
