Spanish	Spanish	probability
θ_ˈe	s_e	1.0
θ_#>	s_#>	1.0
ˈo_β	ˈo	1.0
ˈe_θ	ˈe_s	1.0
ˈe_ð	ˈe	1.0
ˈa	ˈa	1.0
ʧ	t	1.0
ʝ_o_#>	l_#>	1.0
ʝ	l	1.0
ɾ_a	r_a	1.0
ɾ_#>	r_#>	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð_ɾ	r	1.0
x_o	s	1.0
w	w	1.0
u	-	1.0
t_e_#>	t_#>	1.0
t	t	1.0
s_ˈe	s_ˈe	1.0
s_ˈa	s_ˈa	1.0
s_a	z_a	1.0
r	r	1.0
p	p	1.0
o_l	o_l	1.0
o_#>	#>	1.0
n_a	n	1.0
n_#>	ŋ_#>	1.0
k_ɾ	k_r	1.0
k	k	1.0
f	f	1.0
e_s	s	1.0
e_#>	#>	1.0
a_β	a_v	1.0
a_#>	#>	1.0
<#_θ	<#_θ	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#	1.0
<#_x	<#_ð	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
<#	<#_f	1.0
#>	e_#>	1.0
a	a	0.931
d	d	0.846
m	m	0.84
s	s	0.812
o	o	0.812
l	l	0.765
ɾ	r	0.742
ˈo	ˈo	0.731
β	v	0.692
j_ˈe	ˈɛ	0.667
ˈi	ˈi	0.654
ˈu	ˈu	0.636
ɾ_o	r_o	0.625
ˈe	ˈe	0.619
w_ˈe	ˈo	0.55
j	j	0.545
n	ŋ	0.514
ð	d	0.5
i	i	0.5
i	-	0.5
n	n	0.486
b	v	0.481
e	e	0.48
j	-	0.455
w_ˈe	ˈɔ	0.45
x	ʧ	0.444
b	b	0.444
ɲ	n	0.429
ɟ͡ʝ	p_j	0.429
θ	θ	0.385
ɾ_o	r	0.375
ˈu	ˈo	0.364
ð	t	0.333
x	j	0.333
j_ˈe	ˈe	0.333
θ	z	0.308
θ	-	0.308
ɲ	ɲ	0.286
ɲ	-	0.286
ɟ͡ʝ	ʧ	0.286
ɟ͡ʝ	j	0.286
ˈi	-	0.269
l	-	0.235
x	-	0.222
s	-	0.188
ð	-	0.167
m	ŋ	0.16
e	-	0.16
β	b	0.154
β	-	0.154
ˈo	ˈɔ	0.154
d	t	0.154
ɾ	e	0.129
o	-	0.125
e	ˈe	0.12
e	o	0.12
e	i	0.12
ˈe	ˈa	0.119
ˈo	ˈu	0.115
ˈe	ˈɛ	0.095
ˈe	-	0.095
ˈi	ˈɛ	0.077
b	-	0.074
ˈe	e	0.071
a	ˈa	0.069
ɾ	e_r	0.065
ɾ	-	0.065
o	ŋ	0.062
