German	Scots	probability
b	b	0.805
b	v	0.112
b	-	0.065
d	θ	0.449
d	d	0.265
d	ð	0.263
f	f	0.768
f	p	0.165
f_ə	p	1.0
h	h	1.0
j	j	1.0
k	k	0.414
k	-	0.381
k	ɡ	0.186
k_ə	k	0.492
kʰ	kʰ	0.638
kʰ	k	0.231
kʰ	ʧ	0.107
l	l	0.876
l	ɫ	0.069
m	m	0.924
m	-	0.066
m_ə	m	1.0
n	n	0.57
n	-	0.419
n_s	s	1.0
p	f	0.654
p	-	0.32
p͡f	p	0.5
p͡f	pʰ	0.5
s	s	0.521
s	t	0.478
s_ə	t	1.0
t	d	0.492
t	t	0.368
t	θ	0.077
t_n	d	0.492
tʰ	d	0.91
tʰ	θ	0.09
v	w	0.841
v	ʍ	0.117
x	x	0.855
x	k	0.122
z	s	0.826
z	z	0.108
z	-	0.062
ç	-	0.556
ç	x	0.374
ç	k	0.064
ç_ə	k	0.492
ŋ	ŋ	1.0
ŋ_ə	ŋ	1.0
ɐ	r	0.583
ɐ	ə	0.312
ɐ	-	0.062
ə	-	0.753
ə	ə	0.128
ɡ	ɡ	0.528
ɡ	-	0.402
ɡ	j	0.062
ɪ	əi̯	0.315
ɪ	i	0.251
ɪ	ŋ	0.251
ʁ	r	0.946
ʁ_ə	r	1.0
ʃ	s	0.611
ʃ	ʃ	0.387
ʃ_ə	s	0.492
ʦ	tʰ	0.607
ʦ	t	0.388
ˈa	ˈɑ	0.248
ˈa	ˈɑː	0.222
ˈa	ˈe	0.165
ˈa	ˈɪ	0.147
ˈa	ˈɛ	0.125
ˈa_l	ˈɑː	1.0
ˈaɪ̯	ˈəi̯	0.338
ˈaɪ̯	ˈe	0.337
ˈaɪ̯	ˈɪ	0.093
ˈaɪ̯	ˈɛ	0.082
ˈaɪ̯	ˈɑː	0.053
ˈaʊ̯	ˈʉ	0.513
ˈaʊ̯	ˈei̯	0.272
ˈaʊ̯	ˈiː	0.085
ˈaʊ̯	ˈaːɪ̯	0.067
ˈaʊ̯	ˈi	0.053
ˈaː	ˈe	0.282
ˈaː	ˈɛ	0.146
ˈaː	ˈeː	0.127
ˈaː	ˈiː	0.127
ˈaː	ˈei̯	0.069
ˈaː	ˈɔ	0.068
ˈaː	ˈɑ	0.065
ˈaː	ˈø	0.056
ˈaː	ˈɑː	0.053
ˈaː_ɡ	ˈeː	1.0
ˈeː	ˈiː	0.274
ˈeː	ˈɑː	0.154
ˈeː	ˈei̯	0.116
ˈeː	ˈi	0.089
ˈeː	ˈəi̯	0.089
ˈeː	ˈe	0.087
ˈeː	ˈɪ	0.087
ˈeː	ˈɛ	0.066
ˈiː	ˈiː	0.333
ˈiː	ˈe	0.182
ˈiː	ˈɛ	0.182
ˈiː	ˈei̯	0.159
ˈiː	ˈi	0.064
ˈiː	ˈʌʉ̯	0.06
ˈoː	ˈei̯	0.337
ˈoː	ˈe	0.228
ˈoː	ˈiː	0.103
ˈoː	ˈɔ	0.103
ˈoː	ˈʉ	0.08
ˈoː	ˈʌ	0.061
ˈoː	ˈø	0.06
ˈuː	ˈø	0.495
ˈuː	ˈɪ	0.251
ˈuː	ˈʉ	0.251
ˈyː	ˈiː	0.506
ˈyː	ˈɪ	0.164
ˈyː	ˈi	0.101
ˈyː	ˈʌʉ̯	0.101
ˈøː	ˈei̯	0.392
ˈøː	ˈɪ	0.341
ˈøː	ˈiː	0.193
ˈœ	ˈa	0.242
ˈɔ	ˈɔ	0.78
ˈɔ	ˈʉ	0.074
ˈɔ	ˈəi̯	0.073
ˈɔ	ˈʌ	0.069
ˈɔ_l	ˈʌʉ̯	1.0
ˈɔʏ̯	ˈəi̯	0.326
ˈɔʏ̯	ˈe	0.187
ˈɔʏ̯	ˈei̯	0.132
ˈɔʏ̯	ˈʉ	0.127
ˈɔʏ̯	j	0.086
ˈɔʏ̯	ˈiː	0.058
ˈɛ	ˈɛ	0.533
ˈɛ	ˈɪ	0.152
ˈɛ	ˈei̯	0.1
ˈɛ	j	0.078
ˈɛ	ˈɑ	0.061
ˈɛ	ˈʌ	0.061
ˈɛː	ˈɛ	0.488
ˈɛː	ˈiː	0.24
ˈɛː	ˈei̯	0.077
ˈɪ	ˈɪ	0.705
ˈɪ	ˈiː	0.064
ˈɪ	ˈi	0.056
ˈʊ	ˈɔ	0.269
ˈʊ	ˈʉ	0.216
ˈʊ	ˈɪ	0.211
ˈʊ	ˈʌ	0.183
ˈʊ	ˈiː	0.105
ˈʏ	ˈɪ	0.574
ˈʏ	ˈaːɪ̯	0.172
ˈʏ	ˈəi̯	0.111
