Štokavian	Štokavian	probability
̌_z	z	1.0
̌_n	ɨ_n	1.0
̌_k	k	1.0
̂_x	x_o	1.0
ʨ	ʨ	1.0
ʧ	ʨ	1.0
ʦ	ʦ	1.0
ʎ_#>	lʲ_#>	1.0
ʎ	lʲ	1.0
ʋ_j	vʲ	1.0
ʃ	ʂ	1.0
ɲ	nʲ	1.0
ɡ̊	z̥	1.0
ɡ_#>	#>	1.0
uː_̌	ʊ	1.0
t_o	t_ə	1.0
t_i	tʲ	1.0
s_#>	s_#>	1.0
r̩ː	ɵ	1.0
r̩	e	1.0
r_#>	r_#>	1.0
oː	o	1.0
o_̌	ɐ	1.0
o_̂	o_ˈ	1.0
o_#>	#>	1.0
m_j	mʲ	1.0
l_a	ɫ_a	1.0
e_̌	ɪ	1.0
e_#>	ə_#>	1.0
d̥	d̥	1.0
d_#>	d̥_#>	1.0
aː_̌	ɐ	1.0
a_̌	a_ˈ	1.0
a_n	n_ɨ	1.0
a_#>	ə_#>	1.0
<#_ʋ	<#_v	1.0
<#_x	<#_x	1.0
<#_t	<#_tʲ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_lʲ	1.0
<#_d	<#_dʲ	1.0
#>	j_#>	0.913
ɡ	ɡ	0.882
̂	ˈ	0.867
x	x	0.8
l	ɫ	0.8
k	k	0.8
e_̂	e_ˈ	0.75
d	d	0.722
<#_j	<#_j	0.714
o	ə	0.692
s	s	0.688
ʒ	ʐ	0.667
j	-	0.667
iː	ɨ	0.636
aː	o	0.625
t	t	0.593
m	m	0.579
̌	ˈ	0.545
p	pʲ	0.538
b	b	0.538
z	z	0.533
u	u	0.5
j_eː	ɪ	0.5
j_eː	e	0.5
ʋ	v	0.474
p	p	0.462
̌	-	0.455
r	rʲ	0.429
r	r	0.429
n	n	0.429
m	mʲ	0.421
t	tʲ	0.407
eː	ɪ	0.4
uː	u	0.385
aː	a	0.375
ʋ	vʲ	0.368
a	a_ˈ	0.36
n	nʲ	0.357
e	-	0.357
i	i	0.353
ʒ	ʐ̊	0.333
z	zʲ	0.333
j	ɐ	0.333
s	sʲ	0.312
uː	o	0.308
i	ɨ	0.294
e	e_ˈ	0.286
<#_j	<#	0.286
u	v	0.25
u	o	0.25
e_̂	ˈ	0.25
uː	ʊ	0.231
b	bʲ	0.231
d	dʲ	0.222
a	-	0.22
n	n_ɨ	0.214
e	ɪ	0.214
x	xʲ	0.2
l	lʲ	0.2
eː	-	0.2
iː	i	0.182
iː	-	0.182
ʋ	-	0.158
o	ɐ	0.154
o	o_ˈ	0.154
b	b̥	0.154
r	ɐ_r	0.143
e	e	0.143
z	-	0.133
k	kʲ	0.12
a	o	0.12
a	a	0.12
ɡ	ɡ̊	0.118
i	ɪ	0.118
i	ɨ_ˈ	0.118
i	i_ˈ	0.118
eː	ɵ	0.1
eː	ɛ	0.1
eː	æ	0.1
eː	e	0.1
#>	ˈ_#>	0.087
k	-	0.08
uː	ʉ	0.077
b	b̥ʲ	0.077
̂	ˈ_ɫ	0.06
a	ə	0.06
d	d̥ʲ	0.056
