Swabian	Gothic	probability
a	a_n	0.8
a	-	0.097
a	oː	0.054
b	b	0.719
b	β	0.212
b̥͡f	p	1.0
d	d	0.424
d	θ	0.266
d	t	0.099
d	ð	0.086
d	θ_s	0.071
e	a	0.883
e	-	0.117
f	f	0.632
f	p	0.166
f	-	0.062
f	i_f	0.06
f	p_s	0.052
h	h	1.0
j	j	1.0
kʰ	k	0.78
kʰ	kʷ	0.178
l	l	0.854
l	l_s	0.06
m	m	0.838
m	-	0.162
n	n	0.928
p͡f	β	1.0
s	s	0.707
s	t	0.17
s	-	0.079
t	t	0.794
t	θ	0.206
x	h	0.887
x	k	0.113
ç	k	1.0
ŋ	ŋ_ɡ	0.706
ŋ	ŋ	0.273
ɐ	u	1.0
ɡ	ɡ	0.533
ɡ	x	0.164
ɡ	ɡ_s	0.101
ɡ	ɣ	0.069
ɡ	h	0.068
ɡ	k	0.065
ɪ	a	1.0
ʁ	r	0.816
ʁ	kʷ	0.114
ʁ	j	0.07
ʃ	s_k	0.485
ʃ	s	0.456
ʋ	w	0.887
ʋ	ʍ	0.113
ʌ	a_r	0.413
ʌ	ˈiː	0.146
ʌ	-	0.118
ʌ	a	0.103
ʌ	oː	0.078
ʌ	r	0.078
ʌ	u	0.064
ʕ	r	0.742
ʕ	s	0.258
ʦ	t	1.0
ˈa	ˈa	0.928
ˈa	ˈɛː	0.072
ˈae̯	ˈiu̯	0.325
ˈae̯	ˈɛː	0.31
ˈae̯	j	0.179
ˈae̯	ˈiː	0.112
ˈae̯	ˈu	0.073
ˈao̯	ˈɔː	0.381
ˈao̯	ˈuː	0.32
ˈao̯	ˈu	0.123
ˈao̯	ˈɔ	0.088
ˈao̯	oː	0.087
ˈaː	ˈa	0.545
ˈaː	ˈa_n	0.428
ˈe	ˈi	0.72
ˈe	ˈɛ	0.169
ˈe	ˈa	0.111
ˈeə̯	ˈɛ	1.0
ˈeː	ˈɔː	0.457
ˈeː	ˈi	0.348
ˈeː	ˈɛː	0.109
ˈeː	ˈɛ	0.086
ˈi	ˈi	0.757
ˈi	ˈi_k	0.105
ˈi	w	0.104
ˈiə̯	ˈiu̯	1.0
ˈiː	ˈi	0.37
ˈiː	ˈiu̯	0.37
ˈiː	ˈuː	0.26
ˈo	ˈu	0.728
ˈo	ˈuː	0.109
ˈo	ˈeː	0.08
ˈoː	ˈɔː	0.289
ˈoː	ˈɔ	0.225
ˈoː	ˈeː	0.189
ˈoː	ˈu	0.132
ˈoː	ˈiu̯	0.118
ˈu	ˈu	0.663
ˈu	ˈiu̯	0.337
ˈuə̯	ˈoː	1.0
ˈuː	ˈoː	0.5
ˈuː	ˈuː	0.5
ˈɔ	ˈi	0.469
ˈɔ	ˈɔ	0.255
ˈɔ	ˈɔː	0.193
ˈɔ	ˈu	0.082
ˈɔe̯	ˈɛː	0.556
ˈɔe̯	ˈɛː_n	0.317
ˈɔe̯	a	0.126
ˈɔə̯	ˈoː	1.0
ˈɔː	ˈeː	0.731
ˈɔː	nː	0.154
ˈɔː	ˈa	0.115
ˈəi̯	ˈiː	0.766
ˈəi̯	ˈiu̯	0.149
ˈəi̯	ˈoː	0.085
ˈɛ	ˈi	0.432
ˈɛ	ˈa	0.304
ˈɛ	ˈɛ	0.193
ˈɛ	ˈɛː	0.071
ˈɛː	ˈi	0.909
ˈɛː	ˈɛ	0.091
ˈɪ	ˈi	1.0
ˈʌ	ˈɛ	1.0
