Teochew	Teochew	probability
⁵²	⁴¹	1.0
⁴⁴	³³	1.0
ʨʰ	ʨʰ_j	1.0
ʦ_w	ʂ	1.0
ʣ_i	ɤ	1.0
ʔ_⁴	²⁴	1.0
ʔ_²	²⁴	1.0
ɡ	-	1.0
ŋ̍	w_a	1.0
¹¹	²¹	1.0
³³	³³	1.0
²⁴	¹³	1.0
²¹³	⁴⁵	1.0
²	²⁴	1.0
w_e	e_j	1.0
w_a	o	1.0
ũ	a	1.0
pʰ	p	1.0
õ	n	1.0
o_j	i	1.0
k̚_⁴	²⁴	1.0
k̚_²	²⁴	1.0
k̚	w	1.0
kʰ	kʰ	1.0
h_w	ɸ	1.0
e_ʔ	ɤ	1.0
e_k̚	ɤ	1.0
b	m	1.0
ã	n	1.0
a_j	z̩	1.0
<#_ʣ	<#	1.0
<#_h	<#	1.0
<#	<#_ŋ	1.0
⁵⁵	¹³	0.912
ŋ	n	0.903
w	w	0.778
h	x	0.75
j	j	0.733
l	l	0.714
ʦ	ʦ	0.667
tʰ	tʰ	0.667
ẽ	i_n	0.667
s	s	0.556
p	p	0.538
k	ʨ	0.533
ʦʰ	ʦʰ	0.5
ɯ	a	0.5
ɯ	-	0.5
t	ʦ	0.5
t	t	0.5
m	n	0.5
s	ɕ	0.444
a	a	0.417
p	ɸ	0.385
o	o	0.375
i	i	0.375
a	ə	0.361
ʦʰ	ʨʰ	0.333
ʦ	s	0.333
³⁵	⁴⁵	0.333
³⁵	⁴¹	0.333
³⁵	²¹	0.333
u	y	0.333
tʰ	t	0.333
k	k	0.333
ĩ	j_ẽ	0.333
ĩ	j	0.333
ĩ	-	0.333
ẽ	æ	0.333
e	a	0.312
m	m	0.3
l	l̃	0.286
u	ə	0.267
o	ɒ	0.25
o	-	0.25
i	ə	0.25
i	z̩	0.25
h	ɸ	0.25
e	i	0.25
w	-	0.222
u	u	0.2
u	a	0.2
m	w	0.2
e	ɒ_w	0.188
ʦʰ	-	0.167
k	-	0.133
j	a	0.133
j	-	0.133
o	ə	0.125
i	ʦ_z̩	0.125
e	w	0.125
e	-	0.125
a	-	0.111
ŋ	ẽ	0.097
⁵⁵	n_¹³	0.088
p	pʰ	0.077
a	ɒ	0.056
a	a_j	0.056
