Belarusian	Russian	probability
ˈ	ˈ	1.0
ʧ	ʨ	1.0
ʦʲ	tʲ	1.0
ʦ	ʦ	1.0
ʤ̥	d̥ʲ	1.0
ʣʲ	dʲ	1.0
ʐ̊	ʐ̊	1.0
ʐ	ʐ	1.0
ʌ_ɫ	ɫ	1.0
ʌ	ə	1.0
ʉ	ʉ	1.0
ʃ	ɕː	1.0
ʂ	ʂ	1.0
ɵ	ɵ	1.0
ɫ	ɫ	1.0
ɨ_ˈ	ɨ_ˈ	1.0
ɣʲ	ɡʲ	1.0
ɣ	ɡ	1.0
æ_ʦʲ	ɪ_tʲ	1.0
z̥	z̥	1.0
z	z	1.0
xʲ_i	x_o	1.0
xʲ	xʲ	1.0
vʲ	vʲ	1.0
t	t	1.0
s_a	s_a	1.0
s	s	1.0
r_ɨ	rʲ_ɪ	1.0
r_a	rʲ_ɪ	1.0
pʲ	pʲ	1.0
p	p	1.0
nʲ	nʲ	1.0
n	n	1.0
mʲ	mʲ	1.0
m	m	1.0
lʲ	lʲ	1.0
kʲ	kʲ	1.0
k	k	1.0
d̥ʲ	d̥	1.0
d̥	d̥	1.0
d	d	1.0
bʲ	bʲ	1.0
b	b	1.0
a_ˈ	a_ˈ	1.0
o	o	0.922
sʲ	sʲ	0.87
e	e	0.857
i	i	0.847
v	v	0.846
r	r	0.827
zʲ	zʲ	0.818
u	u	0.765
x	x	0.751
b̥	b̥	0.743
ɛ	-	0.585
ɨ	ɨ	0.551
æ	ɪ	0.508
w	ɫ	0.5
ɛ	ɛ	0.415
æ	a	0.372
a	ɐ	0.362
a	a	0.309
w	-	0.296
b̥	b̥ʲ	0.257
x	ɡ̊	0.249
ɨ	-	0.247
u	ʊ	0.235
w	v	0.204
ɨ	o	0.202
zʲ	z	0.182
r	rʲ	0.173
v	-	0.154
i	ɪ	0.153
e	ɪ	0.143
a	ə	0.14
sʲ	s	0.13
æ	æ	0.12
a	-	0.091
o	ɵ	0.078
a	ɪ	0.064
