Dutch	Danish	probability
b	b̥	0.933
b	-	0.052
b	b̥_j	0.027
d	d̥	0.401
d	-	0.285
d	ʦʰ	0.274
d	ʨ	0.036
f	-	0.379
f	w	0.225
f	mˀ	0.113
f	ʋ	0.104
f	v	0.069
j	ˈɔ	0.351
j	ˈɔˀ	0.163
k	kʰ	0.528
k	k	0.184
k	-	0.17
k	j	0.089
l	l	0.826
l	lˀ	0.134
m	m	0.853
m	mˀ	0.094
m	-	0.038
m	wˀ	0.026
n	-	0.562
n	n	0.378
n	nˀ	0.042
n_d	n	1.0
n_t	nˀ	0.805
n_t	n	0.184
p	b̥	0.574
p	pʰ	0.163
p	-	0.108
p	p	0.104
s	s	0.779
s	s_k	0.164
s	-	0.033
s	k_s	0.033
t	ð̞ˠ	0.574
t	t	0.217
t	ʦʰ	0.09
t	-	0.066
t	lˀ	0.04
t_ʋ	ʦʰ	1.0
v	f	0.891
v	-	0.065
v	v	0.039
v_ə	w	1.0
w	ˈeˀ	0.574
w	-	0.266
z	s	1.0
ŋ	ŋ	0.526
ŋ	ŋˀ	0.469
ŋ_k	k	1.0
ə	ə	0.443
ə	-	0.43
ə	i	0.047
ə	w	0.036
ə	ɐ	0.024
ə_χ	w	0.463
ɦ	h	0.88
ɦ	j	0.116
ɪ	-	0.66
ɪ	e	0.142
ɫ	l	0.824
ɫ	lˀ	0.124
ɫ	-	0.031
ɫ	nˀ	0.028
ɾ	ɐ	0.397
ɾ	ʁ	0.342
ɾ	-	0.123
ɾ	ɐˀ	0.085
ɾ	n	0.022
ɾ_m	m	0.1
ɾ_s	s	0.215
ɾ_t	ɐˀ	1.0
ʋ	ʋ	0.712
ʋ	-	0.095
ʋ	ˈo	0.072
ʋ	j	0.063
ʋ	v	0.049
ʋ_ˈɔ	ˈu	1.0
ˈaː	ˈɔˀ	0.267
ˈaː	ˈoˀ	0.088
ˈaː	ˈɑ	0.088
ˈaː	ˈɑː	0.077
ˈaː	ˈʌ	0.067
ˈeː	ˈeˀ	0.317
ˈeː	ˈɛˀ	0.114
ˈeː	ˈiˀ	0.099
ˈeː	-	0.065
ˈeː	ˈɛː	0.065
ˈi	ˈyˀ	0.219
ˈi	ˈyː	0.207
ˈi	ˈɛˀ	0.075
ˈi	ˈeˀ	0.075
ˈi	ˈuˀ	0.075
ˈoː	ˈœˀ	0.239
ˈoː	ˈo	0.175
ˈoː	ˈøː	0.152
ˈoː	ˈœ	0.136
ˈoː	ˈʌˀ	0.086
ˈu	ˈoˀ	0.452
ˈu	ˈo	0.182
ˈu	ˈœˀ	0.138
ˈu	ˈœ	0.091
ˈu	ˈʌ	0.067
ˈyː	ˈyˀ	0.187
ˈyː	ˈi	0.087
ˈøː	ˈɛː	1.0
ˈœy̯	ˈuˀ	0.712
ˈœy̯	ˈuː	0.128
ˈœy̯	ˈɔ	0.063
ˈœy̯	ˈy	0.062
ˈɑ	ˈa	0.388
ˈɑ	ˈɛ	0.163
ˈɑ	ˈɑ	0.131
ˈɑ	-	0.078
ˈɑ	ˈɛˀ	0.052
ˈɑ_ɾ	ˈɑˀ	1.0
ˈɑu̯	ˈu	0.425
ˈɑu̯	lˀ	0.226
ˈɑu̯	ˈʌ	0.12
ˈɔ	ˈu	0.321
ˈɔ	ˈœ	0.126
ˈɔ	ˈɔ	0.108
ˈɔ	ˈɛ	0.096
ˈɔ	-	0.077
ˈɛ	ˈe	0.168
ˈɛ	ˈa	0.124
ˈɛ	ˈɛ	0.118
ˈɛ	ˈœ	0.094
ˈɛ	ˈæ	0.082
ˈɛi̯	ˈiˀ	0.403
ˈɛi̯	ˈiː	0.195
ˈɛi̯	ˈɛ	0.141
ˈɛi̯	ˈeˀ	0.107
ˈɛi̯	ˈi	0.081
ˈɪ	ˈe	0.511
ˈɪ	ˈiˀ	0.165
ˈɪ	ˈyˀ	0.066
ˈɪ	ˈø	0.053
ˈɪ	ˈeˀ	0.051
ˈʏ	ˈœ	0.407
ˈʏ	ˈø	0.268
ˈʏ	ˈu	0.164
ˈʏ	ˈy	0.055
χ	ɡ̊	0.46
χ	-	0.289
χ	k	0.095
χ	j	0.09
χ	w	0.046
χ_t	t	0.744
χ_t	s	0.245
χ_ə	jˀ	0.644
χ_ə	w	0.226
