Dutch	Danish	probability
b	b̥	0.901
b	b̥_j	0.079
d	-	0.357
d	ʦʰ	0.32
d	d̥	0.285
f	w	0.31
f	-	0.302
f	ʋ	0.263
f	mˀ	0.125
i	n	1.0
j	-	0.52
j	ˈi	0.48
k	kʰ	0.425
k	-	0.211
k	k	0.198
k	j	0.166
m	m	0.849
m	wˀ	0.08
m	mˀ	0.06
n	-	0.52
n	n	0.441
p	b̥	0.529
p	-	0.313
p	p	0.123
s	s	0.94
t	ð̞ˠ	0.602
t	t	0.19
t	ʦʰ	0.092
t	-	0.067
v	f	0.672
v	-	0.262
v	kʰ	0.066
w	-	0.5
w	ˈyˀ	0.5
z	s	1.0
ŋ	ŋ	0.463
ŋ	ŋˀ	0.378
ŋ	-	0.159
ə	ə	0.591
ə	-	0.298
ɦ	h	0.846
ɦ	j	0.154
ɪ	-	0.5
ɪ	e	0.5
ɫ	l	0.81
ɫ	lˀ	0.142
ɾ	ɐ	0.385
ɾ	ʁ	0.384
ɾ	-	0.094
ɾ	ɐˀ	0.088
ʋ	ʋ	0.621
ʋ	-	0.236
ʋ	j	0.069
ʋ	ˈuː	0.051
ˈaː	ˈɔː	0.224
ˈaː	ˈa	0.162
ˈaː	ˈɔˀ	0.125
ˈaː	ˈɒˀ	0.089
ˈaː	ˈɑː	0.075
ˈaː	ˈʌ	0.057
ˈaː	ˈɛ	0.057
ˈeː	ˈeˀ	0.323
ˈeː	ˈɛˀ	0.17
ˈeː	j	0.108
ˈeː	ˈoˀ	0.08
ˈeː	ˈɔˀ	0.066
ˈi	ˈyˀ	0.209
ˈi	ˈɛˀ	0.167
ˈi	ˈyː	0.148
ˈi	ˈiˀ	0.101
ˈi	ˈɑ	0.101
ˈi	ˈeː	0.065
ˈoː	ˈʌ	0.213
ˈoː	ˈo	0.192
ˈoː	ˈœˀ	0.153
ˈoː	ˈøː	0.146
ˈoː	ˈœ	0.124
ˈu	ˈoˀ	0.358
ˈu	ˈœˀ	0.168
ˈu	ˈʌ	0.164
ˈu	ˈo	0.117
ˈu	ˈøː	0.085
ˈu	ˈœ	0.063
ˈyː	ˈi	0.452
ˈyː	ˈɛˀ	0.261
ˈyː	ˈuˀ	0.241
ˈøː	ˈɛː	1.0
ˈœy̯	ˈuˀ	0.597
ˈœy̯	ˈuː	0.267
ˈœy̯	ˈy	0.108
ˈɑ	ˈa	0.301
ˈɑ	ˈɛ	0.205
ˈɑ	ˈɑ	0.181
ˈɑ	-	0.08
ˈɑ	ˈe	0.057
ˈɑ	ˈɔˀ	0.057
ˈɑ	ˈʌ	0.057
ˈɑu̯	ˈu	0.319
ˈɑu̯	ˈʌ	0.319
ˈɑu̯	lˀ	0.175
ˈɑu̯	ə	0.154
ˈɔ	ˈɔ	0.434
ˈɔ	ˈu	0.217
ˈɔ	-	0.152
ˈɔ	ˈɔˀ	0.058
ˈɛ	ˈɛ	0.249
ˈɛ	ˈœ	0.158
ˈɛ	-	0.109
ˈɛ	ˈœː	0.104
ˈɛ	ˈa	0.091
ˈɛ	ˈæ	0.083
ˈɛ	ˈi	0.069
ˈɛi̯	ˈiˀ	0.368
ˈɛi̯	ˈeˀ	0.202
ˈɛi̯	ˈiː	0.182
ˈɛi̯	ˈɛ	0.091
ˈɛi̯	-	0.082
ˈɪ	ˈe	0.612
ˈɪ	ˈiˀ	0.105
ˈɪ	ˈø	0.091
ˈʏ	ˈœ	0.422
ˈʏ	ˈu	0.315
ˈʏ	ˈø	0.172
ˈʏ	ˈy	0.09
χ	ɡ̊	0.498
χ	-	0.283
χ	k	0.126
χ	j	0.074
