Dutch	Danish	probability
b	b̥	0.947
b	-	0.053
d	d̥	0.401
d	-	0.285
d	ʦʰ	0.274
d	ʨ	0.036
f	-	0.379
f	w	0.225
f	mˀ	0.113
f	ʋ	0.104
f	v	0.069
j	ˈɔ	0.351
j	ˈɔˀ	0.163
k	kʰ	0.528
k	k	0.184
k	-	0.17
k	j	0.089
l	l	0.826
l	lˀ	0.134
m	m	0.871
m	mˀ	0.098
m	-	0.032
n	-	0.549
n	n	0.393
n	nˀ	0.041
n_d	n	1.0
n_t	nˀ	1.0
p	b̥	0.574
p	pʰ	0.163
p	-	0.108
p	p	0.104
s	s	0.779
s	s_k	0.164
s	-	0.033
s	k_s	0.033
t	ð̞ˠ	0.539
t	t	0.204
t	-	0.169
t	ʦʰ	0.084
t_ʋ	ʦʰ	1.0
v	f	0.891
v	-	0.065
v	v	0.039
v_ə	w	1.0
w	ˈeˀ	0.574
w	-	0.266
z	s	1.0
ŋ	ŋ	0.526
ŋ	ŋˀ	0.469
ŋ_k	k	1.0
ə	ə	0.429
ə	-	0.393
ə	w	0.071
ə	i	0.046
ə	ɐ	0.023
ɦ	h	0.88
ɦ	j	0.116
ɪ	-	0.66
ɪ	e	0.142
ɫ	l	0.824
ɫ	lˀ	0.124
ɫ	-	0.031
ɫ	nˀ	0.028
ɾ	ɐ	0.391
ɾ	ʁ	0.341
ɾ	-	0.122
ɾ	ɐˀ	0.093
ɾ	n	0.022
ɾ_m	m	0.1
ɾ_s	s	0.215
ɾ_t	ɐˀ	1.0
ʋ	ʋ	0.712
ʋ	-	0.095
ʋ	ˈo	0.072
ʋ	j	0.063
ʋ	v	0.049
ʋ_ˈɔ	ˈu	1.0
ˈaː	ˈɔˀ	0.272
ˈaː	ˈoˀ	0.09
ˈaː	ˈɑ	0.09
ˈaː	ˈɑː	0.079
ˈaː	ˈɒː	0.067
ˈeː	ˈeˀ	0.321
ˈeː	ˈɛˀ	0.115
ˈeː	ˈiˀ	0.1
ˈeː	-	0.066
ˈeː	ˈɛː	0.066
ˈi	ˈyˀ	0.219
ˈi	ˈyː	0.207
ˈi	ˈɛˀ	0.075
ˈi	ˈeˀ	0.075
ˈi	ˈuː	0.075
ˈoː	ˈœˀ	0.239
ˈoː	ˈo	0.175
ˈoː	ˈøː	0.152
ˈoː	ˈœ	0.136
ˈoː	ˈʌˀ	0.086
ˈu	ˈoˀ	0.452
ˈu	ˈo	0.182
ˈu	ˈœˀ	0.138
ˈu	ˈœ	0.091
ˈu	ˈʌ	0.067
ˈyː	ˈyˀ	0.187
ˈyː	ˈi	0.087
ˈøː	ˈɛː	1.0
ˈœy̯	ˈuˀ	0.712
ˈœy̯	ˈuː	0.128
ˈœy̯	ˈɔ	0.063
ˈœy̯	ˈy	0.062
ˈɑ	ˈa	0.388
ˈɑ	ˈɛ	0.163
ˈɑ	ˈɑ	0.131
ˈɑ	-	0.114
ˈɑ	ˈɛˀ	0.052
ˈɑ_ɾ	ˈɑˀ	1.0
ˈɑu̯	lˀ	1.0
ˈɔ	ˈu	0.321
ˈɔ	ˈœ	0.126
ˈɔ	ˈɔ	0.108
ˈɔ	ˈɛ	0.096
ˈɔ	-	0.077
ˈɛ	ˈe	0.163
ˈɛ	ˈɛ	0.142
ˈɛ	ˈa	0.121
ˈɛ	ˈœ	0.092
ˈɛ	ˈæ	0.08
ˈɛi̯	ˈiˀ	0.409
ˈɛi̯	ˈiː	0.199
ˈɛi̯	ˈɛ	0.144
ˈɛi̯	ˈeˀ	0.109
ˈɛi̯	ˈi	0.082
ˈɪ	ˈe	0.519
ˈɪ	ˈiˀ	0.154
ˈɪ	ˈyˀ	0.067
ˈɪ	ˈø	0.053
ˈɪ	ˈyː	0.051
ˈʏ	ˈœ	0.407
ˈʏ	ˈø	0.268
ˈʏ	ˈu	0.164
ˈʏ	ˈy	0.055
χ	ɡ̊	0.411
χ	-	0.316
χ	k	0.085
χ	j	0.08
χ	w	0.055
χ_t	t	1.0
χ_ə	jˀ	1.0
