Slovenian	Čakavian	probability
́_#>	#>	1.0
̀_ʋ	ʋ	1.0
ʧ	c	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʋ	ʋ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛː_̀	e	1.0
ɛː	e	1.0
ə_m	a_n	1.0
ɔː_̀	o	1.0
ɔː	uː	1.0
ɔ_́	oː_̌	1.0
ɔ	o	1.0
z	z	1.0
x	x	1.0
w	-	1.0
uː	uː	1.0
t_a	t_a	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r_#>	r_#>	1.0
p	p	1.0
o	o	1.0
m	m	1.0
l	l	1.0
k	k	1.0
iː_́	iː_̂	1.0
i_#>	i_#>	1.0
e	e	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
aː_́	aː_̂	1.0
aː_̀	a_̂	1.0
aː	aː	1.0
a_́	aː_̌	1.0
a	a	1.0
<#_r	<#_r	1.0
<#_l	<#_l	1.0
#>	̂_#>	1.0
́	̂	0.872
n	n	0.864
iː	i	0.75
r	r	0.714
̀	̂	0.6
w_#>	l_#>	0.571
eː_̀	i_̂	0.571
ə	a	0.565
ɛ	e	0.545
eː_́	e	0.545
j	j	0.5
j	-	0.5
i	iː	0.5
i	i	0.5
eː	iː	0.462
eː_́	eː_̂	0.455
oː	o	0.44
w_#>	#>	0.429
eː_̀	iː	0.429
oː	oː	0.32
eː	e	0.308
r	-	0.286
ɛ	i_̂	0.273
ə	r̩	0.261
iː	iː	0.25
oː	uː	0.24
̀	̌	0.233
eː	i	0.231
ɛ	eː	0.182
̀	-	0.167
n	ɲ	0.136
́	̌	0.128
ə	aː_̌	0.087
ə	aː	0.087
