Slovenian	Slovenian	probability
́_#>	#>	1.0
̀_ʋ	ʋ	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʋ	ʋ	1.0
ʃ	ʃ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛː_̀	e	1.0
ɛː	e	1.0
ə_m	a_n	1.0
ɔː_̀	o	1.0
ɔː	uː	1.0
ɔ_́	oː_̌	1.0
z	z	1.0
x	x	1.0
w	-	1.0
uː	uː	1.0
u	-	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r_#>	r_#>	1.0
p	p	1.0
o	o	1.0
m	m	1.0
k	k	1.0
iː_́	iː_̂	1.0
i_#>	i_#>	1.0
eː_́	e	1.0
eː_̀	iː	1.0
e	e	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
aː_́	aː_̂	1.0
aː_̀	a_̂	1.0
aː	aː	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_ʧ	1.0
a	a	0.926
l	l	0.905
#>	̂_#>	0.882
́	̂	0.844
n	n	0.824
ɔ	o	0.8
r	r	0.75
iː	i	0.75
̀	̂	0.606
w_#>	l_#>	0.571
ɛ	e	0.545
ʧ	c	0.5
ʧ	-	0.5
ə	a	0.5
j	j	0.5
j	-	0.5
i	iː	0.5
i	i	0.5
oː	o	0.44
w_#>	#>	0.429
oː	oː	0.32
eː	i	0.318
ɛ	i_̂	0.273
eː	iː	0.273
r	-	0.25
iː	iː	0.25
oː	uː	0.24
ə	r̩	0.231
eː	eː	0.227
̀	̌	0.212
ɔ	-	0.2
̀	-	0.182
ɛ	eː	0.182
eː	e	0.182
n	ɲ	0.176
́	̌	0.156
#>	a_#>	0.118
ə	-	0.115
l	-	0.095
ə	aː_̌	0.077
ə	aː	0.077
a	aː	0.074
