Slovenian	Čakavian	probability
́_#>	#>	1.0
̀_ʋ	ʋ	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʋ	ʋ	1.0
ʃ	-	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛː_̀	e	1.0
ɛː	e	1.0
ə_m	a_n	1.0
ɔː_̀	o	1.0
ɔː	uː	1.0
ɔ_́	oː_̌	1.0
z	z	1.0
x	x	1.0
w	-	1.0
uː	uː	1.0
u	-	1.0
t_a	t_a	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r_#>	r_#>	1.0
p	p	1.0
o	o	1.0
m	m	1.0
k	k	1.0
iː_́	iː_̂	1.0
iː_̀	i_̂	1.0
iː	iː	1.0
i_#>	i_#>	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
aː_́	aː_̂	1.0
aː_̀	a_̂	1.0
aː	aː	1.0
a_́	aː_̌	1.0
a	a	1.0
<#_r	<#_r	1.0
<#_l	<#_l	1.0
l	l	0.905
#>	̂_#>	0.882
́	̂	0.868
n	n	0.864
ɔ	o	0.8
r	r	0.714
ʧ	-	0.667
w_#>	l_#>	0.571
eː_̀	i_̂	0.571
ɛ	e	0.545
eː_́	e	0.545
ə	a	0.52
j	j	0.5
j	-	0.5
i	iː	0.5
i	i	0.5
e	e	0.5
e	-	0.5
̀	̂	0.462
eː	iː	0.462
eː_́	eː_̂	0.455
oː	o	0.44
w_#>	#>	0.429
eː_̀	iː	0.429
ʧ	c	0.333
oː	oː	0.32
eː	e	0.308
r	-	0.286
ɛ	i_̂	0.273
̀	̌	0.269
̀	-	0.269
ə	r̩	0.24
oː	uː	0.24
eː	i	0.231
ɔ	-	0.2
ɛ	-	0.182
n	ɲ	0.136
́	̌	0.132
#>	a_#>	0.118
l	-	0.095
ə	aː_̌	0.08
ə	aː	0.08
ə	-	0.08
