Ladin	Romanian	probability
a	ə	0.606
a	-	0.176
a	a	0.078
b	b	1.0
d	d	0.472
d	t	0.206
d	-	0.146
d	ʦ	0.053
d_j	z	0.513
d_l	kʲ	1.0
e	e	0.393
e	ə	0.133
e	-	0.117
e	i	0.111
e	e_r	0.094
e	u	0.053
f	f	0.707
f	-	0.189
f	p	0.087
i	-	0.317
i	nʲ	0.24
i	i	0.142
i	j	0.142
i	e	0.071
j	j	0.308
j	e̯ˈa	0.188
j	-	0.18
j	r_e	0.097
j	r	0.082
k	k	0.763
k	ʧʲ	0.097
k	ʤ	0.056
k	p	0.052
k_l	k	0.513
l	l	0.559
l	r	0.323
l	-	0.115
l_a	e	1.0
m	m	0.802
m	m_e	0.116
n	n	0.788
n	n_e	0.105
n	-	0.086
o	u	0.567
o	o	0.19
o	e	0.087
o	o̯ˈa	0.087
o	ˈo	0.068
p	p	0.867
p	p_j	0.121
r	r	0.853
r	-	0.062
s	s	0.748
s	ʃ	0.129
s	-	0.112
t	t	0.552
t	t_e	0.216
t	p_t	0.097
t	d	0.062
u	-	0.338
u	u	0.338
v	v	0.611
v	-	0.206
v	p	0.147
w	-	0.323
w	l	0.2
w	ˈo	0.184
w	o̯ˈa	0.112
w	ˈa	0.073
w	u	0.072
w_ˈɛ	ˈo	0.654
w_ˈɛ	o̯ˈa	0.249
z	s	0.513
ŋ	n	0.702
ŋ	m	0.186
ŋ	ŋ	0.093
ɡ	ɡ	0.429
ɡ	b	0.281
ɡ	k	0.167
ɡ	p	0.11
ɲ	m	0.287
ɲ	n	0.287
ɲ	m_n	0.194
ɲ	j	0.165
ʃ	s	0.522
ʃ	ʃ_t	0.209
ʃ	ʧ_e	0.135
ʃ	k	0.061
ʃ	ʦ	0.061
ʒ	ʤ	0.453
ʒ	ʒ	0.144
ʒ	z	0.144
ʒ	ʦ	0.095
ʒ	ʧ	0.079
ʒ	ʃ	0.075
ʤ	ɡ	0.338
ʤ	ʤ	0.338
ʥ	ʒ	0.229
ʥ	k	0.118
ʦ	ʦ	0.538
ʦ	z	0.155
ʦ	-	0.11
ʦ	ʧ	0.074
ʦ	s	0.05
ʧ	ʧ	0.282
ʧ	p	0.171
ʧ	s	0.171
ʧ	w	0.133
ʨ	k	0.609
ʨ	ʧ	0.268
ʨ	-	0.06
ʨ	ʦ	0.054
ˈa	ˈa	0.613
ˈa	ˈɨ	0.273
ˈe	ˈe	0.422
ˈe	-	0.129
ˈe	r_e	0.103
ˈe	ˈə	0.071
ˈe	ˈi	0.068
ˈe	e	0.057
ˈe	ˈu	0.056
ˈi	ˈi	0.73
ˈi	ˈi_r	0.137
ˈi	j	0.058
ˈi	-	0.057
ˈi_v	ˈi	1.0
ˈo	ˈu	0.542
ˈo	ˈo	0.167
ˈo	-	0.142
ˈo	o̯ˈa	0.054
ˈo	u	0.053
ˈo	ˈi	0.053
ˈo_s	ˈo	1.0
ˈu	ˈu	0.659
ˈu	ˈo	0.094
ˈu	ˈɨ	0.094
ˈu	u	0.073
ˈu	ˈa	0.071
ˈɔ	ˈo	0.336
ˈɔ	ˈu	0.312
ˈɔ	o̯ˈa	0.213
ˈɔ	u	0.127
ˈɛ	ˈe	0.376
ˈɛ	ˈa	0.342
ˈɛ	ˈi	0.14
ˈɛ_f	w	1.0
