East Low German	American English	probability
b	b	0.908
b	p	0.054
d	d	0.623
d	θ	0.319
f	f	0.897
f	v	0.066
h	h	1.0
j	ɡ	0.496
j	j	0.468
k	k	0.378
k	-	0.233
k	k_ɪ	0.159
k	ʧ	0.139
k	ʤ	0.071
k_n	k	1.0
kʰ	ʧ	0.422
kʰ	kʰ	0.398
kʰ	-	0.144
l	ɫ	0.509
l	l	0.445
m	m	0.861
m	v	0.056
n	n	0.696
n	-	0.233
p	p	0.895
p	d	0.095
r	ɹ	0.971
s	s	0.701
s	z	0.119
s	k_s	0.103
s	-	0.063
t	t	0.56
t	d	0.357
t_n	t	1.0
tʰ	tʰ	1.0
v	w	0.917
v	v	0.05
w	w	1.0
x	-	0.474
x	f	0.245
x	t	0.245
z	s	0.872
z	z	0.072
z	m	0.055
æ	ɚ	0.673
æ	ɹ	0.189
æ	ˈɝ	0.069
æ	-	0.056
ç	-	0.677
ç	t	0.135
ç	ʤ	0.118
ç	ʧ	0.061
ŋ	ŋ	0.784
ŋ	-	0.114
ŋ	n	0.075
ɡ	ɡ	0.702
ɡ	-	0.279
ɣ	-	0.49
ɪ	i	0.776
ɪ	ŋ	0.171
ɾ	ð	0.762
ɾ	ɾ	0.111
ɾ	-	0.084
ʃ	s	0.5
ʃ	ʃ	0.496
ˈa	ˈæ	0.43
ˈa	ˈeɪ̯	0.154
ˈa	ˈɑ	0.131
ˈa	ˈaɪ̯	0.121
ˈa	ˈʌ	0.092
ˈa	ˈɔ	0.06
ˈa_x	ˈeɪ̯	1.0
ˈae̯	ˈoʊ̯	0.294
ˈae̯	ˈi	0.25
ˈae̯	ˈɛ	0.103
ˈae̯	ˈɪ	0.103
ˈae̯	ˈaɪ̯	0.09
ˈae̯	w	0.059
ˈaɪ̯	ˈi	0.24
ˈaʊ̯	ˈi	0.211
ˈaʊ̯	ˈu	0.178
ˈaʊ̯	ˈʌ	0.139
ˈaʊ̯	ˈɛ	0.131
ˈaʊ̯	ˈʊ	0.121
ˈaʊ̯	ˈoʊ̯	0.09
ˈaʊ̯	ˈeɪ̯	0.059
ˈaʊ̯_x	ˈaɪ̯	1.0
ˈaː	ˈɑ_ɹ	0.47
ˈaː	ˈæ	0.348
ˈaː	ˈɔ	0.135
ˈeː	ˈi	0.66
ˈeː	ˈoʊ̯	0.158
ˈiː	ˈaɪ̯	0.402
ˈiː	ˈi	0.249
ˈiː	ˈɪ	0.145
ˈiː	-	0.06
ˈiː	ˈu	0.06
ˈoː	ˈɛ	0.384
ˈoː	ˈi	0.248
ˈoː	ˈɝ	0.188
ˈuː	ˈaʊ̯	0.553
ˈuː	ˈɔ	0.228
ˈuː	-	0.08
ˈuː	ˈaɪ̯	0.064
ˈuː	ˈi	0.064
ˈyː	ˈi	0.298
ˈyː	ˈaɪ̯	0.213
ˈyː	ˈɪ	0.197
ˈøː	ˈaɪ̯	0.574
ˈøː	ˈɪ	0.281
ˈœ	ˈɛ	0.723
ˈœ	ˈɪ	0.203
ˈœː	ˈaʊ̯	0.33
ˈœː	ˈoʊ̯	0.186
ˈœː	ˈɛ	0.186
ˈœː	ˈʌ	0.104
ˈɒː	ˈi	0.337
ˈɒː	ˈeɪ̯	0.333
ˈɒː	ˈaʊ̯	0.095
ˈɒː	ˈu	0.076
ˈɒː	ˈɑ	0.073
ˈɒː	ˈɛ	0.073
ˈɔ	ˈɑ	0.48
ˈɔ	ˈoʊ̯	0.195
ˈɔ	ˈɛ	0.151
ˈɔ	ˈʌ	0.129
ˈɔʏ̯	ˈi	1.0
ˈɛ	ˈɛ	0.367
ˈɛ	ˈeɪ̯	0.248
ˈɛ	ˈɪ	0.194
ˈɛ	ˈaɪ̯	0.083
ˈɛ	ˈæ	0.063
ˈɛɪ̯	ˈi	1.0
ˈɛː	ˈɛ	0.273
ˈɛː	ˈaɪ̯	0.157
ˈɛː	ˈu	0.106
ˈɛː	ˈoʊ̯	0.101
ˈɛː	ˈi	0.068
ˈɪ	ˈɪ	0.481
ˈɪ	ˈaɪ̯	0.305
ˈɪ	ˈoʊ̯	0.11
ˈɪ	ˈɛ	0.096
ˈʊ	ˈʌ	0.533
ˈʊ	ˈʊ	0.253
ˈʊ	ˈaʊ̯	0.173
ˈʏ	ˈɪ	0.813
ˈʏ	ˈɛ	0.186
