East Low German	American English	probability
ae̯	i	1.0
b	b	0.898
b	-	0.059
d	d	0.578
d	θ	0.416
f	f	0.882
f	v	0.074
h	h	1.0
j	ɡ	0.62
j	j	0.38
k	k	0.598
k	ʧ	0.214
k	-	0.125
k	ʤ	0.063
kʰ	kʰ	0.456
kʰ	ʧ	0.435
kʰ	-	0.109
l	l	0.519
l	ɫ	0.477
m	m	0.817
m	v	0.093
m	-	0.055
n	n	0.604
n	-	0.351
p	p	0.98
r	ɹ	0.949
s	s	0.796
s	z	0.176
t	t	0.504
t	d	0.368
tʰ	tʰ	1.0
v	w	0.909
v	-	0.067
w	w	1.0
x	-	0.711
x	t	0.147
x	f	0.142
z	s	0.905
z	m	0.069
æ	ɚ	0.506
æ	ɹ	0.251
æ	-	0.087
ç	-	0.636
ç	ʤ	0.17
ç	t	0.126
ç	ʧ	0.068
ŋ	ŋ	0.69
ŋ	-	0.207
ŋ	n	0.103
ɡ	ɡ	0.779
ɡ	k	0.112
ɡ	-	0.109
ɣ	-	1.0
ɪ	i	0.82
ɪ	ŋ	0.18
ɾ	ð	0.787
ɾ	-	0.128
ɾ	ɾ	0.085
ʃ	ʃ	0.627
ʃ	s	0.373
ˈa	ˈæ	0.481
ˈa	ˈɑ	0.218
ˈa	ˈeɪ̯	0.144
ˈa	ˈʌ	0.064
ˈa	ˈaɪ̯	0.056
ˈae̯	ˈoʊ̯	0.273
ˈae̯	ˈi	0.221
ˈae̯	ˈaɪ̯	0.151
ˈae̯	ˈɛ	0.143
ˈae̯	ˈu	0.09
ˈae̯	ˈɪ	0.071
ˈaɪ̯	ˈi	1.0
ˈaʊ̯	ˈi	0.264
ˈaʊ̯	ˈʌ	0.189
ˈaʊ̯	ˈu	0.138
ˈaʊ̯	ˈʊ	0.123
ˈaʊ̯	ˈɛ	0.105
ˈaʊ̯	ˈaɪ̯	0.052
ˈaː	ˈæ	0.47
ˈaː	ˈɑ_ɹ	0.316
ˈaː	ˈeɪ̯	0.135
ˈaː	ˈɔ	0.078
ˈeː	ˈoʊ̯	0.56
ˈeː	ˈi	0.44
ˈiː	ˈaɪ̯	0.423
ˈiː	ˈi	0.282
ˈiː	ˈɪ	0.084
ˈiː	ˈɝ	0.069
ˈiː	ˈɑ	0.065
ˈoː	ˈi	0.493
ˈoː	ˈɛ	0.282
ˈoː	j	0.163
ˈoː	ˈɝ	0.062
ˈuː	ˈaʊ̯	0.488
ˈuː	ˈɔ	0.265
ˈuː	ˈaɪ̯	0.077
ˈuː	ˈi	0.063
ˈuː	ˈʌ	0.06
ˈyː	ˈi	0.534
ˈyː	ˈɪ	0.338
ˈyː	ˈaɪ̯	0.128
ˈøː	ˈɪ	1.0
ˈœ	ˈɪ	0.641
ˈœ	ˈɛ	0.359
ˈœː	ˈʌ	0.557
ˈœː	ˈɔ	0.214
ˈœː	ˈoʊ̯	0.1
ˈœː	ˈɛ	0.071
ˈœː	ˈaʊ̯	0.058
ˈɒː	ˈeɪ̯	0.316
ˈɒː	ˈʌ	0.231
ˈɒː	ˈi	0.141
ˈɒː	ˈoʊ̯	0.116
ˈɒː	ˈu	0.084
ˈɔ	ˈɑ	0.493
ˈɔ	ˈʌ	0.226
ˈɔ	ˈoʊ̯	0.182
ˈɔ	ˈɛ	0.099
ˈɔʏ̯	ˈi	0.936
ˈɔʏ̯	ˈaɪ̯	0.064
ˈɛ	ˈɛ	0.437
ˈɛ	ˈeɪ̯	0.328
ˈɛ	ə	0.087
ˈɛ	ˈɪ	0.087
ˈɛɪ̯	ˈi	1.0
ˈɛː	ˈɛ	0.505
ˈɛː	ˈu	0.161
ˈɛː	ˈi	0.12
ˈɛː	j	0.084
ˈɛː	ˈaɪ̯	0.08
ˈɛː	ˈoʊ̯	0.05
ˈɪ	ˈɪ	0.575
ˈɪ	ˈaɪ̯	0.227
ˈɪ	ˈoʊ̯	0.086
ˈɪ	ˈɛ	0.077
ˈʊ	ˈʌ	0.68
ˈʊ	ˈaʊ̯	0.249
ˈʊ	ˈʊ	0.07
ˈʏ	ˈɪ	0.646
ˈʏ	ˈɛ	0.153
ˈʏ	ˈʌ	0.153
