Standard Mandarin	Standard Mandarin	probability
ʨʰ_ɥ	ʑ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʐ̩	z̩	1.0
ʐ	nʲ	1.0
ʊ	o	1.0
ʈ͡ʂ	ʦ	1.0
ɻ	i	1.0
ɥ	ɥ	1.0
ɤ_ŋ	ã	1.0
ɛ	ɪ_ʔ	1.0
ɕ	ɕ	1.0
ɑ_w	ɔ	1.0
z̩	z̩	1.0
w_⁵¹	¹²	1.0
w_ɑ	w	1.0
w_a	o	1.0
s	s	1.0
p	p	1.0
o	o_ʔ	1.0
n_²¹⁴	²³	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
j_⁵⁵	⁵⁵	1.0
j_⁵¹	³⁴	1.0
j_ɛ	i	1.0
j_²¹⁴	ʔ_⁵⁵	1.0
j_a	a	1.0
i	i	1.0
e_j	e	1.0
e	-	1.0
a_j	e	1.0
<#_w	<#_m	1.0
<#_n	<#_nʲ	1.0
<#	<#_ɦ	1.0
³⁵	²³	0.935
⁵⁵	⁵³	0.897
n	n	0.85
a_n	ø	0.818
k	k	0.8
y	y	0.778
f	f	0.778
ʨ	ʨ	0.75
ə	ə	0.75
j	j	0.75
ɑ_ŋ	ɑ̃	0.7
ʂ	s	0.667
tʰ	tʰ	0.667
pʰ	b	0.667
²¹⁴	³⁴	0.645
ʨʰ	ʨʰ	0.625
o_w	ɜ	0.625
ŋ	ŋ	0.6
w_ɔ	u	0.6
t	d	0.6
x	ɦ	0.571
ʈ͡ʂʰ	z	0.556
ɛ_n	ø	0.5
ɛ_n	i	0.5
u	u	0.5
⁵¹	²³	0.469
w	-	0.455
ʈ͡ʂʰ	ʦʰ	0.444
x	h	0.429
w_ɔ	o_ʔ	0.4
t	t	0.4
ʨʰ	ʥ	0.375
o_w	ɤ	0.375
w	ɯ	0.364
ʂ	z	0.333
tʰ	d	0.333
pʰ	pʰ	0.333
a	a_ʔ	0.308
a	a	0.308
ɤ	ə	0.3
ɤ	-	0.3
ɑ_ŋ	ã	0.3
²¹⁴	²³	0.29
ŋ	n	0.267
⁵¹	³⁴	0.25
ʨ	-	0.25
ə	-	0.25
u	ə_ʔ	0.25
u	o_ʔ	0.25
j	-	0.25
a	e	0.231
y	-	0.222
f	v	0.222
ɤ	o	0.2
ɤ	nʲ	0.2
k	ɡ	0.2
w	u	0.182
a_n	e	0.182
⁵¹	¹²	0.156
a	-	0.154
n	-	0.15
ŋ	ɑ̃	0.133
⁵¹	⁵⁵	0.125
⁵⁵	⁵⁵	0.103
³⁵	⁵⁵	0.065
²¹⁴	-	0.065
