German	Danish	probability
b	b̥	0.642
b	w	0.117
b	-	0.091
b	b̥_j	0.08
b	v	0.052
d	ʦʰ	0.563
d	-	0.215
d	d̥	0.097
d	ʨ	0.097
d_l	l	1.0
d_ɐ	ɐ	1.0
f	f	0.567
f	-	0.191
f	b̥	0.122
f	wˀ	0.04
f	mˀ	0.038
h	h	0.896
h	j	0.089
j	-	0.403
j	ˈɔˀ	0.087
k	j	0.29
k	ɡ̊	0.246
k	k	0.182
k	w	0.182
k	-	0.075
kʰ	kʰ	1.0
l	l	0.776
l	lˀ	0.179
l	nˀ	0.028
l	-	0.027
l_t	lˀ	1.0
m	m	0.882
m	mˀ	0.108
m	-	0.025
n	-	0.481
n	n	0.468
n	nˀ	0.047
n_s	s	1.0
n_t	nˀ	1.0
p	-	0.245
p	ð̞ˠ	0.245
p	w	0.215
p	v	0.142
p͡f	b̥	0.351
p͡f	pʰ	0.075
s	ð̞ˠ	0.562
s	s	0.398
s	nˀ	0.037
t	ð̞ˠ	0.429
t	-	0.286
t	t	0.275
t_ɐ	ɐ	0.463
tʰ	d̥	0.85
tʰ	ʦʰ	0.143
v	ʋ	0.791
v	-	0.191
v	v	0.026
v_ˈɔ	ˈu	1.0
x	j	0.477
x	-	0.192
x	w	0.111
x_t	t	1.0
z	s	0.955
z	-	0.045
ç	-	0.343
ç	k	0.24
ç	j	0.182
ç	ŋ	0.124
ç	ɡ̊	0.042
ç_t	t	0.683
ç_t	s	0.209
ŋ	ŋˀ	0.634
ŋ	ŋ	0.356
ŋ_k	k	1.0
ɐ	ɐ	0.524
ɐ	-	0.24
ɐ	ɐˀ	0.179
ɐ	lˀ	0.034
ɐ	ə	0.03
ɐ_d	ɐ	0.1
ɐ_t	ɐˀ	1.0
ə	ə	0.547
ə	-	0.326
ə	w	0.063
ə	ɐ	0.055
ɡ	ɡ̊	0.496
ɡ	-	0.393
ɡ	jˀ	0.089
ɪ	-	0.467
ɪ	i	0.235
ɪ	e	0.095
ʁ	ʁ	0.857
ʁ	-	0.071
ʁ	h	0.038
ʁ	s	0.037
ʁ_ə	ɐ	0.463
ʃ	s	0.587
ʃ	s_k	0.376
ʃ	f	0.038
ʦ	ʦʰ	0.431
ʦ	t	0.223
ʦ	-	0.109
ʦ	d̥	0.109
ʦ	w	0.109
ʦ_v	ʦʰ	1.0
ˈa	ˈa	0.27
ˈa	ˈɛ	0.218
ˈa	ˈʌ	0.127
ˈa	ˈɑ	0.124
ˈa	ˈyː	0.046
ˈa_ɐ	ˈɑˀ	1.0
ˈaɪ̯	ˈiˀ	0.321
ˈaɪ̯	ˈeˀ	0.317
ˈaɪ̯	ˈiː	0.117
ˈaɪ̯	ˈɛˀ	0.082
ˈaɪ̯	ˈɛ	0.074
ˈaʊ̯	ˈuˀ	0.41
ˈaʊ̯	ˈœˀ	0.131
ˈaʊ̯	ˈoˀ	0.086
ˈaʊ̯	ˈoː	0.086
ˈaʊ̯	ˈʌ	0.086
ˈaː	ˈɔˀ	0.194
ˈaː	ˈa	0.169
ˈaː	ˈɛː	0.115
ˈaː	ˈɒˀ	0.089
ˈaː	ˈɑː	0.075
ˈeː	ˈeˀ	0.311
ˈeː	ˈiˀ	0.23
ˈeː	ˈɑˀ	0.132
ˈeː	ˈeː	0.09
ˈeː	ˈɑ	0.09
ˈiː	ˈyˀ	0.313
ˈiː	ˈyː	0.176
ˈiː	ˈeˀ	0.107
ˈiː	ˈɛˀ	0.107
ˈiː	ˈuː	0.078
ˈoː	ˈœˀ	0.291
ˈoː	ˈuˀ	0.114
ˈoː	ˈɔː	0.114
ˈoː	ˈøː	0.082
ˈoː	ˈɒ	0.08
ˈuː	ˈoˀ	0.584
ˈuː	ˈo	0.136
ˈuː	ˈu	0.136
ˈuː	ˈʌ	0.136
ˈyː	ˈœˀ	0.45
ˈyː	ˈoː	0.297
ˈyː	ˈœ	0.172
ˈøː	ˈøː	0.363
ˈøː	ˈʌ	0.24
ˈœ	ˈu	0.306
ˈœ	ˈʌ	0.306
ˈɔ	ˈo	0.328
ˈɔ	ˈu	0.221
ˈɔ	ˈœ	0.174
ˈɔ	ˈœˀ	0.086
ˈɔ	ˈɛ	0.076
ˈɔɪ̯	ˈœ	0.463
ˈɔʏ̯	ˈyˀ	0.296
ˈɔʏ̯	ˈiˀ	0.148
ˈɔʏ̯	ˈuˀ	0.101
ˈɔʏ̯	ˈi	0.098
ˈɔʏ̯	ˈy	0.098
ˈɛ	ˈɛ	0.313
ˈɛ	ˈe	0.157
ˈɛ	ˈæ	0.145
ˈɛ	ˈa	0.073
ˈɛ	ˈuˀ	0.073
ˈɛː	ˈœˀ	0.306
ˈɛː	ˈɔː	0.306
ˈɪ	ˈe	0.545
ˈɪ	ˈiˀ	0.092
ˈɪ	ˈi	0.056
ˈɪ	ˈɑ	0.056
ˈɪ	ˈyˀ	0.047
ˈʊ	ˈɔ	0.333
ˈʊ	ˈœ	0.138
ˈʊ	ˈu	0.095
ˈʊ	ˈʌ	0.095
ˈʊ	ˈoː	0.088
ˈʏ	ˈœ	0.312
ˈʏ	ˈɛ	0.151
ˈʏ	ˈy	0.137
ˈʏ	ˈœˀ	0.137
ˈʏ	ˈø	0.079
