Mainland North Frisian	Mainland North Frisian	probability
ˈʊ_l	ˈuː	1.0
ˈɔ	ˈo	1.0
ˈɒ_l	ˈɑː	1.0
ˈœː_j	ˈu	1.0
ˈœi̯_f	ˈøː	1.0
ˈœi̯	-	1.0
ˈuː_l	ˈɑː	1.0
ˈu	-	1.0
ˈiː_tʲ	t	1.0
ˈiː_nʲ	ˈiː	1.0
ˈi_k	ˈaː	1.0
ʀ_t	r	1.0
ɡ	ɡ	1.0
ɛi̯	i	1.0
ŋ	ŋ	1.0
ç	-	1.0
z̥	θ	1.0
z	-	1.0
v_ə	v	1.0
tʲ	t	1.0
t_ʀ	θ_r	1.0
t_ə	t	1.0
l	l	1.0
k_ə	k	1.0
i_ŋ	e	1.0
i_k	ɪ	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
dʲ	d	1.0
d_ʀ	d_r	1.0
d_ə	t_ə	1.0
<#_ˈɒː	<#_ˈe	1.0
<#_ˈuː	<#_ˈiː	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_θ	1.0
<#	<#_θ	1.0
s	s	0.957
n	n	0.943
ʀ	r	0.927
m	m	0.913
b	b	0.88
p	p	0.818
x	ç	0.778
t	t	0.775
ʃ	ʃ	0.769
v	w	0.724
ˈɛ	ˈi	0.625
ˈyː	-	0.625
d	d	0.625
ˈaː	ˈɪ	0.6
ˈai̯	-	0.6
lʲ	l	0.6
j	-	0.6
#>	ˈuː_#>	0.6
ə	-	0.569
ˈa	ˈɪ	0.55
ˈɛi̯	ˈi	0.545
ˈɔː	-	0.545
ˈɔu̯	-	0.5
ˈɒː	ˈa	0.5
ˈɒː	-	0.5
ˈœː	ˈu	0.5
ˈœː	-	0.5
v̥_#>	f_#>	0.5
v̥_#>	#>	0.5
nʲ	n_d	0.5
nʲ	n	0.5
k	kʰ	0.5
k	k	0.5
i	i	0.5
i	-	0.5
ˈʏ	ˈu	0.429
ˈaː	-	0.4
ˈai̯	ˈɪ	0.4
lʲ	-	0.4
j	j	0.4
#>	ˈiː_#>	0.4
ˈʊ	ˈʌ	0.389
ə	ə	0.379
ˈɛ	-	0.375
ˈyː	ˈe	0.375
d	ð	0.375
ˈi	ˈəi̯	0.364
ˈʏ	-	0.357
ˈɛː	ˈɛ	0.333
ˈɛː	ˈa	0.333
ˈɛː	-	0.333
ˈuː	ˈiː	0.333
ˈuː	ˈi	0.333
ˈuː	w	0.333
ˈeː	ˈɛ	0.333
ˈeː	-	0.333
ˈœ	ˈɪ	0.312
ˈœ	ˈø	0.312
ˈiː	ˈiː	0.308
ˈiː	ˈe	0.308
ˈa	-	0.3
ˈʊ	ˈɪ	0.278
ˈɛi̯	-	0.273
ˈɔː	ˈo	0.273
ˈi	ˈɪ	0.273
ˈɔu̯	ˈɪ	0.25
ˈɔu̯	ˈø	0.25
ˈɒ	ˈɪ	0.25
ˈɒ	ˈɛ	0.25
ˈɒ	ˈɑː	0.25
ˈɒ	-	0.25
ˈœ	ˈɑː	0.25
ʃ	s	0.231
t	tʰ	0.225
ˈʊ	-	0.222
x	x	0.222
ˈʏ	ˈuː	0.214
ˈiː	ˈi	0.192
ˈɛi̯	ˈiː	0.182
ˈɔː	ˈa	0.182
p	pʰ	0.182
ˈeː	ˈɪ	0.167
ˈeː	ˈa	0.167
ˈiː	-	0.154
ˈa	ˈeː	0.15
ˈi	-	0.136
ˈœ	ˈʌu̯	0.125
b	-	0.12
ˈʊ	ˈa	0.111
v	ʍ	0.103
v	-	0.103
ˈi	ˈɛ	0.091
ˈi	ˈiː	0.091
m	-	0.087
ʀ	ˈeː_r	0.073
v	v	0.069
n	-	0.057
