Čakavian	Latvian	probability
̌	-	1.0
̂	-	1.0
ʦ	-	1.0
ʒ	ʣ	1.0
ʃ	s_ɛ	1.0
ɲ	n	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
z_o	z̥	1.0
z	z	1.0
x	-	1.0
uː_̌	i_l	1.0
u	-	1.0
t_a	j	1.0
t	t	1.0
r̩	i_r	1.0
r	r	1.0
p	p	1.0
m	m	1.0
l_a	ɛ	1.0
j	-	1.0
iː_̌	uː	1.0
eː_ʦ	e	1.0
c	k_t	1.0
b̥	b̥	1.0
b	b	1.0
aː	-	1.0
l	l	0.825
ʋ	v	0.719
ʧ	-	0.667
k	k	0.664
s	s	0.607
d	d	0.588
oː	a	0.574
d̥	d_u	0.562
eː	ʃ	0.553
uː	au̯	0.529
e	ɛ	0.474
uː	uɔ̯	0.471
n	n	0.463
i	-	0.448
eː	æ	0.447
d̥	s	0.438
oː	aː	0.426
d	-	0.412
a	a	0.406
a	-	0.396
s	-	0.393
o	æ	0.372
iː	-	0.34
iː	iɛ̯	0.338
o	a	0.336
k	ʦ	0.336
ʧ	ʧ	0.333
o	-	0.291
i	i	0.28
iː	iː	0.274
i	ɛː	0.273
e	-	0.229
n	-	0.21
ʋ	v_i	0.18
l	ʎ	0.175
n	s	0.171
e	æ	0.171
n	ɲ	0.156
a	u	0.138
e	i	0.126
ʋ	v_æː	0.101
a	r̩	0.06
