Slovak	Slovak	probability
ʧ	ʨ	1.0
ʒ̊	ʐ̊	1.0
ʒ	ʐ	1.0
ʎ	lʲ	1.0
ʊ̯ɔ	o	1.0
ɲ	nʲ	1.0
ɫ̩	o	1.0
ɫ_#>	ɫ_#>	1.0
ɫ	ɫ	1.0
ɪ̯a	ɪ	1.0
ɡ̊	ɡ̊	1.0
ɟ̊	d̥ʲ	1.0
ɟ	dʲ	1.0
ɛ_#>	ə_#>	1.0
z̥	z̥	1.0
uː	u	1.0
s_ɛ	sʲ	1.0
s_a	s_a	1.0
s_#>	s_#>	1.0
r̩ː	ɵ	1.0
r̩	r	1.0
n	n	1.0
l̩	ɫ_ə	1.0
f	p	1.0
eː	d	1.0
e	-	1.0
d̥	d̥	1.0
d_ɫ	ɫ	1.0
d	d	1.0
b̥	b̥	1.0
<#_ɦ	<#	1.0
<#_ɔ	<#_ɐ	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
#>	j_#>	1.0
c	tʲ	0.917
k	k	0.885
t	t	0.882
x	x	0.769
ɦ	ɡ	0.733
ʦ	ʦ	0.714
<#_j	<#_j	0.714
s	s	0.7
ʃ	-	0.667
b	b	0.667
aː	-	0.667
z	z	0.643
p	pʲ	0.636
a	a	0.527
m	mʲ	0.526
ʋ	v	0.5
æ	ɪ	0.5
æ	-	0.5
u	u	0.5
r	r	0.5
l	ɫ	0.5
l	lʲ	0.5
m	m	0.474
iː	ɨ_j	0.474
ɛ	e	0.442
ɔ	o	0.439
ʋ	vʲ	0.433
u	ʊ	0.417
i	ɨ_ˈ	0.4
ɪ̯ɛ	e	0.385
p	p	0.364
z	zʲ	0.357
r	rʲ	0.357
ʃ	ɕː	0.333
b	bʲ	0.333
aː	o	0.333
ɪ̯ɛ	ɪ	0.308
ɪ̯ɛ	-	0.308
s	sʲ	0.3
ɔ	ə	0.293
ʦ	ʨ	0.286
<#_j	<#	0.286
i	i	0.28
ɛ	ɪ	0.279
iː	ɪ_j	0.263
iː	j	0.263
a	ə	0.255
i	ɨ	0.24
x	ɡ̊	0.154
ɔ	ɐ	0.146
r	ɐ_r	0.143
ɦ	ɡ_ə	0.133
ɦ	ɡ_o	0.133
t	tʲ	0.118
k	kʲ	0.115
a	o	0.109
ɛ	ɵ	0.093
u	ʉ	0.083
c	-	0.083
i	ɪ	0.08
x	xʲ	0.077
ɔ	-	0.073
a	-	0.073
ʋ	-	0.067
