Northern Low Saxon	Alsatian	probability
#>	#>	0.877
#>	ə_#>	0.051
<#	<#	1.0
b	b̥	0.744
b	f	0.144
b	p͡f	0.093
d	t	0.396
d	d̥	0.289
d	s	0.208
d	ʦ	0.068
f	f	0.89
f	-	0.055
f	b̥	0.055
h	h	1.0
i	i	0.501
j	ɡ̊	0.251
kʰ	kʰ	0.894
kʰ	ɡ̊	0.098
l	l	0.928
l	-	0.072
m	m	0.567
m	ə	0.169
m	ʁ_m	0.133
m	n	0.073
n	n	0.767
n	ə	0.171
p	f	0.331
p	p	0.331
r	ʁ	1.0
s	s	0.616
s	ʃ	0.221
s	k_s	0.136
t	t	0.833
t	s	0.111
tʰ	ʦ	0.809
tʰ	t	0.187
v	ʋ	0.878
v	w	0.115
x	x	0.712
x	-	0.125
x	ʁ	0.125
x_#>	#>	0.501
z	s	1.0
ç	k	0.416
ç	ʃ	0.362
ç	j	0.158
ç_#>	#>	1.0
ŋ	ŋ	0.832
ŋ	j	0.108
ŋ	v	0.061
ɐ	ə_ʁ	0.503
ɐ	-	0.357
ɐ	ˈo_ʁ	0.08
ɐ	ʁ_ə	0.053
ə	ə	1.0
ɡ	ɡ̊	0.489
ɡ	ʃ	0.153
ɡ	k	0.141
ɡ	i_ʃ	0.104
ɡ	v	0.06
ɡ	x	0.051
ɪ	i	1.0
ʃ	ʃ	1.0
ʒ	j	1.0
ˈa	ˈɒ	0.819
ˈa	ˈɒː	0.176
ˈaɪ̯	ˈəi̯	0.381
ˈaɪ̯	ˈei̯	0.155
ˈaɪ̯	ˈeː	0.135
ˈaɪ̯	ˈiː	0.105
ˈaɪ̯	ˈæː	0.102
ˈaɪ̯	j	0.08
ˈaʊ̯	ˈʊː	0.394
ˈaʊ̯	ˈoː	0.272
ˈaʊ̯	ˈɒ	0.129
ˈaʊ̯	-	0.077
ˈaʊ̯	ˈøː	0.077
ˈaː	ˈɒː	0.403
ˈaː	ˈɒ	0.232
ˈaː	ˈiː	0.145
ˈaː	ˈæ	0.145
ˈeɪ̯	ˈeː	0.297
ˈeɪ̯	ˈæː	0.297
ˈeɪ̯	ˈiː	0.185
ˈeɪ̯	ˈəi̯	0.116
ˈeː	ˈæ	0.271
ˈeː	ˈeː	0.135
ˈeː	ˈiː	0.135
ˈeː	ˈæː	0.135
ˈeː	ˈe	0.1
ˈeː	ˈi	0.1
ˈeː	ˈɒː	0.1
ˈiː	ˈiː	0.377
ˈiː	ˈi	0.34
ˈiː	ˈei̯	0.258
ˈoː	ˈoː	0.358
ˈoː	ˈɒ	0.216
ˈoː	ˈæː	0.16
ˈoː	ˈaː	0.08
ˈoː	ˈo	0.067
ˈoː	ˈø	0.055
ˈoː	ˈɒː	0.054
ˈuː	ˈyː	0.552
ˈuː	ˈi	0.131
ˈuː	ˈøi̯	0.102
ˈuː	ˈɔi̯	0.094
ˈuː	ˈʊː	0.094
ˈyː	ˈiː	0.723
ˈyː	ˈi	0.208
ˈø	ˈe	0.331
ˈø	ˈi	0.166
ˈøː	ˈi	0.361
ˈøː	ˈoː	0.361
ˈøː	ˈɒː	0.208
ˈœː	ˈe	0.331
ˈœː	ˈeː	0.331
ˈɔ	ˈo	0.403
ˈɔ	ˈu	0.266
ˈɔ	ˈoː	0.145
ˈɔ	ˈɒ	0.096
ˈɔʏ̯	ˈiː	0.381
ˈɔʏ̯	ˈeː	0.299
ˈɔʏ̯	ˈi	0.149
ˈɔʏ̯	ˈai̯	0.074
ˈɔʏ̯	ˈu	0.074
ˈɔː	ˈu	1.0
ˈɛ	ˈe	0.245
ˈɛ	ˈi	0.186
ˈɛ	ˈɛ	0.186
ˈɛ	ˈæ	0.133
ˈɛ	ˈɒ	0.092
ˈɛ	ˈaː	0.089
ˈɛɪ̯	ˈe	0.66
ˈɛɪ̯	ˈæː	0.166
ˈɪ	ˈi	0.608
ˈɪ	ˈe	0.126
ˈɪ	ˈəi̯	0.099
ˈɪ	ˈiː	0.095
ˈɪ	ˈɒ	0.055
ˈʊ	ˈu	0.506
ˈʊ	ˈo	0.367
ˈʊ	ˈyː	0.1
ˈʏ	ˈu	0.605
ˈʏ	ˈi	0.289
ˈʏ	w	0.069
