Upper Franconian	Upper Franconian	probability
β	v	1.0
ˈɛː	-	1.0
ˈɘ	ˈʊə̯	1.0
ˈɒː	ˈɛː	1.0
ˈɒ_l	ˈɑu̯	1.0
ˈaʊ̯	ˈyː	1.0
ˈa	x_ˈæ	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ʃ_#>	s_#>	1.0
ɾ	-	1.0
ɪ	i_ŋ	1.0
ɡ̊_s	s	1.0
ɡ̊_#>	x_ə_#>	1.0
ə	-	1.0
z̥	t	1.0
x_d̥	x_t	1.0
v̥	p	1.0
v_ˈɔ	ʋ	1.0
v	ʋ	1.0
t	t	1.0
s_d̥	s_t	1.0
s_#>	t_#>	1.0
j	j	1.0
i	ɪ_ŋ	1.0
f_a	v̥	1.0
f_#>	p_#>	1.0
eː	iː	1.0
b̥͡v̥	p	1.0
b̥_#>	v̥_#>	1.0
b̥	b	1.0
<#_ˈɒ	<#_ˈɛː	1.0
<#_ʦ	<#_t	1.0
<#_ɡ̊	<#_x	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
#>	k_#>	1.0
l	ɫ	0.952
m	m	0.913
f	v	0.913
r	ɾ	0.882
a	ə	0.833
ɡ̊	k	0.818
ˈɒ	ˈɑ	0.762
ˈɔ	ˈɔ	0.667
s	z	0.654
ˈoː	ˈɛː	0.591
ç	k	0.583
x	x	0.556
n	n	0.55
ˈiː	ˈiː	0.545
ŋ	ŋ	0.533
ˈʊ	ˈɔ	0.529
ˈɪ	ˈɪ	0.5
ˈeː	-	0.5
ɐ	ɾ	0.5
d̥	d̥	0.459
x	k	0.444
d̥	d	0.443
ˈuː	ˈʊə̯	0.438
ʃ	s	0.438
ˈɛ	ˈæ	0.421
ç	x	0.417
ˈaɪ̯	ˈi	0.4
ˈaː	ˈʊə̯	0.375
ˈaː	ˈɪə̯	0.375
ˈɔ	ˈʊə̯	0.333
ŋ	x_ə	0.333
n	ə	0.333
ɐ	ə_ɾ	0.326
ʃ	z	0.312
s	z̥	0.269
ˈɪ	ˈi	0.25
ˈɪ	-	0.25
ˈeː	ˈɪə̯	0.25
ˈeː	ˈɛː	0.25
ˈaː	ˈæi̯	0.25
ʃ	s_x	0.25
ˈiː	ˈɪ	0.227
ˈɛ	ˈeː	0.211
ˈaɪ̯	ˈiː	0.2
ˈuː	ˈuː	0.188
ˈuː	ˈu	0.188
ˈuː	-	0.188
ˈoː	ˈɑ	0.182
ɡ̊	x	0.182
ˈʊ	ˈʏ	0.176
ˈʊ	ˈu	0.176
a	-	0.167
ˈɛ	ˈɛː	0.158
ˈaɪ̯	ˈyː	0.15
ˈaɪ̯	-	0.15
ˈɒ	-	0.143
ˈoː	ˈøː	0.136
ŋ	-	0.133
ɐ	ɾ_ə	0.13
ˈʊ	ˈøː	0.118
r	-	0.118
ˈɛ	ˈʏ	0.105
ˈɛ	ˈɑ	0.105
ˈaɪ̯	ˈɪ	0.1
d̥	t	0.098
ˈɒ	ˈɒː	0.095
ˈoː	-	0.091
ˈiː	ˈuː	0.091
ˈiː	-	0.091
m	ˈyː	0.087
f	p	0.087
n	n_d	0.083
s	t	0.077
