Bokmål Norwegian	Afrikaans	probability
ˈʊ	-	1.0
ˈøː_#>	#>	1.0
ˈæː_ɾ	r	1.0
ˈæː	ˈɪə̯	1.0
ˈiː_ə_#>	ˈəɪ̯_#>	1.0
ˈeː	ˈɪə̯	1.0
ʋ_#>	v̥_#>	1.0
ʈ	-	1.0
ɾ_ˈœ	r_ˈʊə̯	1.0
ɳ	ə_ŋ	1.0
ɡ	χ	1.0
ə_n	ə_n	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
ç	k	1.0
tʰ	d	1.0
sː	-	1.0
s_k	s	1.0
s	s	1.0
pʰ	p	1.0
p	p	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l	ɫ	1.0
k_t	χ	1.0
k	k	1.0
i	ə	1.0
h	ɦ	1.0
f	v̥	1.0
b	b	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ɾ	<#_r	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_χ	1.0
<#	<#_j	1.0
ɾ	r	0.958
t	t	0.905
d	d	0.895
ˈoː	ˈɑː	0.846
ˈyː	ˈi	0.833
ə	-	0.833
ˈɪ	ˈə	0.8
ˈɑ	ˈa	0.8
tː	t	0.8
ʋ	v	0.783
ˈøː	ˈʊə̯	0.75
ɡː	χ	0.667
ˈæɪ̯	ˈɪə̯	0.625
ˈʉː	ˈœɪ̯	0.615
ˈuː	ˈu	0.6
ˈeː_#>	#>	0.6
ɾ_ə	r	0.6
ˈʉ	ˈɔ	0.571
ʂ	s_k	0.571
ˈʏ	ˈœ	0.556
ˈɑː	ˈɑː	0.5
kː	ŋ_k	0.5
kː	k	0.5
ˈiː	ˈəɪ̯	0.467
nː	n_d̥	0.455
#>	d̥_#>	0.455
ˈʏ	-	0.444
ʂ	s	0.429
j	ɦ	0.429
nː	n	0.409
ˈɔ	ˈɔ	0.4
ˈeː_#>	ˈi_#>	0.4
ɾ_ə	ə_r	0.4
lː	ɫ	0.4
ˈʉː	-	0.385
ˈæɪ̯	-	0.375
ˈœ	ˈɔ	0.333
ɡː	-	0.333
ˈɑː	ˈa	0.3
j	χ	0.286
j	-	0.286
ˈøː	ˈu	0.25
ˈɛ	ˈæ	0.238
ˈɛ	ˈa	0.238
ˈœ	ˈɪø̯	0.222
ˈœ	ˈu	0.222
ˈœ	-	0.222
ˈʉ	v_ˈɔ	0.214
ˈʉ	-	0.214
ˈɪ	-	0.2
ˈɔ	ˈə	0.2
ˈɔ	ˈa	0.2
ˈɔ	-	0.2
ˈɑː	ˈɑː_r	0.2
ˈɑ	-	0.2
ˈuː	ˈʊə̯_r	0.2
ˈuː	ˈʊə̯	0.2
ˈiː	ˈɪə̯	0.2
ˈiː	ˈə	0.2
tː	χ	0.2
lː	ɫ_v̥	0.2
lː	ɫ_d̥	0.2
lː	d̥	0.2
#>	n_#>	0.182
ˈyː	ˈyː	0.167
ə	ə	0.167
ˈoː	n	0.154
#>	χ_#>	0.152
ˈɛ	ˈɛ	0.143
ˈɛ	ˈəɪ̯	0.143
ˈɛ	-	0.143
nː	n_d	0.136
ˈiː	ˈi	0.133
ʋ	-	0.13
d	-	0.105
ˈɛ	ˈi	0.095
t	-	0.095
#>	v̥_#>	0.091
ʋ	v̥	0.087
#>	ə_#>	0.061
#>	k_#>	0.061
