Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	-	1.0
ˈœʏ̯	ˈʊə̯	1.0
ˈæː_ɾ	r	1.0
ˈæ	-	1.0
ˈiː_ə	ˈəɪ̯	1.0
ˈeː_#>	#>	1.0
ʋ_#>	v̥_#>	1.0
ʈː	r_t	1.0
ʈ	-	1.0
ɾ_ˈœ	r_ˈʊə̯	1.0
ɳ	ə_ŋ	1.0
ɪ	ə	1.0
ɡː	χ	1.0
ɡ	χ	1.0
ə_n	ə_n	1.0
ŋː	ŋ	1.0
ŋ	ŋ	1.0
ç	k	1.0
tʰ	d	1.0
sː	-	1.0
s_ˈøː	s_ˈu	1.0
s_k	s	1.0
s	s	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
k_t	χ	1.0
k_#>	#>	1.0
k	k	1.0
i	ə	1.0
h	ɦ	1.0
f	v̥	1.0
b	b	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ɾ	<#_r	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
<#	<#_j	1.0
ɾ	r	0.957
l	ɫ	0.933
t	t	0.905
d	d	0.895
ˈoː	ˈɑː	0.846
ˈyː	ˈi	0.833
ə	-	0.821
ˈøː	ˈʊə̯	0.818
ˈɪ	ˈə	0.8
ˈɑ	ˈa	0.8
tː	t	0.8
ʋ	v	0.76
ˈuː	ˈu	0.6
ɾ_ə	r	0.6
ˈʉ	ˈɔ	0.571
ˈeː	ˈɪə̯	0.571
ˈʏ	ˈœ	0.556
ˈæɪ̯	ˈɪə̯	0.556
ˈʉː	ˈœɪ̯	0.533
ˈɑː	ˈɑː	0.5
ʂ	s_k	0.5
ʂ	s	0.5
kː	ŋ_k	0.5
kː	k	0.5
j	χ	0.5
ˈiː	ˈəɪ̯	0.467
nː	n_d̥	0.455
ˈʏ	-	0.444
ˈœ	ˈɔ	0.429
ˈeː	ˈi	0.429
#>	d̥_#>	0.429
nː	n	0.409
ˈɔ	ˈɔ	0.4
ɾ_ə	ə_r	0.4
lː	ɫ	0.4
ˈɑː	ˈa	0.3
j	ɦ	0.3
ˈœ	ˈɪø̯	0.286
ˈœ	ˈu	0.286
ˈʉː	-	0.267
ˈɛ	ˈæ	0.227
ˈɛ	ˈa	0.227
ˈæɪ̯	ˈəɪ̯	0.222
ˈæɪ̯	-	0.222
ˈʉ	v_ˈɔ	0.214
ˈʉ	-	0.214
ˈʉː	ˈɪə̯	0.2
ˈɪ	-	0.2
ˈɔ	ˈʊə̯	0.2
ˈɔ	ˈə	0.2
ˈɔ	ˈa	0.2
ˈɑː	ˈɑː_r	0.2
ˈɑ	-	0.2
ˈuː	ˈʊə̯_r	0.2
ˈuː	ˈʊə̯	0.2
ˈiː	ˈɪə̯	0.2
ˈiː	ˈə	0.2
tː	χ	0.2
lː	ɫ_v̥	0.2
lː	ɫ_d̥	0.2
lː	d̥	0.2
j	-	0.2
ˈɛ	-	0.182
#>	χ_#>	0.171
#>	n_#>	0.171
ˈyː	ˈyː	0.167
ə	ə	0.164
ˈoː	n	0.154
ˈɛ	ˈɛ	0.136
ˈɛ	ˈəɪ̯	0.136
nː	n_d	0.136
ˈiː	ˈi	0.133
ʋ	v̥	0.12
ʋ	-	0.12
d	-	0.105
t	-	0.095
ˈɛ	ˈi	0.091
ˈøː	ˈoː	0.091
ˈøː	w	0.091
#>	v̥_#>	0.086
#>	j_#>	0.086
l	-	0.067
#>	k_#>	0.057
