Hessian	Hessian	probability
ˈɛ̃ː	ŋ_a	1.0
ˈɑ̃i̯	ˈae̯	1.0
ˈɑ_n	ˈaː	1.0
ˈæ_ɐ	ˈʌ	1.0
ˈæ	ˈɛ	1.0
ˈoĩ̯	ˈae̯_n	1.0
ˈĩː	ˈeə̯	1.0
ˈẽː	ˈae̯_a	1.0
ˈe	ˈɛ	1.0
ˈãː	ˈɔe̯	1.0
ˈau̯	ˈao̯	1.0
ˈa	ˈa	1.0
ʤ̥	ç	1.0
ʀ	ʁ	1.0
ɡ̊	ɡ	1.0
ɛː	eə̯	1.0
ɑ	a	1.0
ɐ_n	ʁ_a	1.0
ŋ	ŋ	1.0
æ̆	ʌ	1.0
z̥	s	1.0
v̥	f	1.0
v_ə	b_a	1.0
t	d	1.0
p	b	1.0
oː	ˈoː	1.0
m	m	1.0
kʰ	kʰ	1.0
k	ɡ	1.0
h	h	1.0
d̥	d	1.0
b̥	b	1.0
f	f	0.969
l	l	0.932
ʦ	ʦ	0.917
s	s	0.9
v	ʋ	0.885
ə	a	0.882
ɐ	ʕ	0.857
n	n	0.829
ˈɑ	ˈa	0.818
ˈoː	ˈoː	0.8
ʃ	ʃ	0.792
ʃ_#>	ɡ_#>	0.778
x	x	0.75
ˈɛ	ˈɛ	0.727
ɣ̊	ɡ	0.714
ˈuː	ˈuə̯	0.667
ˈo	ˈo	0.667
ˈai̯	ˈəi̯	0.667
i	ɪ	0.667
ˈeː	ˈeː	0.6
ʒ̊	-	0.6
ˈoi̯	ˈəi̯	0.571
ˈɛː	ˈɛː	0.5
ˈɛː	ˈeə̯	0.5
ˈɔ	ˈɔ	0.5
ˈɔ	ˈo	0.5
ˈæː	ˈeː	0.5
ˈæː	-	0.5
ˈaː	ˈɔe̯	0.5
j	ɡ	0.5
j	j	0.5
ˈɑː	ˈaː	0.429
ˈu	ˈo	0.429
ˈoi̯	ˈae̯	0.429
ˈiː	ˈiː	0.417
ˈiː	ˈiə̯	0.417
ˈi	ˈi	0.4
ˈeː	-	0.4
ʒ̊	ʃ	0.4
ˈu	ˈu	0.357
ˈuː	ˈuː	0.333
ˈo	ˈɔ	0.333
ˈaː	ˈao̯	0.333
ˈai̯	ˈae̯	0.333
i	i	0.333
ˈɑː	ˈɔː	0.286
ɣ̊	x	0.286
ˈɛ	ˈɛː	0.273
x	ɡ	0.25
ʃ_#>	#>	0.222
ʃ	ç	0.208
ˈoː	-	0.2
ˈɑ	ˈa_ʕ	0.182
n	n_d	0.171
ˈiː	ˈi	0.167
ˈi	ˈɪ	0.167
ˈi	ˈe	0.167
ˈaː	ˈa	0.167
ˈɑː	ˈɔː_ʕ	0.143
ˈɑː	ˈa_ʕ	0.143
ˈu	ˈuə̯	0.143
ɐ	ʌ	0.143
ə	-	0.118
v	b	0.115
ˈi	ˈu	0.1
ˈi	-	0.1
s	ʃ	0.1
ʦ	ʣ	0.083
ˈu	ˈɔə̯	0.071
l	l_d	0.068
ˈi	ˈɛ	0.067
