West Flemish	West Flemish	probability
ˈøː	-	1.0
ˈu_ʋ	ˈɔʊ̯	1.0
ˈoː_ɾ	ˈɔː	1.0
ˈiə̯_ʋ	ˈøʏ̯	1.0
ʃ_h	ʃ	1.0
ɾ_ˈiə̯	ʀ	1.0
ɾ_ə	ɐ	1.0
ɾ_t	ʦ	1.0
ɪ	ɪ	1.0
ə_ɾ	ɐ	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
ç	ɕ	1.0
z̥	z̥	1.0
v̥	v̥	1.0
v_ə	ə_f	1.0
n_ə	n	1.0
n_d	ŋ	1.0
l_ə	ɫ	1.0
l_#>	#>	1.0
j	j	1.0
iə̯	e	1.0
h	x	1.0
b	b	1.0
<#_ɾ	<#_ʀ	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
m	m	0.895
d	d	0.889
v	f	0.852
s	ʃ	0.824
l	l	0.786
z	z	0.76
ʋ	ʋ	0.727
ˈɛː	ˈeː	0.714
ɦ̥	ɕ	0.714
ˈyː	ˈuː	0.7
d̥	d̥	0.696
ə	-	0.692
ˈuə̯	ˈoː	0.667
p	p	0.636
ˈu	ˈo	0.625
ɦ	j	0.611
ˈɑ	ˈa	0.609
ɦ_ə_#>	k_#>	0.6
w	ɫ	0.6
k	k	0.562
ˈœ	ˈœ	0.556
ˈiə̯	ˈeː	0.556
ˈɪ	ˈe	0.5
ˈɔ	-	0.5
ɾ	ɐ	0.5
h_t	ɕ	0.5
h_t	x	0.5
ˈɒː	ˈoː	0.444
ˈi	ˈiː	0.444
ɾ	ʀ	0.432
ˈɛ	-	0.429
ˈæ	ˈɛ	0.429
n	ə	0.426
ˈɔ	ˈɔ	0.417
ɦ_ə_#>	#>	0.4
w	l	0.4
t	ʦ	0.378
n	n	0.377
ˈu	ˈa_ɫ	0.375
p	f	0.364
ˈɪ	ˈɪ	0.357
t	s	0.351
ˈɒː	-	0.333
ˈuə̯	ˈøː	0.333
ˈoː	ˈuː	0.333
ˈi	-	0.333
ˈeː	ˈɛː	0.308
ˈeː	ˈɛ	0.308
ˈɑ	ˈaː	0.304
d̥	ɡ̊	0.304
ˈyː	-	0.3
ˈɛː	-	0.286
ˈɛ	ˈɛ	0.286
ˈɛ	ˈe	0.286
ɦ̥	ɣ̊	0.286
t	t	0.27
k	ɕ	0.25
ˈeː	-	0.231
ˈɒː	ˈaː	0.222
ˈœ	ˈɔ	0.222
ˈœ	-	0.222
ˈiə̯	ˈiː	0.222
ˈi	ˈɪ	0.222
ɦ	-	0.222
ˈæ	ˈɛː	0.214
ˈæ	ˈe	0.214
l	ɫ	0.214
n	ŋ	0.197
s	s	0.176
ɦ	ɣ	0.167
z	ʃ	0.16
ˈeː	ˈeɪ̯	0.154
ə	ə	0.154
v	v	0.148
ˈɪ	ˈœ	0.143
ˈæ	-	0.143
ˈoː	ˈɔʊ̯	0.143
ˈoː	ˈyː	0.143
ˈiə̯	ˈyː	0.111
ˈiə̯	-	0.111
d	-	0.111
m	m_ˈɔ	0.105
ˈoː	ˈʏ	0.095
ˈoː	ˈɔ	0.095
ˈoː	ˈoː	0.095
ˈoː	-	0.095
k	ɡ̊	0.094
k	x	0.094
ʋ	ʋ_ˈiː	0.091
ʋ	ʋ_ˈa	0.091
ʋ	-	0.091
ˈɑ	ˈɛ	0.087
ˈɔ	ˈʊ	0.083
z	-	0.08
ə	ɫ	0.077
ə	n	0.077
ɾ	-	0.068
