Meixian	Gan	probability
ʨʰ	ʨʰ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʋ_<#	<#	1.0
ʋ	w	1.0
ʊ	u	1.0
ɲ	nʲ	1.0
ɕ	ɕ	1.0
ŋ	ŋ	1.0
ç	ʨʰ	1.0
¹	⁵	1.0
³¹	²¹³	1.0
z̩	z̩	1.0
w	w	1.0
t̚	t̚	1.0
tʰ	tʰ	1.0
s	s	1.0
pʰ	pʰ	1.0
l	l	1.0
k̚	ʔ	1.0
kʰ	kʰ	1.0
k	k	1.0
i_¹¹	ɵ_³⁵	1.0
f	f	1.0
e	ɛ	1.0
cʰ	ʨʰ	1.0
c	ʨ	1.0
a_¹¹	a_³⁵	1.0
<#_n	<#	1.0
n	n	0.926
j	j	0.871
⁴⁴	⁴²	0.861
ɛ	ɛ	0.75
ɔ	ɔ	0.75
h	h	0.75
p	p	0.714
a	a	0.692
i	i	0.654
¹¹	³⁵	0.576
u	u	0.571
o	a	0.545
⁵³	¹¹	0.522
⁵	⁵	0.5
⁵	²	0.5
t	ʦ	0.5
t	t	0.5
m	n	0.5
m	m	0.5
o	o	0.455
¹¹	²⁴	0.424
u	ɨ	0.286
p	f	0.286
⁵³	²¹³	0.261
ɛ	ɵ	0.25
ɔ	ɵ	0.25
h	kʰ	0.25
a	ɛ	0.205
u	ɨ_w	0.143
⁴⁴	²¹³	0.139
⁵³	³⁵	0.13
j	ɥ	0.129
i	z̩	0.115
i	y	0.115
i	j	0.115
a	ɵ	0.103
⁵³	⁴²	0.087
n	l	0.074
