Gan	Sixian	probability
⁴²	²⁴	1.0
ʨ	k	1.0
ʦʰ	ʦʰ	1.0
ʔ	k̚	1.0
ɨ_j	i	1.0
ɨ	u	1.0
ɥ	j	1.0
ɕ_j	s	1.0
ɕ	ɕ	1.0
ɔ	o	1.0
¹¹	⁵⁵	1.0
²⁴	¹¹	1.0
²	⁵	1.0
y	i	1.0
u	u	1.0
t̚	t̚	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
o	o	1.0
nʲ	ɲ	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j_ɛ	e	1.0
j	j	1.0
i_w	j_u	1.0
i	i	1.0
h	h	1.0
a_w	o	1.0
a_n	a_m	1.0
a_j	o_j	1.0
a	a	1.0
<#_w	<#_v	1.0
<#_l	<#_n	1.0
<#	<#_v	1.0
ŋ	ŋ	0.897
n	n	0.893
ɛ	e	0.875
⁵	²	0.864
w	w	0.833
f	f	0.818
³⁵	¹¹	0.769
ʦ	ʦ	0.714
²¹³	³¹	0.706
z̩	ɨ	0.6
kʰ	kʰ	0.6
ʨʰ	ʨʰ	0.571
ʨʰ	kʰ	0.429
z̩	i	0.4
kʰ	h	0.4
ɵ	o	0.357
ʦ	t	0.286
ɵ	e	0.286
ɵ	i	0.214
f	p	0.182
w	-	0.167
²¹³	⁵⁵	0.147
²¹³	²⁴	0.147
ɵ	a	0.143
⁵	⁵	0.136
ɛ	a	0.125
³⁵	⁵⁵	0.115
³⁵	²⁴	0.115
n	m	0.107
ŋ	-	0.103
