Teochew	Teochew	probability
⁵⁵	¹¹	1.0
⁴⁴	¹¹	1.0
ʨʰ	ʨʰ_j	1.0
ʦ_j	s	1.0
ʔ	ʔ	1.0
ɯ_ŋ	ɒ̃	1.0
ŋ̍	w_ɒ̃	1.0
¹¹	⁴⁵	1.0
³³	¹¹	1.0
²¹³	⁴⁵	1.0
²	²	1.0
w_e	e_j	1.0
w_a	a	1.0
ũ_ã	æ̃	1.0
tʰ	tʰ͡x	1.0
pʰ	pʰ͡x	1.0
o_j	i	1.0
ẽ	-	1.0
e_⁵⁵	¹¹	1.0
e_ŋ	ɥ_e	1.0
ã	ŋ	1.0
a_ŋ	ɒ̃	1.0
a_w	ə_w	1.0
a_m	æ̃	1.0
<#_ɡ	<#	1.0
<#_h	<#	1.0
#>	⁴⁵_#>	1.0
⁵²	⁵³	0.962
⁴	²	0.889
k̚	ʔ	0.786
j	j	0.7
ʦʰ	ʦʰ	0.667
l	l	0.667
a_j	a_j	0.667
ʦ	ʦ	0.625
h	x	0.615
ʣ	ʐ	0.6
ɯ	-	0.6
o_w	u	0.6
m	ŋ	0.6
kʰ	kʰ͡x	0.6
b	m	0.6
ŋ	ŋ	0.593
u	-	0.588
w	w	0.579
<#	<#_ɣ	0.571
s	s	0.556
p	p	0.545
³⁵	⁵³	0.5
³⁵	⁴⁵	0.5
n	n	0.5
n	l	0.5
k	ʨ	0.462
t	t	0.455
p	f	0.455
s	ɕ	0.444
<#	<#_x	0.429
ʣ	ə	0.4
ɯ	w	0.4
o_w	y	0.4
m	v	0.4
b	v	0.4
e	ə	0.389
e	a	0.389
k	k	0.385
ʦ	s	0.375
a	ũ	0.35
o	a_w	0.333
l	n	0.333
ĩ	j_e	0.333
ĩ	j	0.333
ĩ	-	0.333
a_j	z̩	0.333
j	-	0.3
t	ʦʰ	0.273
t	ʦ	0.273
w	-	0.263
i	z̩	0.263
u	ə̃	0.235
k̚	ə_ʔ	0.214
i	ə	0.211
kʰ	ʨʰ	0.2
kʰ	-	0.2
a	ɤ	0.2
u	ə	0.176
ʦʰ	ʨʰ	0.167
ʦʰ	-	0.167
o	ɥ_ə	0.167
o	w_a	0.167
o	u	0.167
o	a	0.167
w	v	0.158
i	ĩ	0.158
i	-	0.158
k	ʨʰ	0.154
h	y	0.154
h	f	0.154
ŋ	ə̃_ŋ	0.148
ŋ	æ̃	0.148
⁴	⁵⁴	0.111
ŋ	-	0.111
e	w_ə	0.111
e	-	0.111
i	ɻ	0.105
i	i	0.105
a	æ̃	0.1
a	j	0.1
a	a	0.1
a	-	0.1
h	h	0.077
