Upper Franconian	Upper Franconian	probability
β	v	1.0
ˈʊ_ɐ	ˈɔː	1.0
ˈɛː	ˈoː	1.0
ˈɘ	ˈɔʏ̯	1.0
ˈɔ_ɐ	ˈaʊ̯_ɐ	1.0
ˈɒː	ˈoː_k	1.0
ˈɒ_l	ˈaː	1.0
ˈiː_ɐ	ˈiː	1.0
ˈiː_s	ˈɔʏ̯_d	1.0
ˈaʊ̯	ˈuː	1.0
ˈa	ˈaː	1.0
ɪ	ɪ	1.0
ɡ̊_s	s	1.0
ɡ̊_n	ç	1.0
ɐ_#>	#>	1.0
ç_d̥	ç	1.0
z̥_n	d_n	1.0
z̥	d	1.0
v̥_n	b_m	1.0
v_ˈɔ	v	1.0
v	v	1.0
t	t	1.0
n_d̥	n	1.0
l_ˈiː	l_ˈɪ	1.0
l_ˈaː	l	1.0
l	l	1.0
j	ʒ	1.0
i	ɪ	1.0
h	h	1.0
f_#>	b_#>	1.0
f	f	1.0
eː	aɪ̯_n	1.0
d̥_ˈiː	d_ˈaɪ̯	1.0
b̥_#>	f_#>	1.0
a	-	1.0
<#_n	<#_n	1.0
#>	ç_#>	1.0
b̥	b	0.938
r	r	0.926
m	m	0.909
ɐ	ɐ	0.868
ʃ	ʃ	0.867
d̥	d	0.843
n	n	0.837
ˈuː	ˈaʊ̯	0.8
ŋ	ŋ	0.765
ˈɒ	ˈa	0.708
ˈɪ	ˈɪ	0.64
ˈoː	ˈoː	0.636
ʦ	tʰ	0.6
ɾ	d	0.6
ˈʊ	ˈʊ	0.556
ˈɔ	ˈʊ	0.556
ç	ɡ	0.556
ˈaɪ̯	ˈiː	0.522
ˈiː	ˈaɪ̯	0.5
ˈaː	ˈaɪ̯	0.5
n_a	n_n	0.5
n_a	n	0.5
b̥͡v̥	pʰ	0.5
b̥͡v̥	b	0.5
ɡ̊	ɡ	0.485
x	ɡ	0.467
ˈɔ	ˈɔ	0.444
ç	ç	0.444
ɾ	l	0.4
x	x	0.4
s	z	0.4
ɡ̊	kʰ	0.394
ˈɛ	ˈeː	0.333
ˈeː	-	0.333
ˈaː	ˈaʊ̯	0.312
ˈɛ	ˈɛ	0.267
ʦ	d	0.267
ˈiː	-	0.222
ˈeː	ˈɛ	0.222
ˈeː	ˈɔʏ̯	0.222
ˈeː	ˈeɪ̯	0.222
ˈaɪ̯	-	0.217
ˈɪ	ˈʏ	0.2
s	z̥	0.2
s	d	0.2
ˈaː	ˈɪ	0.188
ˈoː	ˈa	0.182
ˈoː	-	0.182
ˈaɪ̯	ˈyː	0.174
ˈʊ	ˈɔ	0.167
ˈʊ	-	0.167
ˈiː	ˈɪ	0.167
ˈɪ	-	0.16
ˈɛ	ˈœː	0.133
ˈɛ	ˈœ	0.133
ˈɛ	-	0.133
ʦ	t	0.133
ʃ	s	0.133
x	ç	0.133
ˈɒ	ˈaʊ̯	0.125
n	-	0.122
ŋ	ɡ_n	0.118
ŋ	n	0.118
ˈʊ	ˈʏ	0.111
ˈiː	ˈɔʏ̯	0.111
ɐ	-	0.105
ˈuː	ˈuː	0.1
ˈuː	-	0.1
d̥	t	0.1
m	-	0.091
ˈaɪ̯	ˈɪ	0.087
ˈɒ	ˈɔ	0.083
ˈɒ	-	0.083
s	z_ˈøː	0.075
s	s	0.075
r	-	0.074
b̥	v̥	0.062
ɡ̊	-	0.061
d̥	-	0.057
