Cantonese	Hoisanese	probability
⁵⁵	³³	1.0
⁵	⁵⁵	1.0
ʧ	ʦ	1.0
ʊ	ɵ	1.0
ɵ	u	1.0
ɪ_ŋ	e_n	1.0
ɥ	j	1.0
ɐ_w	e_w	1.0
ɐ_j	a_j	1.0
œː	j_a	1.0
³⁵	⁵⁵	1.0
³³	³³	1.0
²¹	²²	1.0
²²	³²	1.0
²	³²	1.0
w_⁵⁵	w_³³	1.0
uː	ɔ	1.0
u	ɵ	1.0
t̚	t̚	1.0
tʰ	h	1.0
t	-	1.0
pʰ	pʰ	1.0
p	p	1.0
o_w	u	1.0
o	a	1.0
l	l	1.0
k̚	k̚	1.0
k	k	1.0
iː_²²	u_³²	1.0
f	f	1.0
e	e	1.0
aː_²¹	a_²²	1.0
aː_n	a_n	1.0
aː	a	1.0
ŋ	ŋ	0.885
n	n	0.815
h	h	0.733
j	j	0.724
w	w	0.714
ɔː	ɔ	0.682
ʧʰ	ʦʰ	0.667
¹³	²¹	0.667
m	ᵐb	0.647
yː	u	0.636
ʦʰ	tʰ	0.625
ʦ	t	0.625
ɛː	j_a	0.6
s	s	0.562
ɐ	i	0.55
³	⁵⁵	0.5
³	³³	0.5
s	ɬ	0.438
iː	j_a	0.417
ɛː	j_ɛ	0.4
ʦʰ	ʦʰ	0.375
ʦ	ʦ	0.375
m	m	0.353
ʧʰ	tʰ	0.333
¹³	⁵⁵	0.333
iː	e	0.333
ɔː	w_ɔ	0.318
w	v	0.286
h	h_w	0.267
ɐ	u	0.25
iː	j	0.25
j	ᵑɡ	0.207
ɐ	a	0.2
n	ⁿd	0.185
yː	ɔ	0.182
yː	i	0.182
ŋ	ᵑɡ	0.115
j	ᵑɡ_e	0.069
