Swiss German	West Frisian	probability
b̥	b	0.633
b̥	f	0.212
b̥	v	0.079
b̥	-	0.075
d̥	t	0.351
d̥	-	0.311
d̥	d	0.251
d̥	ʦ	0.086
f	f	0.771
f	p	0.185
fː	p	1.0
h	h	0.925
h	-	0.075
i	ə	0.508
i	ɪ	0.418
i	-	0.074
j	j	1.0
k	k	1.0
kː	k	1.0
l	l	0.962
m	m	0.931
m	v	0.069
mː	m	1.0
n	n	0.96
p	p	0.685
p	-	0.315
p͡f	p	0.958
r	r	0.864
r	-	0.112
rː	r	1.0
s	s	0.738
s	t	0.113
s	ɕ	0.053
sː	t	0.966
t	t	0.598
t	d	0.378
tː	d	0.688
tː	-	0.312
w	l	1.0
æ	ɪ	1.0
ŋ	ŋ	0.758
ŋ	n	0.242
ə	ə	0.717
ə	-	0.283
ɡ̊	ɡ	0.362
ɡ̊	-	0.272
ɡ̊	χ	0.139
ɡ̊	ŋ	0.083
ɡ̊	k	0.055
ɡ̊ː	ɣ	0.558
ɡ̊ː	χ	0.442
ʃ	s	1.0
ʃː	s	1.0
ʋ	ʋ	0.527
ʋ	v	0.389
ʋ	-	0.084
ʦ	t	0.792
ʦ	ʦ	0.162
ˈau̯	ˈɪə̯	0.805
ˈau̯	ˈɛ	0.195
ˈe	ˈɛ	0.326
ˈe	ˈɛi̯	0.19
ˈe	ˈɪ	0.181
ˈe	ˈa	0.181
ˈe	ˈø	0.122
ˈei̯	ˈiə̯	0.451
ˈei̯	ˈɛ	0.348
ˈei̯	ˈaː	0.171
ˈeː	ˈeː	0.484
ˈeː	ˈiə̯	0.348
ˈeː	ˈɪə̯	0.168
ˈi	ˈɪ	0.434
ˈi	ˈi	0.187
ˈi	ˈiː	0.178
ˈi	ˈɔ	0.137
ˈiə̯	j	0.524
ˈiə̯	ˈiə̯	0.304
ˈiə̯	ˈɪ	0.172
ˈiː	ˈiː	0.41
ˈiː	ˈi	0.253
ˈiː	j	0.225
ˈiː	ˈɛ	0.112
ˈo	ˈoə̯	0.546
ˈo	ˈɔ	0.197
ˈo	ˈy	0.104
ˈou̯	ˈɪə̯	0.743
ˈou̯	ˈaː	0.257
ˈoː	ˈoə̯	0.274
ˈoː	ˈɪə̯	0.239
ˈoː	ˈuə̯	0.145
ˈoː	ˈuː	0.099
ˈoː	ˈɔ	0.075
ˈoː	ˈaː	0.065
ˈoː	ˈiə̯	0.065
ˈu	ˈɔ	0.319
ˈu	ˈu	0.293
ˈu	ˈɪ	0.172
ˈu	ˈuː	0.058
ˈu	ˈoə̯	0.052
ˈuə̯	ˈuə̯	0.645
ˈuə̯	ˈoː	0.216
ˈuə̯	ˈi	0.139
ˈuː	ˈuː	0.775
ˈuː	ˈyː	0.089
ˈuː	ˈoː	0.079
ˈuː	ˈuə̯	0.056
ˈy	ˈɪ	0.509
ˈy	ˈøə̯	0.168
ˈy	ˈoə̯	0.096
ˈy	ˈy	0.063
ˈyə̯	ˈiə̯	0.679
ˈyə̯	ˈuə̯	0.161
ˈyə̯	ˈɵ	0.161
ˈyː	j	0.467
ˈyː	ˈiə̯	0.289
ˈyː	ˈiː	0.071
ˈyː	ˈyː	0.071
ˈyː	ˈuː	0.053
ˈæ	ˈɪ	0.287
ˈæ	ˈɛ	0.175
ˈæ	ˈɪə̯	0.148
ˈæ	ˈiə̯	0.093
ˈæ	ˈa	0.084
ˈæ	ˈɛi̯	0.073
ˈæi̯	ˈi	0.501
ˈæi̯	ˈɛi̯	0.265
ˈæi̯	ˈiː	0.234
ˈæː	ˈiə̯	0.42
ˈæː	ˈaː	0.225
ˈæː	ˈiː	0.14
ˈæː	ˈɛː	0.112
ˈæː	ˈɛi̯	0.103
ˈø	ˈɪ	0.531
ˈø	ˈø	0.159
ˈø	ˈaː	0.156
ˈø	ˈɔ	0.154
ˈøi̯	ˈɛ	0.595
ˈøi̯	ˈaː	0.307
ˈøi̯	ˈyː	0.098
ˈøː	ˈeː	0.634
ˈøː	ˈɪə̯	0.275
ˈøː	j	0.091
ˈɒ	ˈɔː	0.242
ˈɒ	ˈa	0.236
ˈɒ	ˈaː	0.11
ˈɒ	ˈɪə̯	0.089
ˈɒ	ˈɛ	0.08
ˈɒ	ˈoə̯	0.068
ˈɒ	ˈuə̯	0.063
ˈɒ	ˈiː	0.056
ˈɒː	ˈa	0.336
ˈɒː	ˈiə̯	0.31
ˈɒː	ˈɪə̯	0.127
ˈɒː	ˈaː	0.1
ˈɛi̯	ˈɪə̯	0.556
ˈɛi̯	ˈɪ	0.289
ˈɛi̯	ˈiə̯	0.154
χ	k	0.615
χ	χ	0.232
χ	ʦ	0.07
χ	ˈɔ_χ	0.051
