Nynorsk Norwegian	Faroese	probability
b	b̥	1.0
d	d̥	0.694
d	-	0.124
d	t	0.059
d	tʰ	0.059
d	ʤ̊	0.058
e	a	0.362
e	ɪ	0.234
e	ʊ	0.172
e	-	0.131
e	ɡ̊_a	0.06
e	ə	0.035
f	f	0.979
f	-	0.034
f_ɾ	f	0.233
h	h	0.945
h	-	0.054
j	j	0.56
j	ʤ̊	0.194
j	ʧ	0.093
j	-	0.075
k	k	0.921
k	ʰk	0.066
kʰ	kʰ	1.0
l	l	0.758
l	l̥	0.104
l	l_ʊ	0.096
l	ʎ	0.032
lː	l̥_ʊ	0.425
lː	l_d̥	0.28
lː	t_l̥	0.28
m	m	0.632
m	m_ʊ	0.271
m	f	0.053
m	w	0.046
mː	m	1.0
n	n	0.668
n	n̥	0.2
n	n_ʊ	0.068
n	nː	0.034
n	-	0.032
nː	nː	0.58
nː	n_d̥	0.209
nː	n	0.174
nː	-	0.034
p	p	0.533
p	ʰp	0.464
s	s	0.953
s	-	0.029
s	sː	0.028
sː	sː	0.483
t	t	0.511
t	t_ʊ	0.218
t	ʰt	0.189
t	ʈ	0.073
tʰ	tʰ	1.0
v	v	0.483
ç	ʧʰ	0.598
ç	ʃ	0.153
ç	ʰʧ	0.153
ç	ʧ	0.073
çː	t	0.483
ŋ	ŋ_ɡ̊	1.0
ŋː	ŋ	1.0
ɑ	a	1.0
ə	a	0.42
ə	-	0.047
ɛ	ɪ	0.483
ɡ	ɡ̊	0.69
ɡ	v_ʊ	0.142
ɡ	w	0.082
ɡ	-	0.064
ɡː	ɡ̊ː	0.784
ɡː	ʤ̊ː	0.12
ɪ	ɪ	0.233
ɲ	ɲ	0.483
ɾ	ɹ	0.752
ɾ	-	0.082
ɾ	ʊ_ɹ	0.076
ɾ	ɪ_ɹ	0.049
ɾ	ɹ_ʊ	0.033
ʃ	ʃ	0.956
ʃ	s	0.039
ʉ	-	0.233
ʋ	v	0.894
ʋ	-	0.044
ʋ	w	0.04
ʋ	tː	0.035
ʰkː	ʰkː	1.0
ʰtː	ʰtː	1.0
ˈeː	ˈeː	0.344
ˈeː	ˈɛːa̯	0.246
ˈeː	ˈiː	0.209
ˈeː	ˈeə̯	0.105
ˈeː	ˈʊ̯iː	0.08
ˈeː_ɡ	ˈeː	1.0
ˈiː	ˈʊ̯iː	0.586
ˈiː	ˈiː	0.139
ˈiː	ˈʊ	0.11
ˈiː	ʊ̯ˈiː	0.08
ˈiː	ˈɛːa̯	0.062
ˈoː	ˈɔ̯aː	0.729
ˈoː	ˈoː	0.081
ˈoː	ˈiː	0.062
ˈoː	ˈɔ	0.062
ˈoː	ˈœ	0.049
ˈoː	ˈʊ	0.034
ˈuː	ˈɔːu̯	0.357
ˈuː	ˈɔːu̯_w	0.263
ˈuː	ˈoː	0.151
ˈuː	ˈøː	0.059
ˈuː	ˈɛːi̯	0.055
ˈuː	ˈœ	0.054
ˈuː	ˈɪ	0.054
ˈyː	ˈʊ̯iː	0.287
ˈyː	ˈɔːu̯	0.217
ˈyː	ˈʊ̯iː_ɹ	0.217
ˈyː	ˈʏ	0.117
ˈyː	ˈʊ	0.072
ˈyː	ˈɛ	0.037
ˈæɪ̯	ˈaːi̯	0.519
ˈæɪ̯	ˈai̯	0.342
ˈæɪ̯	ˈiː	0.106
ˈæʉ̯	ˈɛːi̯	0.741
ˈæʉ̯	ˈɔ̯aː	0.126
ˈæʉ̯	ˈɛːi̯_j	0.08
ˈæːɪ̯	ˈai̯	0.483
ˈøː	ˈøː	0.875
ˈøː	ˈɛ	0.089
ˈœ	ˈœ	0.483
ˈœʏ̯	ˈɔːi̯	1.0
ˈɑ	ˈa	0.766
ˈɑ	ˈɔ	0.16
ˈɑ	ˈɛ	0.056
ˈɑ	ʊ	0.031
ˈɑː	ˈɛːa̯	0.817
ˈɑː	ˈøː	0.129
ˈɑː	ˈa	0.049
ˈɑː_d	ˈɛːa̯	1.0
ˈɔ	ˈɔ	0.8
ˈɔ	ˈœ	0.19
ˈɛ	ˈɛ	0.537
ˈɛ	ˈœ	0.148
ˈɛ	ˈa	0.085
ˈɛ	ˈeː	0.074
ˈɛ	ˈɛːa̯	0.074
ˈɛ	ˈɪ	0.074
ˈɛː	ˈeː	0.318
ˈɛː	ˈøː	0.154
ˈɪ	ˈɪ	0.643
ˈɪ	ˈɛ	0.158
ˈɪ	ˈoː	0.105
ˈɪ	ˈiː	0.078
ˈʉ	ˈʊ	0.681
ˈʉ	ˈʏ	0.175
ˈʉ	ˈʊ_t	0.132
ˈʉː	ˈʉːu̯	0.565
ˈʉː	ˈuː	0.187
ˈʉː	ˈɪ_ɡ̊	0.139
ˈʉː	ˈɛːi̯	0.064
ˈʉː	ˈɔːu̯	0.042
ˈʊ	ˈʊ	0.472
ˈʊ	ˈɔ	0.277
ˈʊ	ˈœ	0.099
ˈʊ	ˈʏ	0.096
ˈʏ	ˈɪ	0.687
ˈʏ	ˈœ	0.153
ˈʏ	ˈʊ	0.153
