Danish	Faroese	probability
b̥	b̥	0.733
b̥	p	0.131
b̥	ʰp	0.131
d̥	d̥	0.724
d̥	ʤ̊	0.169
d̥	tʰ	0.097
e	ɛ	0.203
e	ɪ	0.098
f	f	1.0
h	h	0.916
h	-	0.082
i	a	0.233
j	j	0.389
j	ʊ_ɹ	0.238
j	-	0.185
j	ʰʧ	0.078
j	ʧʰ	0.063
j	ˈɛːa̯	0.04
jˀ	ɡ̊	0.483
k	k	0.452
k	ʃ	0.27
k	ʰkː	0.117
k	ʧ	0.1
kʰ	kʰ	0.794
kʰ	ʧʰ	0.198
l	l	0.742
l	l_ʊ	0.135
l	l̥_ʊ	0.061
l	j	0.035
l	ʎ	0.032
l	t_l̥	0.028
lˀ	l̥	0.533
lˀ	l	0.297
lˀ	l_d̥	0.154
m	m	0.657
m	m_ʊ	0.284
m	n	0.055
mˀ	m	1.0
n	n	0.587
n	nː	0.155
n	t_n̥	0.085
n	n_ʊ	0.064
n	n̥	0.064
n	-	0.031
nˀ	n_d̥	0.442
nˀ	nː	0.381
nˀ	-	0.078
nˀ	n̥	0.078
p	p	0.483
s	s	0.809
s	-	0.096
s	sː	0.045
s	ʃ	0.044
t	t	0.526
t	ʰtː	0.165
t	ʰtː_ʊ	0.122
t	ʈ	0.106
t	-	0.07
v	v	0.699
v	w	0.142
w	v_a	0.343
w	v_ʊ	0.158
w	ʊ	0.12
w	ˈɛːi̯	0.12
w	v	0.08
w	w	0.08
w	k	0.061
wˀ	w	0.574
wˀ	f	0.277
ð̞ˠ	t	0.245
ð̞ˠ	ʰt	0.187
ð̞ˠ	t_ʊ	0.178
ð̞ˠ	-	0.142
ð̞ˠ	w	0.11
ð̞ˠ	j_ʊ	0.057
ð̞ˠ	j	0.039
ð̞ˠ	tː	0.035
ŋ	ŋ_ɡ̊	0.618
ŋ	ŋ	0.152
ŋ	ɲ	0.146
ŋˀ	ŋ	1.0
ɐ	ɹ	0.424
ɐ	ɪ	0.177
ɐ	ɹ_a	0.119
ɐ	ʊ_ɹ	0.109
ɐ	-	0.07
ɐ	ɹ_ʊ	0.07
ɐˀ	ɹ	1.0
ə	a	0.754
ə	ɪ	0.098
ə	-	0.056
ə	ʤ̊_a	0.041
ə	ə	0.028
ə	w	0.027
ɡ̊	ɡ̊	0.667
ɡ̊	ɡ̊ː	0.158
ɡ̊	ʤ̊ː	0.08
ɡ̊	ʧ	0.078
ʁ	ɹ	0.926
ʁ	-	0.044
ʁ	r	0.042
ʋ	v	0.756
ʋ	kʰ	0.167
ʋ	-	0.068
ʦʰ	tʰ	0.874
ʦʰ	ʧʰ	0.107
ˈa	ˈa	0.633
ˈa	ˈɛːa̯	0.253
ˈa	ˈɔ	0.108
ˈa_ð̞ˠ	ˈɛːa̯	1.0
ˈaː	ˈɛːa̯	0.483
ˈe	ˈɪ	0.429
ˈe	ˈɛ	0.244
ˈe	ˈeə̯	0.083
ˈe	ˈiː	0.083
ˈe	ˈœ	0.083
ˈe	ˈoː	0.066
ˈeˀ	ˈɛːa̯	0.232
ˈeˀ	ˈaːi̯	0.186
ˈeˀ	ˈai̯	0.172
ˈeˀ	ˈiː	0.159
ˈeˀ	ˈɛ	0.138
ˈeˀ	ˈøː	0.071
ˈeː	ˈeː	0.574
ˈeː	ˈʊ	0.277
ˈi	ˈɪ	0.425
ˈi	ˈɛːa̯	0.236
ˈi	ˈɛ	0.131
ˈiˀ	ˈʊ̯iː	0.564
ˈiˀ	ˈʊ	0.215
ˈiˀ	ʊ̯ˈiː	0.123
ˈiˀ	ˈiː	0.085
ˈiː	ˈʊ̯iː	0.639
ˈiː	ˈiː	0.359
ˈo	ˈoː	0.427
ˈo	w	0.245
ˈo	ˈa	0.147
ˈo	ˈɔ	0.089
ˈo_ɐˀ	ˈɔ	0.483
ˈoˀ	ˈɔːu̯	0.512
ˈoˀ	ˈɪ_ɡ̊	0.167
ˈoˀ	ˈœ	0.11
ˈoˀ	ˈɛːi̯	0.11
ˈoˀ	ˈøː	0.084
ˈoː	ˈɪ	0.234
ˈoː	ˈoː	0.149
ˈoː	w	0.14
ˈoː	ˈɔ	0.099
ˈoː	ˈiː	0.089
ˈoː	ˈœ	0.089
ˈu	ˈʊ	0.311
ˈu	ˈʊ_t	0.311
ˈu	ˈuː	0.122
ˈu	ˈʉːu̯	0.122
ˈu	ˈʏ	0.122
ˈuˀ	ˈʉːu̯	0.53
ˈuˀ	ˈʊ	0.117
ˈuˀ	ˈʊ̯iː	0.117
ˈuˀ	ˈɔːu̯	0.087
ˈuˀ	ˈuː	0.085
ˈuˀ	-	0.048
ˈuː	ˈʊ	0.574
ˈuː	ˈuː	0.277
ˈy	ˈʏ	0.483
ˈyˀ	ˈɔːu̯	0.4
ˈyˀ	ˈʊ̯iː	0.224
ˈyˀ	-	0.17
ˈyˀ	ˈʉːu̯	0.108
ˈyˀ	ˈʊ	0.052
ˈyː	ˈʉːu̯	0.271
ˈyː	ˈɔːu̯	0.15
ˈyː	ˈʏ	0.131
ˈæ	ˈœ	1.0
ˈæˀ	w	0.483
ˈø	ˈʊ	0.574
ˈø	ˈɪ	0.277
ˈøː	ˈɔːi̯	0.594
ˈøː	ˈɛːi̯	0.392
ˈœ	ˈɪ	0.485
ˈœ	ˈøː	0.206
ˈœ	ˈœ	0.136
ˈœ	ˈɔ	0.069
ˈœ	ˈɔːi̯	0.069
ˈœˀ	ˈɛːi̯	0.564
ˈœˀ	ˈøː	0.197
ˈœˀ	ˈœ	0.103
ˈœˀ	ɹː	0.099
ˈœː	ˈøː	0.233
ˈɑ	ˈa	0.719
ˈɑ	ˈɛ	0.266
ˈɑ_j	ˈeː	1.0
ˈɑˀ	ˈa_ɹ	0.488
ˈɑˀ	ˈa	0.194
ˈɑˀ	ˈeː	0.179
ˈɑː	j	1.0
ˈɒ	ˈɔ	0.483
ˈɒˀ	ˈɔ̯aː_ɹ	1.0
ˈɒː	ˈɔ	0.574
ˈɒː	ˈoː	0.277
ˈɔ	ˈʊ	1.0
ˈɔˀ	ˈɔ̯aː	0.803
ˈɔˀ	ˈɔ	0.193
ˈɔː	ˈɔ̯aː	1.0
ˈɛ	ˈa	0.261
ˈɛ	ˈœ	0.164
ˈɛ	ˈɛ	0.155
ˈɛ	ˈɔ	0.099
ˈɛ	ˈøː	0.094
ˈɛ	ˈɛːa̯	0.065
ˈɛ	ˈɪ	0.065
ˈɛ	ˈai̯	0.052
ˈɛˀ	ˈeː	0.287
ˈɛˀ	ˈaːi̯	0.25
ˈɛˀ	ˈʊ̯iː	0.25
ˈɛˀ	ˈɛːa̯	0.159
ˈɛː	ˈeː	0.392
ˈɛː	ˈøː	0.217
ˈɛː	ˈɛːa̯	0.217
ˈʌ	ˈɔ	0.287
ˈʌ	ˈœ	0.132
ˈʌ	ˈɔːu̯	0.132
ˈʌ	ˈɛːa̯	0.132
ˈʌ	ˈɛːi̯	0.132
ˈʌ	ˈa	0.091
ˈʌ	ˈuː	0.067
ˈʌˀ	ˈɔːi̯	0.318
ˈʌˀ	ˈɔ̯aː	0.318
