Bokmål Norwegian	Bavarian	probability
b	b̥	1.0
d	d̥	0.617
d	t	0.187
d	d	0.065
d	s	0.065
e	ˈau̯	1.0
f	f	1.0
h	h	0.962
i	ɪ	0.369
i	i	0.179
j	ˈe	0.258
j	ɡ̊	0.207
j	-	0.202
j	ˈoɐ̯	0.101
j	ˈɛ	0.079
j	ˈeː	0.076
j	x	0.057
k	ç	0.429
k	x	0.395
k	k	0.075
k	ɡ̊	0.07
kʰ	kʰ	0.758
kʰ	f	0.234
kː	k	0.179
kː	ŋ	0.179
l	l	0.627
l	j	0.25
l	j_b̥	0.08
lː	j	0.71
lː	i	0.135
lː	l	0.091
m	m	1.0
mː	m	1.0
n	n	0.626
n	-	0.238
n	m	0.057
nː	n_d̥	0.385
nː	-	0.316
nː	n	0.188
nː	l	0.087
p	f	0.857
p	p͡f	0.093
s	s	0.558
s	ʃ	0.371
s_k	ʃ	1.0
sː	s	1.0
t	s	0.582
t	t	0.346
t	ʦ	0.065
tʰ	ʦ	0.576
tʰ	d̥	0.364
tː	x_t	0.386
tː	s	0.222
tː	x	0.222
tː	ʦ	0.134
ç	kʰ	1.0
ŋ	i	0.574
ŋ	-	0.279
ŋː	ŋ	1.0
ə	-	0.446
ə	n	0.286
ə	a	0.169
ə	ə	0.053
ə_ɾ	a	1.0
ɡ	ɡ̊	0.936
ɡ	ŋ	0.061
ɡː	ɡ̊	0.776
ɡː	-	0.118
ɪ	ŋ	0.486
ɳ	n	0.715
ɳ	-	0.195
ɾ	r	0.499
ɾ	ɐ	0.226
ɾ	-	0.117
ɾ	a	0.102
ɾ_ə	a	0.486
ʂ	s	0.871
ʃ	ʃ	1.0
ʈ	ʦ	1.0
ʈː	ʦ	0.486
ʋ	ʋ	0.506
ʋ	-	0.216
ʋ	f	0.193
ˈeː	ˈoɐ̯	0.234
ˈeː	ˈɛ	0.234
ˈeː	ˈiɐ̯	0.154
ˈeː	ˈi	0.107
ˈeː	ˈai̯	0.072
ˈeː	ˈeː	0.072
ˈeː	ˈaː	0.058
ˈiː	ˈai̯	0.285
ˈiː	ˈi	0.275
ˈiː	ˈeː	0.103
ˈiː	ˈo	0.087
ˈiː	ˈai̯_t	0.08
ˈiː	ˈoɐ̯	0.07
ˈoː	ˈɔ	0.447
ˈoː	-	0.129
ˈoː	ˈy	0.122
ˈoː	ˈɒː	0.09
ˈoː	ˈoɐ̯	0.078
ˈuː	ˈuɐ̯_d̥	0.243
ˈuː	ˈoɐ̯	0.211
ˈuː	ˈeɐ̯	0.157
ˈuː	ˈuɐ̯	0.157
ˈuː	-	0.078
ˈuː	r	0.078
ˈyː	ˈiɐ̯	0.334
ˈyː	ˈai̯	0.315
ˈyː	ˈiː	0.177
ˈyː	ˈe	0.154
ˈæ	ˈi	0.5
ˈæ	ˈɛ	0.5
ˈæɪ̯	ˈoɐ̯	0.654
ˈæɪ̯	ˈeː	0.135
ˈæɪ̯	ˈi	0.135
ˈæː	a	0.195
ˈæː	ɐ	0.195
ˈæː	ˈe	0.195
ˈæː	ˈi	0.118
ˈøː	ˈe	0.227
ˈøː	ˈou̯	0.193
ˈøː	ˈɛː	0.124
ˈøː	ˈoɐ̯	0.108
ˈøː	ˈau̯	0.082
ˈøː	ɐ	0.075
ˈøː	ˈa	0.065
ˈøː	ˈiɐ̯	0.065
ˈœ	ˈeɐ̯	0.148
ˈœ	ˈi	0.148
ˈœ	ˈiɐ̯	0.148
ˈœ	ˈʏ	0.148
ˈœ	ˈu	0.106
ˈœ	ˈɛ	0.106
ˈœ	ˈaː	0.072
ˈœ	ˈo	0.072
ˈœʏ̯	ˈaː	1.0
ˈɑ	ˈa	0.24
ˈɑ	ˈo	0.209
ˈɑ	ˈɔ	0.15
ˈɑ	ˈoɐ̯	0.111
ˈɑ	ˈɒ	0.096
ˈɑ	ˈaː	0.064
ˈɑ	ˈɒ_s	0.064
ˈɑ	ˈɒː	0.052
ˈɑː	ˈoː	0.486
ˈɑː	ˈa	0.195
ˈɑː	ˈɒ	0.103
ˈɑː	ˈo	0.074
ˈɑː	ˈɒː	0.072
ˈɔ	ˈu	0.367
ˈɔ	ˈɒ	0.242
ˈɔ	ˈoː	0.155
ˈɔ	ˈɛ	0.147
ˈɛ	ˈɛ	0.172
ˈɛ	ˈe	0.13
ˈɛ	ˈai̯	0.1
ˈɛ	-	0.099
ˈɛ	ˈoː	0.099
ˈɛ	ˈu	0.099
ˈɛ	ɐ	0.076
ˈɛ	ˈoɐ̯	0.062
ˈɛ	ˈo	0.058
ˈɛ	ˈi	0.056
ˈɛː	ˈɛ	1.0
ˈɪ	ˈi	0.822
ˈɪ	ˈiː	0.093
ˈɪ	-	0.067
ˈʉ	ˈo	0.583
ˈʉ	ˈau̯	0.229
ˈʉ	ˈu	0.147
ˈʉː	ˈau̯	0.44
ˈʉː	ˈe	0.096
ˈʉː	ˈoː	0.096
ˈʉː	ˈu	0.076
ˈʉː	ˈuɐ̯	0.076
ˈʉː	ˈiː	0.074
ˈʉː	ˈɔ	0.074
ˈʉː	ˈai̯	0.057
ˈʊ	ˈu	0.45
ˈʊ	ˈi	0.297
ˈʊ	ˈɛ	0.18
ˈʏ	ˈu	0.605
ˈʏ	ˈai̯	0.219
ˈʏ	ˈi	0.14
