Middle Chinese	Middle Chinese	probability
˧˥_#>	#>	1.0
ʨʰ	ʦʰ	1.0
ʨ	ʦ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʥ	ʦʰ	1.0
ʤ	t	1.0
ʣ	ʦ	1.0
ʔˠ	-	1.0
ʔ	-	1.0
ʌ_i	ɛ	1.0
ʌ	w	1.0
ʈ	t	1.0
ʃˠ	s_u	1.0
ʃ	s	1.0
ɳ	n	1.0
ɨ_ʌ	y	1.0
ɨ_ɐ	ɔ	1.0
ɨ_u	j_u	1.0
ɨ_o	y	1.0
ɦ	x	1.0
ɡˠ	k	1.0
ɡ	k	1.0
ɛ	j	1.0
ə_u	e	1.0
ə_k̚	ɛ	1.0
ɖˠ	t	1.0
ɕˠ	s	1.0
ɕ	s	1.0
ɑ_u	a_w	1.0
ɐ	j	1.0
ȵ	n	1.0
ŋˠ	ŋ	1.0
ŋ	ŋ	1.0
æ_k̚	a_²⁴	1.0
æ	a	1.0
u_ɑ	ɔ	1.0
u_t̚	²⁴	1.0
u_o	u	1.0
u_k̚	⁴²	1.0
t̚	-	1.0
tʰ	tʰ	1.0
t	t	1.0
sˠ	s	1.0
s	s	1.0
pˠ	p	1.0
pʰˠ	pʰ	1.0
o_˧˥	⁵⁵	1.0
n_ʌ	n_a	1.0
n	ŋ	1.0
mˠ	m	1.0
l	l	1.0
k̚	-	1.0
kˠ	k	1.0
kʰˠ	kʰ	1.0
kʰ	kʰ	1.0
k	k	1.0
i_ɪ	i	1.0
i_u	y	1.0
i_e	i	1.0
hˠ	x	1.0
h	x	1.0
e_u	a_w	1.0
e_n	i_ŋ	1.0
b	p	1.0
a_˦	a_⁵⁴	1.0
a	a	1.0
<#_ɦ	<#	1.0
<#_ŋ	<#_ŋ	1.0
<#_p	<#	1.0
#>	²⁴_#>	1.0
˧˥	²¹	0.893
ɪ	j	0.714
˥˩	⁵⁵	0.706
p	p	0.667
ʉ	-	0.6
e	a	0.6
d	t	0.6
m	ŋ	0.538
u	ɔ	0.529
ə	a_j	0.5
ə	-	0.5
w	w	0.5
w	o	0.5
˦	⁵⁴	0.426
ʉ	y	0.4
e	j	0.4
d	tʰ	0.4
˦	³³	0.377
u	ɥ	0.353
p	x	0.333
i	j	0.333
ɑ	ɔ	0.308
ɑ	a	0.308
m	m	0.308
ɨ	-	0.304
i	ɛ	0.296
˥˩	³³	0.294
ɪ	-	0.286
ɑ	-	0.231
i	e	0.222
ɨ	u	0.217
˦	²¹	0.197
ɨ	œ	0.174
ɨ	y	0.174
ɑ	w_ɛ	0.154
m	w	0.154
i	-	0.148
ɨ	i	0.13
u	u	0.118
˧˥	⁴²	0.107
