English	Icelandic	probability
b	b̥	0.856
b	b̥_j	0.085
b	tʰ	0.052
d	d̥	0.427
d	ð	0.34
d	-	0.083
d	d̥_ʏ	0.08
d	ð_a	0.043
f	f	0.806
f	v_ʏ	0.13
f	ɡ̊	0.045
f	-	0.029
h	h	0.88
h	ç	0.111
j	ˈɑːu̯	0.263
j	ˈʏː	0.263
j	-	0.141
j	ˈiː	0.141
j	ˈaː	0.054
k	k	0.709
k	ʰk	0.193
k	c	0.067
kʰ	kʰ	0.82
kʰ	cʰ	0.133
l	l	0.826
l	l̥	0.132
l	-	0.037
m	m	0.612
m	m_ʏ	0.271
m	-	0.071
m	n̥	0.042
n	n	0.61
n	-	0.154
n	t_n̥	0.089
n	nː	0.061
n	n̥	0.061
p	p	0.438
p	ʰp	0.24
p	p_ʏ	0.209
p	v	0.071
s	s	0.932
s	s_j	0.044
s	sː	0.03
t	t	0.298
t	t_ʏ	0.244
t	ʰt	0.107
t	ʰt_ʏ	0.088
t	t_a	0.081
tʰ	tʰ	1.0
v	v	0.376
v	v_a	0.223
v	f	0.102
v	p	0.102
v	m	0.068
w	v	0.4
w	-	0.215
w	kʰ_v	0.144
w	ˈɔ	0.115
w	ˈu	0.049
z	s	0.346
z	v	0.262
ð	ð	0.697
ð	nː	0.167
ð	θ	0.111
ŋ	ŋ	0.907
ŋ	ɲ	0.07
ŋ_k	ʰk	1.0
ə	r̥	0.443
ə	ɪ_r̥	0.226
ə	-	0.08
ə	r	0.054
ə	r_a	0.053
əʊ̯	a	0.461
əʊ̯	ʏ	0.461
əʊ̯	-	0.038
ɡ	ɡ̊	0.659
ɡ	ɟ̊	0.231
ɡ	ɡ̊ː	0.089
ɪ	u	0.204
ɪ	ɛː	0.204
ɪ	ɑu̯	0.132
ɪ	ʏ	0.081
ɪ	ˈɛ	0.081
ɫ	l	0.483
ɫ	l̥	0.205
ɫ	t_l̥	0.2
ɫ	l̥_ʏ	0.089
ɹ	r	0.965
ɹ	-	0.04
ʃ	s_k	0.52
ʃ	s_c	0.464
ʤ	ɟ̊ː	0.354
ʤ	ɡ̊ː	0.165
ʧ	cʰ	0.488
ʧ	c	0.37
ʧ	k	0.062
ˈaɪ̯	ˈiː	0.459
ˈaɪ̯	ˈɪ	0.085
ˈaɪ̯	j_ˈɛ	0.074
ˈaɪ̯	ˈuː	0.074
ˈaɪ̯	ˈʏː	0.074
ˈaʊ̯	ˈuː	0.481
ˈaʊ̯	ˈʏ	0.224
ˈaʊ̯	ˈʏ_ɡ̊	0.148
ˈaʊ̯	ˈiː_r̥	0.129
ˈe	ˈɛ	0.154
ˈe	ˈœːy̯	0.145
ˈe	j	0.114
ˈe	ˈœː	0.108
ˈe	ˈɛː	0.061
ˈeɪ̯	ˈaː	0.433
ˈeɪ̯	ˈɛ	0.089
ˈeɪ̯	ˈa	0.083
ˈeɪ̯	ˈaːu̯	0.083
ˈeɪ̯	ˈɛːi̯	0.083
ˈiː	j_ˈɛː	0.141
ˈiː	ˈœːy̯	0.133
ˈiː	ˈɑːu̯	0.107
ˈiː	ˈaːi̯	0.089
ˈiː	j_ˈoːu̯	0.084
ˈuː	ˈoːu̯	0.254
ˈuː	ˈɑːu̯	0.146
ˈuː	ˈɔu̯	0.101
ˈuː	ˈœː	0.098
ˈuː	ˈaːi̯	0.094
ˈæ	ˈa	0.591
ˈæ	ˈaː	0.208
ˈæ	ˈɛ	0.092
ˈæ	ˈœ	0.069
ˈɐ	ˈoːu̯	0.256
ˈɐ	ˈu	0.236
ˈɐ	ˈɔ	0.122
ˈɐ	ˈa	0.092
ˈɐ	ˈʏ	0.092
ˈɑː	ˈaː	0.377
ˈɑː	ˈa_r	0.313
ˈɑː	ˈa_r̥	0.12
ˈɑː	ˈɑu̯	0.097
ˈɑː	ˈaːi̯	0.031
ˈɒ	ˈɑu̯	0.222
ˈɒ	ˈɪ	0.222
ˈɒ	ˈɛːi̯	0.143
ˈɒ	ˈa	0.129
ˈɒ	ˈaː	0.083
ˈɔː	ˈa	0.333
ˈɔː	ˈɔ_r	0.268
ˈɔː	ˈɛ_r	0.129
ˈɔː	ˈɔu̯	0.107
ˈɔː	ˈɪ	0.107
ˈəʊ̯	ˈɛːi̯	0.189
ˈəʊ̯	ˈeːi̯	0.1
ˈəʊ̯	ˈi	0.1
ˈəʊ̯	ˈɛː	0.077
ˈəʊ̯	ˈʏ	0.071
ˈɛ	ˈɑːu̯	0.53
ˈɛ	ˈœ	0.133
ˈɛ	ˈɛː	0.071
ˈɜː	r	0.425
ˈɜː	ˈɪ	0.322
ˈɜː	ˈœ	0.173
ˈɪ	ˈɪ	0.16
ˈɪ	ˈiː	0.138
ˈɪ	ˈɪː	0.127
ˈɪ	ˈi	0.078
ˈɪ	-	0.072
ˈʊ	ˈoːu̯	0.474
ˈʊ	ˈu	0.202
ˈʊ	ˈʏ	0.124
ˈʊ	ˈʏ_t	0.124
θ	θ	0.549
θ	nː	0.139
θ	ð_ʏ	0.139
θ	ð	0.07
θ	r_ð	0.066
