West Frisian	Yiddish	probability
χ	χ	1.0
ˈɪə̯_r	ˈɛ_ʀ	1.0
ˈɛː	-	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈaɪ̯	1.0
ˈyː	ˈʊ	1.0
ˈy	-	1.0
ˈu̯o	ˈɪ	1.0
ˈu	ˈʊ	1.0
ˈiə̯_r	ˈɔ_ʀ	1.0
ˈeː	ˈɛ	1.0
ˈai̯	ˈa	1.0
ʋ	v	1.0
ɡ	ɡ	1.0
ɕ	z	1.0
v_ə	f	1.0
t_ə	s_n	1.0
s_t	s_t	1.0
s_l	ʃ_ɫ	1.0
m	m	1.0
k_ə	χ	1.0
k	k	1.0
j_ˈɔ	ˈɪ	1.0
j_ˈuə̯	ˈaɪ̯_ə	1.0
j_ə	n	1.0
h	h	1.0
f	f	1.0
b	b	1.0
l	ɫ	0.955
n	n	0.912
s_k	ʃ	0.852
p	f	0.807
ŋ	ŋ	0.8
ˈuː	ˈɔɪ̯	0.758
ˈa	ˈa	0.744
ˈɔː	ˈa	0.74
r	ʀ	0.737
v	v	0.699
ɣ̥	k	0.697
d̥	t	0.688
ˈuə̯	ˈʊ	0.658
ɣ	ɡ	0.643
ˈɪ	ˈɪ	0.569
z	ɡ	0.564
ˈi	ˈɪ	0.537
ɪ	ɪ	0.53
ˈɪə̯	ˈɔɪ̯	0.523
ʦ	-	0.517
ˈiː	ˈaɪ̯	0.502
d	t	0.501
d	d	0.499
j	-	0.493
s	ʃ	0.487
ˈoə̯	ˈɔ_ʀ	0.474
ɪ	-	0.47
s	z	0.455
ˈɛ	ˈɛ	0.438
z	z	0.436
ˈɔ	ˈʊ	0.431
ˈiə̯	ˈɛɪ̯	0.423
ˈɛi̯	ˈɛ_ɡ	0.405
t	t	0.392
ə	n	0.36
ə	ə	0.359
ɣ	k	0.357
ˈuə̯	ə	0.342
t	s	0.337
ˈi	ˈaɪ̯	0.314
d̥	d	0.312
ˈɛ	-	0.311
ˈaː	ˈa	0.306
ˈɛi̯	ˈɔ_ɡ	0.305
ɣ̥	ɡ	0.303
v	b	0.301
ˈɛi̯	ˈɛ_k	0.29
ˈoə̯	ˈʊ	0.289
ˈiː	ˈɪ	0.279
ˈaː	ˈɛ	0.278
ˈɔː	ˈa_ɫ	0.26
ˈa	ˈɔ	0.256
ˈɛ	ˈa	0.25
ˈuː	ˈʊ	0.242
ʦ	k	0.242
ʦ	d	0.242
ˈaː	ˈɛɪ̯	0.24
ˈɔ	-	0.239
ˈoə̯	ˈɔ	0.237
ˈɔ	ˈɔ	0.228
ˈiː	ˈɔ	0.219
ˈiə̯	ˈɪ	0.212
t	ʦ	0.208
ŋ	ŋ_ɡ	0.2
ˈɪ	-	0.193
p	p	0.193
ˈɪə̯	ˈa	0.176
ˈaː	ˈɔ	0.176
j	ˈaɪ̯	0.165
ˈiə̯	ˈɛ	0.151
ˈɪə̯	ˈɛɪ̯	0.15
ˈɪə̯	-	0.15
ˈi	-	0.149
s_k	ʧ	0.148
ə	-	0.147
j	ˈɪ	0.144
ˈɪ	ˈɛɪ̯	0.141
ə	ə_n	0.134
r	ə_ʀ	0.129
j	ɡ	0.116
ˈiə̯	ˈɔ	0.108
ˈiə̯	ʀ	0.106
ˈɔ	ˈɪ	0.102
ˈɪ	ˈɛ	0.097
j	j	0.082
r	ʀ_ɛ	0.07
r	ʀ_ˈɪ	0.064
t	ʀ_ʦ	0.063
s	s	0.058
