Faroese	West Flemish	probability
a	n	0.437
a	ə	0.385
a	-	0.15
b̥	b	0.948
b̥	-	0.06
d̥	d	0.662
d̥	t	0.333
d̥_ʊ	t	1.0
f	v	0.931
f	-	0.069
h	-	0.707
h	ɦ	0.112
h	z	0.069
h	h	0.067
h	k	0.057
j	-	0.377
j	ˈæ	0.328
j	ɦ	0.263
j_ʊ	t	0.512
k	k	0.97
k_s	s	1.0
kʰ	k	0.689
kʰ	ʋ	0.295
l	l	0.748
l	-	0.146
l	ə_l	0.08
l_ʊ	l	1.0
l̥	-	0.389
l̥	l	0.339
l̥	w	0.199
m	m	0.904
m	v	0.093
m_ʊ	m	1.0
n	n	0.844
n	-	0.153
nː	n_d	0.37
nː	n	0.322
nː	n_t	0.28
n̥	n	0.843
n̥	ɾ	0.136
p	p	0.512
r	ˈiə̯	0.263
s	z	0.509
s	s	0.482
s_k	s	1.0
sː	s	0.512
t	t	0.784
t	-	0.125
t	ɾ	0.086
tʰ	t	0.536
tʰ	d	0.455
tː	f	0.135
tː	p	0.135
v	ʋ	0.419
v	v	0.181
v	-	0.171
v	f	0.087
v	h	0.05
v	ç	0.05
v_ˈɛːa̯	ˈɑ	1.0
w	-	0.298
w	t	0.268
w	h	0.154
w	ə	0.113
w	w	0.109
ŋ	ŋ	0.709
ŋ	n	0.112
ŋ	ɪ	0.112
ŋ	-	0.067
ə	ə	0.512
ɛ	m	0.263
ɡ̊	ɦ	0.546
ɡ̊	-	0.394
ɡ̊	ŋ	0.052
ɡ̊_ʊ	k	1.0
ɡ̊ː	-	0.446
ɡ̊ː	ɦ	0.117
ɪ	-	0.855
ɪ	ə	0.144
ɪ_ɹ	ɾ	1.0
ɲ	ŋ	1.0
ɹ	-	0.659
ɹ	ɾ	0.341
ɹ_ʊ	ɾ	0.512
ɹː	h	1.0
ʃ	ʃ	0.322
ʃ	s	0.287
ʃ	z	0.206
ʈ	t	1.0
ʊ	-	0.806
ʊ	ə	0.189
ʊ_ɹ	ɾ	1.0
ʊ̯ˈiː	ˈi	0.512
ʎ	l	0.512
ʤ̊	d	0.349
ʤ̊	ɦ	0.349
ʤ̊	-	0.265
ʤ̊ː	n	0.53
ʤ̊ː	ʋ	0.194
ʤ̊ː	ɦ	0.179
ʧ	k	0.66
ʧ	ɦ	0.173
ʧʰ	k	0.723
ʧʰ	d	0.213
ʧː	ɦ	1.0
ʰk	k	1.0
ʰkː	k	1.0
ʰp	p	0.512
ʰt	t	1.0
ʰtː	h_t	1.0
ˈa	ˈɑ	0.452
ˈa	ˈɒː	0.273
ˈa	ˈu	0.162
ˈa	-	0.089
ˈai̯	ˈɛː	0.733
ˈai̯	ˈɛ	0.265
ˈaːi̯	j	0.392
ˈaːi̯	ˈeː	0.392
ˈaːi̯	ˈɛː	0.136
ˈeə̯	ˈeː	0.512
ˈeː	ˈeː	0.525
ˈeː	ˈæ	0.295
ˈeː	ˈɑ	0.111
ˈiː	ˈɛ	0.517
ˈiː	ˈeː	0.201
ˈiː	ˈoː	0.139
ˈoː	ˈoː	0.229
ˈoː	ˈɒː	0.117
ˈuː	ˈɔ	0.341
ˈuː	ˈeː	0.218
ˈuː	ˈiə̯	0.128
ˈuː	ˈɛː	0.128
ˈøː	ˈuə̯	0.736
ˈøː	ˈøː	0.1
ˈøː	ˈɒː	0.1
ˈœ	ˈɔ	0.54
ˈœ	ɾ	0.113
ˈœ	ˈuə̯	0.102
ˈœ	ˈɑ	0.085
ˈœ	-	0.077
ˈœ	ˈoː	0.06
ˈɔ	ˈɑ	0.363
ˈɔ	ˈoː	0.332
ˈɔ	ˈɔ	0.224
ˈɔ	ˈøː	0.074
ˈɔːi̯	ˈoː	1.0
ˈɔːu̯	ˈuə̯	0.797
ˈɔːu̯	ˈiə̯	0.184
ˈɔ̯aː	ˈɒː	0.66
ˈɔ̯aː	-	0.121
ˈɔ̯aː	ˈiə̯	0.082
ˈɔ̯aː	ˈɑ	0.052
ˈɛ	ˈæ	0.198
ˈɛ	ˈɑ	0.172
ˈɛ	ˈɛː	0.172
ˈɛ	ˈɪ	0.172
ˈɛ	ˈɛ	0.15
ˈɛ	ˈeː	0.09
ˈɛːa̯	ˈɑ	0.47
ˈɛːa̯	ˈɒː	0.329
ˈɛːa̯	ˈæ	0.106
ˈɛːa̯	ˈiə̯	0.077
ˈɛːi̯	ˈoː	0.814
ˈɛːi̯	ˈɛː	0.182
ˈɪ	ˈɪ	0.399
ˈɪ	ˈœ	0.204
ˈɪ	ˈæ	0.17
ˈɪ	ˈuə̯	0.085
ˈɪ	ˈɔ	0.07
ˈɪ	ˈɛ	0.06
ˈʉːu̯	ˈyː	0.833
ˈʉːu̯	ˈiə̯	0.143
ˈʊ	ˈu	0.341
ˈʊ	ˈiə̯	0.213
ˈʊ	ˈeː	0.084
ˈʊ	ˈoː	0.084
ˈʊ	ˈøː	0.084
ˈʊ	ˈœ	0.07
ˈʊ	ˈɪ	0.069
ˈʊ	ˈyː	0.058
ˈʊ̯iː	ˈi	0.495
ˈʊ̯iː	ˈiə̯	0.4
ˈʊ̯iː	ˈɛ	0.089
ˈʏ	ˈiə̯	1.0
