Dutch	Swiss German	probability
χ_ˈɑ	ɡ̊_ˈɒ	1.0
χ_ɾ	ɡ̊_r	1.0
χ_ə	ɡ̊	1.0
χ_t	χː_tː	1.0
ˈɛ_ɾ	r	1.0
ˈɑu̯	ˈɒ_l	1.0
ˈɑ_d̥	ˈɒː_d̥	1.0
ˈyː	ˈyː	1.0
ˈeː_t	sː	1.0
ˈeː_n_#>	ˈæi̯_#>	1.0
ˈaː_t	ˈɒ_sː	1.0
ʋ	ʋ	1.0
ɾ_d̥	r_tː	1.0
ɾ	r	1.0
ɫ	l	1.0
ɪ	i	1.0
ɦ	h	1.0
ə_χ	i_ɡ̊	1.0
ə_v̥	fː	1.0
ə_n_#>	#>	1.0
ə_n	ə	1.0
z̥	z̥	1.0
w	-	1.0
v̥_#>	b̥_#>	1.0
v̥	fː	1.0
v_ə	b̥_ə	1.0
v	v̥	1.0
s_χ	ʒ̊	1.0
n_s	n_ʃː	1.0
n_d̥	ŋ	1.0
n_#>	#>	1.0
m	m	1.0
j	j	1.0
d_ɾ	tː_r	1.0
d_ə	d̥	1.0
b	b̥	1.0
<#_ˈɛi̯	<#_ˈæi̯	1.0
<#_ˈɛ	<#_ˈe	1.0
<#_n	<#_n	1.0
<#	<#_ɡ̊	1.0
ə	ə	0.9
n	n	0.882
ˈɪ	ˈi	0.826
z	z̥	0.8
ˈœy̯	ˈuː	0.769
ˈɛ	ˈæ	0.733
χ	ɡ̊	0.724
ˈɑ	ˈɒ	0.72
ˈu	ˈuə̯	0.688
ˈɔ	ˈu	0.667
ˈɛi̯	ˈiː	0.643
ŋ	ŋ	0.636
p	fː	0.6
d̥	tː	0.522
d	tː	0.514
d	d̥	0.486
k	ɣ̊	0.441
ˈaː	ˈɒː	0.435
s	ʃː	0.435
ˈʏ	ˈy	0.429
ˈi	ˈyː	0.412
p	p͡f	0.4
s	ʒ̊	0.391
d̥	d̥	0.391
t	ʦ	0.364
ˈɔ	ˈo	0.333
ˈoː	ˈoː	0.333
ˈu	ˈyə̯	0.312
ˈeː	ˈæi̯	0.3
ˈeː	ˈæ	0.3
t	tː	0.295
t	sː	0.295
ˈi	-	0.294
ˈʏ	ˈø	0.286
ˈʏ	ˈu	0.286
k	χː	0.265
ˈeː	-	0.25
ˈœy̯	ˈyː	0.231
ˈɛi̯	-	0.214
ˈoː	ˈo	0.212
ˈoː	ˈau̯	0.212
k	kː	0.206
z	ʒ̊	0.2
ŋ	ɡ̊	0.182
ŋ	ŋ_ɡ̊	0.182
ˈi	ˈiə̯	0.176
ˈaː	ˈɒ	0.174
ˈɑ	ˈɒː	0.16
ˈeː	ˈeː	0.15
ˈɛi̯	ˈæi̯	0.143
ˈɛ	ˈy	0.133
ˈɛ	ˈi	0.133
ˈaː	ˈæ	0.13
ˈaː	ˈoː	0.13
ˈaː	-	0.13
ˈoː	ˈøː	0.121
ˈɑ	ˈæ	0.12
ˈi	ˈeː	0.118
χ	χː	0.103
χ	kː	0.103
ə	-	0.1
k	χː_ə	0.088
ˈɪ	ˈiə̯	0.087
ˈɪ	-	0.087
s	χː_sː	0.087
s	sː	0.087
d̥	-	0.087
χ	kː_ə	0.069
ˈoː	ˈu	0.061
ˈoː	-	0.061
n	n_ə	0.059
n	-	0.059
