Gan	Fuzhounese	probability
⁴²	⁵⁵	1.0
ʔ	ʔ	1.0
ɥ	w	1.0
ɕ	s	1.0
¹¹	²⁴²	1.0
²⁴	⁵³	1.0
²	⁵	1.0
z̩	i	1.0
t	t	1.0
p	p	1.0
o	o	1.0
nʲ	nˡ	1.0
m	m	1.0
kʰ	kʰ	1.0
k	k	1.0
j_⁴²	j_⁵⁵	1.0
j_u	y	1.0
j_a	a	1.0
e	-	1.0
a_w	o	1.0
<#_nʲ	<#_ŋ	1.0
<#	<#_h	1.0
³⁵	⁵³	0.92
n	ŋ	0.889
t̚	ʔ	0.867
s	s	0.818
w	w	0.81
ʦʰ	ʦʰ	0.8
l	l̃	0.778
²¹³	³³	0.75
⁵	²⁴	0.714
ʨ	k	0.714
ŋ	ŋ	0.714
ɔ	o	0.667
tʰ	tʰ	0.667
ʦ	ʦ	0.625
f	h	0.625
j	j	0.55
y	y	0.5
y	-	0.5
pʰ	pʰ	0.5
pʰ	p	0.5
h	h	0.5
h	-	0.5
a	a	0.483
ɵ	o	0.4
i	i	0.4
ʦ	t	0.375
u	u	0.375
f	p	0.375
ɨ	u	0.333
ɨ	o_w	0.333
ɨ	o	0.333
ɛ	e	0.333
ɔ	-	0.333
tʰ	t	0.333
i	ɛ	0.333
j	-	0.3
⁵	⁵	0.286
ʨ	-	0.286
ʨʰ	ʦʰ	0.25
ʨʰ	ʦ	0.25
ʨʰ	kʰ	0.25
ʨʰ	k	0.25
u	ɥ	0.25
u	ø	0.25
l	nˡ	0.222
ʦʰ	t	0.2
ɵ	ɑ	0.2
ɵ	nˡ	0.2
ɵ	-	0.2
w	-	0.19
²¹³	²¹³	0.188
s	ʦ	0.182
ɛ	a	0.167
ɛ	-	0.167
j	ø	0.15
ŋ	ɥ_ŋ	0.143
ŋ	w_ŋ	0.143
t̚	j_ʔ	0.133
i	j_e	0.133
i	j	0.133
u	o_w	0.125
ɛ	ɥ	0.111
ɛ	ɛ	0.111
ɛ	a_j	0.111
n	a_ŋ	0.111
a	ɑ	0.103
a	j_a	0.103
a	j	0.103
³⁵	²¹³	0.08
a	w_ɑ	0.069
a	o	0.069
a	-	0.069
²¹³	²⁴²	0.062
