Czech	Czech	probability
ʒ	ʣ	1.0
ʃ	s_ɛ	1.0
ɲ	n	1.0
ɪ_d	d	1.0
ɛ_t	i	1.0
z̥	z̥	1.0
z	z	1.0
v_iː	w	1.0
uː	-	1.0
t_r̩	j	1.0
t	t	1.0
s	s	1.0
r̩	i_r	1.0
r̝̊	-	1.0
r̝	r	1.0
r_aː	a_r	1.0
p	p	1.0
ou̯	uɔ̯	1.0
m	m	1.0
l̩	i_l	1.0
l_o	l̩	1.0
f	b	1.0
b̥	b̥	1.0
b	b	1.0
aː	aː	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_o	<#	1.0
<#_j	<#	1.0
#>	s_#>	0.943
ɦ	ɡ	0.8
j	-	0.8
r	r	0.778
v	v	0.75
l	l	0.737
a_#>	a_#>	0.7
n	n	0.692
ʧ	-	0.667
k	k	0.625
ɪ	-	0.6
x	s	0.6
d̥	d̥	0.6
ʦ	-	0.571
u	uɔ̯	0.571
d	d	0.571
a	-	0.562
a	ɛ	0.438
ʦ	k	0.429
u	au̯	0.429
d	-	0.429
iː	-	0.421
ɪ	iː	0.4
x	ɡ̊	0.4
o	a	0.4
d̥	d_u	0.4
k	ʦ	0.375
o	s	0.35
ʧ	ʧ	0.333
iː	s	0.316
n	-	0.308
a_#>	#>	0.3
ɛ	ɛ	0.256
r	r̩	0.222
ɛ	-	0.205
ɦ	z	0.2
j	ai̯	0.2
l	ʎ	0.158
iː	uː	0.158
o	æ	0.15
v	v_æː	0.125
v	uː	0.125
l	-	0.105
iː	t_s	0.105
ɛ	æ	0.103
ɛ	iɛ̯	0.103
ɛ	i	0.103
ɛ	a	0.103
o	-	0.1
#>	ɛ_#>	0.057
ɛ	ʃ	0.051
ɛ	ɡ	0.051
