Czech	Bulgarian	probability
ˈɪ	ˈi	1.0
ˈɛː	ɛ	1.0
ˈɛ_s	ˈɛ_s	1.0
ˈɛ_l	ɛ_l	1.0
ˈɛ_f	ˈɤ_f	1.0
ˈuː	ˈɔ	1.0
ˈu	ˈɤ	1.0
ˈr̩	ˈɤ_r	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɲ_#>	n_#>	1.0
ɪ	ˈi	1.0
ɦ	ɡ	1.0
ɛ_n	n	1.0
ɛ_#>	ˈɛ_#>	1.0
z	z	1.0
x_iː_#>	x_#>	1.0
x_#>	k_#>	1.0
x	x	1.0
t	t	1.0
s_t	s_t	1.0
s_#>	s_#>	1.0
s	s	1.0
r̝̊	r	1.0
r̝	r	1.0
r_ˈaː	r_ˈa	1.0
r	r	1.0
p_#>	p_#>	1.0
p	p	1.0
n_iː_#>	ɛ_n_#>	1.0
n	n	1.0
m̩	ɛ_m	1.0
m	m	1.0
l_ˈɛː	lʲ_ˈa	1.0
l_iː_#>	ɫ_#>	1.0
l_#>	ɫ_#>	1.0
l	ɫ	1.0
k_#>	k_#>	1.0
j_ˈɛ	ˈa	1.0
j_ɛ	ˈɛ	1.0
j	-	1.0
iː_#>	k_#>	1.0
d	d	1.0
c_#>	t_#>	1.0
c	t	1.0
b	b	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ʧ	<#_ʧ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ɦ	<#_ɡ	1.0
<#_z	<#_z	1.0
<#_x	<#_x	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#_k	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
<#_c	<#	1.0
ˈa	ˈa	0.778
v	v	0.769
t_#>	t_#>	0.75
a_#>	ˈa_#>	0.722
ˈiː	ˈa	0.714
ˈo	o	0.643
k	k	0.625
ɛ	ɛ	0.583
o_#>	o_#>	0.583
ˈɛ	ˈɛ	0.5
iː	-	0.5
ɛ	ɐ	0.417
o_#>	ˈɔ_#>	0.417
k	ɐ	0.375
ˈo	ˈɔ	0.357
<#_l	<#_ɫ	0.333
<#_l	<#_lʲ	0.333
<#_l	<#_l	0.333
ˈɛ	ɛ	0.3
ˈiː	j	0.286
a_#>	ɐ_#>	0.278
t_#>	ɐ_#>	0.25
iː	ɛ	0.25
iː	f	0.25
v	vʲ	0.231
ˈa	ɛ	0.222
ˈɛ	ˈɔ	0.1
ˈɛ	ˈa	0.1
