Štokavian	Bulgarian	probability
<#_d	<#_d	1.0
<#_j	<#	1.0
<#_k	<#_k	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_ô	<#_ˈɔ	1.0
<#_ǒ	<#_ˈɔ	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʋ	<#_v	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʧ	<#_ʧ	1.0
a_o	ɐ_ɫ_#>	1.0
âː	ˈa	1.0
b	b	1.0
b_#>	p_#>	1.0
d	d	1.0
d_#>	t_#>	1.0
d_a	d_ɛ	1.0
eː	ɛ	1.0
eː_t	ɛ_t	1.0
êː	ˈɛ	1.0
ě	ɛ	1.0
ě_l	ɛ_l	1.0
ěː	ˈɛ	1.0
i_#>	ɐ_#>	1.0
iː	-	1.0
î	ˈi	1.0
îː_s	ˈi_s	1.0
ǐː	i	1.0
j_êː	ˈa	1.0
j_ěː	ɛ	1.0
k	k	1.0
k_#>	k_#>	1.0
k_a	k_ɐ	1.0
l	ɫ	1.0
l_#>	ɫ_#>	1.0
m_#>	m_#>	1.0
n	n	1.0
n_#>	n_#>	1.0
ôː	ˈɔ	1.0
ǒ	o	1.0
p	p	1.0
r	r	1.0
r_#>	r_#>	1.0
r̂ː	ˈɤ_r	1.0
r̩̂	r	1.0
s	s	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
t_#>	t_#>	1.0
t_a	t_ɐ	1.0
x_#>	x_#>	1.0
z	z	1.0
ɡ	ɡ	1.0
ɡ_#>	k_#>	1.0
ɲ_#>	n	1.0
ʋ_#>	f	1.0
ʋ_j	v	1.0
ʎ	lʲ_ˈa	1.0
ʦ	ʦ	1.0
â	ˈɤ	0.222
ʋ	vʲ	0.2
a_#>	ɐ_#>	0.333
j	lʲ_ˈa	0.333
o_#>	o_#>	0.583
e_#>	ɛ_#>	0.4
ê	-	0.4
i	i	0.4
ô	o	0.444
t	t	0.714
<#_l	<#_l	0.5
<#_l	<#_ɫ	0.5
e	ɛ	0.25
e	-	0.25
e	ˈɛ	0.5
ûː	ˈɤ_ɫ	0.25
ûː	ˈu	0.25
ûː	ˈɤ	0.5
ʒ	ʃ	0.5
ʒ	ʒ	0.5
e_#>	ˈɛ_#>	0.6
ê	ˈɛ	0.6
i	ˈi	0.6
ô	ˈɔ	0.556
t	j	0.286
a_#>	ˈa_#>	0.667
j	-	0.667
o_#>	ˈɔ_#>	0.417
â	ˈa	0.778
ʋ	v	0.8
