Taiwanese Hokkien	Fuzhounese	probability
⁵³	³³	1.0
⁴⁴	⁵⁵	1.0
⁴	⁵	1.0
ʨʰ	ʦʰ	1.0
ʦʰ	ʦʰ	1.0
ɕ	s	1.0
¹¹	²¹³	1.0
³²	²⁴	1.0
²⁴	⁵³	1.0
²³	⁵³	1.0
w̃	o_ŋ	1.0
w_a	j_e	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
kʰ	kʰ	1.0
k	k	1.0
ĩ	e_ŋ	1.0
i_n	i_ŋ	1.0
h	h	1.0
a_m	a_ŋ	1.0
<#_ɡ	<#_ŋ	1.0
<#_l	<#	1.0
<#_h	<#	1.0
#>	²⁴²_#>	1.0
³³	²⁴²	0.882
n	ŋ	0.8
ʦ	ʦ	0.714
tʰ	tʰ	0.714
b	m	0.714
ʔ	ʔ	0.7
k̚	ʔ	0.7
ʨ	ʦ	0.667
ɪ	j	0.667
t̚	ʔ	0.667
m	m	0.667
ŋ	ŋ	0.6
o	o	0.6
ã	ŋ	0.6
w	w	0.583
l	nˡ	0.538
ŋ̍	o_ŋ	0.5
e	a	0.5
a_j	ɛ	0.5
a_j	i	0.5
l	l̃	0.462
ŋ	ɥ_ŋ	0.4
i	i	0.4
ã	a_ŋ	0.4
ʨ	s	0.333
ɪ	-	0.333
ŋ̍	w_ŋ	0.333
u	u	0.333
t̚	w_ʔ	0.333
m	ŋ	0.333
j	j	0.333
a	a	0.333
ɔ	w_o	0.308
ɔ	o_w	0.308
ʔ	ɔ_ʔ	0.3
k̚	ɥ_ʔ	0.3
a	ɑ	0.296
ʦ	-	0.286
u	-	0.286
tʰ	tʰ_o	0.286
b	-	0.286
a	ø	0.259
i	ɛ_j	0.25
e	w	0.25
e	u_j	0.25
j	-	0.233
ɔ	w_ɔ	0.231
o	w	0.2
o	e_w	0.2
n	-	0.2
j	ɛ	0.2
i	j	0.2
u	y	0.19
u	o	0.19
ŋ̍	ɔ_ŋ	0.167
ɔ	u	0.154
i	j_e	0.15
j	a	0.133
w	e_w	0.125
w	a	0.125
³³	⁵⁵	0.118
a	ɔ	0.111
j	ɥ	0.1
w	ɑ	0.083
w	-	0.083
