Taiwanese Hokkien	Taiwanese Hokkien	probability
⁵⁵	⁵³	1.0
⁵³	³³	1.0
⁵	²⁴	1.0
⁴⁴	⁵⁵	1.0
⁴	⁵	1.0
ʨʰ	ʦʰ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ɤ	w	1.0
ɛ	j	1.0
ɕ	s	1.0
ɔ̃	o	1.0
¹¹	²¹³	1.0
³²	²⁴	1.0
²⁴	⁵³	1.0
²²	j_²⁴²	1.0
w̃	o_ŋ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
kʰ	kʰ	1.0
k	k	1.0
j̃	ɑ	1.0
h	h	1.0
<#_ɡ	<#_ŋ	1.0
<#_l	<#	1.0
<#_h	<#	1.0
#>	²⁴²_#>	1.0
³³	²⁴²	0.882
n	ŋ	0.857
p	p	0.769
ʔ	ʔ	0.727
tʰ	tʰ	0.714
b	m	0.714
k̚	ʔ	0.7
ʨ	ʦ	0.667
ɪ	j	0.667
t̚	ʔ	0.667
w	w	0.64
ŋ	ŋ	0.625
o	o	0.6
ã	ŋ	0.6
m	ŋ	0.556
l	nˡ	0.538
ŋ̍	o_ŋ	0.5
ĩ	ŋ	0.5
ĩ	e_ŋ	0.5
e	a	0.5
a_j	ɛ	0.5
a_j	i	0.5
l	l̃	0.462
i	i	0.458
ã	a_ŋ	0.4
a	a	0.4
ŋ	ɥ_ŋ	0.375
ʨ	s	0.333
ɪ	y	0.333
ŋ̍	w_ŋ	0.333
t̚	w_ʔ	0.333
j	j	0.333
u	u	0.304
k̚	ɥ_ʔ	0.3
ɔ	w_o	0.286
ɔ	o_w	0.286
tʰ	tʰ_o	0.286
b	-	0.286
ʔ	ɔ_ʔ	0.273
a	ɑ	0.267
i	j_e	0.25
e	w	0.25
e	u_j	0.25
a	ø	0.233
p	p_w	0.231
m	m_w	0.222
m	m	0.222
u	-	0.217
i	ɛ_j	0.208
o	w	0.2
o	e_w	0.2
j	ɛ	0.2
u	y	0.174
ŋ̍	ɔ_ŋ	0.167
w	-	0.16
ɔ	ɔ	0.143
ɔ	w_ɔ	0.143
ɔ	u	0.143
n	-	0.143
j	a	0.133
j	-	0.133
u	o	0.13
w	a	0.12
³³	⁵⁵	0.118
j	ɥ	0.1
j	w	0.1
a	ɔ	0.1
u	w	0.087
u	o_w	0.087
i	-	0.083
w	e	0.08
